Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Kyle Abbott        L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Juan Acevedo       R   7   3   1   0   0   1   0   0   0   0   0  .429  .500  .571 
Jim Acker          R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Terry Adams        R  12   2   0   0   0   4   1   2   0   0   0  .167  .375  .167 
Juan Agosto        L   5   2   0   1   0   2   0   1   0   0   0  .400  .571  .800 
Rick Aguilera      R  11   1   0   0   0   0   0   2   0   0   0  .091  .091  .091 
Darrel Akerfelds   R   3   0   0   0   0   1   0   0   0   1   0  .000  .250  .000 
Carlos Almanzar    R   3   2   0   0   1   0   0   0   0   1   0  .667  .667 1.667 
Jose Alvarez       R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Wilson Alvarez     L   4   3   2   0   0   0   0   0   0   0   0  .750  .750 1.250 
Larry Andersen     R  18   4   0   0   0   1   0   5   0   0   0  .222  .263  .222 
Brian Anderson     L  18   7   4   0   2   1   0   2   0   0   0  .389  .421  .944 
Jimmy Anderson     L  18   6   2   0   0   5   0   0   0   0   0  .333  .478  .444 
Luis Aquino        R   6   2   1   0   0   1   1   1   0   0   0  .333  .429  .500 
Jack Armstrong     R   5   3   1   0   0   1   0   0   0   0   0  .600  .667  .800 
Rene Arocha        R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Rolando Arrojo     R   9   4   0   0   0   0   0   0   0   1   0  .444  .444  .444 
Andy Ashby         R  34  10   1   0   1   3   0   7   0   0   0  .294  .351  .412 
Paul Assenmacher   L  10   4   1   0   1   3   1   2   0   0   0  .400  .538  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pedro Astacio      R  58  19   3   0   1   4   0   3   1   0   0  .328  .381  .431 
Steve Avery        L  51  20   4   0   1   4   0   1   0   0   0  .392  .436  .529 
Bobby Ayala        R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Manny Aybar        R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Brandon Backe      R   2   2   0   0   0   1   0   0   1   0   0 1.000 1.000 1.000 
Roger Bailey       R   5   1   0   0   0   3   0   0   0   0   0  .200  .500  .200 
Doug Bair          R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
James Baldwin      R   6   3   2   0   0   2   0   0   0   0   0  .500  .625  .833 
Willie Banks       R   8   2   1   0   0   3   0   0   0   0   0  .250  .455  .375 
Brian Barnes       L  10   3   0   0   1   4   0   0   0   0   0  .300  .500  .600 
Miguel Batista     R  11   1   0   0   0   1   0   1   1   0   0  .091  .231  .091 
Jose Bautista      R   8   6   0   0   1   2   0   1   0   1   0  .750  .800 1.125 
Rod Beck           R  11   4   1   0   0   1   1   3   0   0   0  .364  .417  .455 
Josh Beckett       R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Steve Bedrosian    R   7   3   2   0   0   2   0   0   0   0   0  .429  .556  .714 
Tim Belcher        R  30  11   4   0   1   4   0   2   0   0   2  .367  .417  .600 
Stan Belinda       R  10   4   0   1   0   1   0   0   0   0   1  .400  .417  .600 
Alan Benes         R   5   2   0   0   1   2   0   1   0   0   0  .400  .571 1.000 
Andy Benes         R  74  24   3   2   2   6   0   9   1   0   0  .324  .383  .500 
Armando Benitez    R   4   0   0   0   0   2   0   2   0   0   0  .000  .333  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Shayne Bennett     R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Kris Benson        R  15   4   1   0   0   1   0   0   0   0   0  .267  .313  .333 
Juan Berenguer     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Sean Bergman       R  21   7   1   0   1   4   0   2   0   0   0  .333  .440  .524 
Mike Bielecki      R  26   8   1   1   1   4   0   8   0   0   0  .308  .400  .538 
Buddy Black        L  18   5   1   0   2   3   0   1   0   0   2  .278  .348  .667 
Willie Blair       R  21   5   2   0   1   0   0   3   0   1   1  .238  .227  .476 
Vida Blue          L   5   3   1   0   1   1   0   0   0   0   0  .600  .667 1.400 
Doug Bochtler      R   6   3   0   1   0   1   0   0   0   0   0  .500  .571  .833 
Randy Bockus       R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Brian Boehringer   R   7   0   0   0   0   1   0   3   0   0   0  .000  .125  .000 
Joe Boever         R  18   8   0   0   1   1   0   2   0   0   1  .444  .450  .611 
Brian Bohanon      L   8   3   0   0   0   1   0   1   0   1   0  .375  .444  .375 
Ricky Bones        R  11   4   1   0   0   0   0   1   0   0   0  .364  .364  .455 
Greg Booker        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pedro Borbon       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Toby Borland       R   3   3   0   0   1   1   0   0   0   0   0 1.000 1.000 2.000 
Joe Borowski       R   5   2   0   0   1   2   0   2   0   0   0  .400  .571 1.000 
Shawn Boskie       R  12   4   1   0   0   1   0   0   0   2   0  .333  .385  .417 
Ricky Bottalico    R   5   1   1   0   0   3   0   3   0   0   0  .200  .500  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kent Bottenfield   R  19   5   2   0   0   6   0   2   0   0   0  .263  .440  .368 
Ryan Bowen         R   8   4   1   0   1   2   0   1   0   0   0  .500  .600 1.000 
Oil Can Boyd       R   5   3   1   0   1   2   0   0   0   1   0  .600  .714 1.400 
Cliff Brantley     R  10   1   1   0   0   1   0   2   0   0   0  .100  .182  .200 
Jeff Brantley      R  16   2   0   0   0   1   0   1   0   0   1  .125  .167  .125 
Brad Brink         R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Doug Brocail       R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Jim Brower         R   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Kevin Brown        R  29   9   2   0   0   1   0   4   1   0   0  .310  .355  .379 
Jim Bruske         R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jim Bullinger      R  17   4   0   0   0   4   0   1   0   1   1  .235  .364  .235 
Dave Burba         R  14   3   1   0   0   7   0   3   0   0   0  .214  .476  .286 
Tim Burke          R  13   2   0   0   0   0   0   0   0   0   0  .154  .154  .154 
John Burkett       R  39  13   3   0   2   4   0   6   1   1   0  .333  .409  .564 
A.J. Burnett       R   2   1   0   0   0   4   0   0   0   0   0  .500  .833  .500 
Paul Byrd          R   9   1   0   0   0   1   0   3   0   0   0  .111  .200  .111 
Jose Cabrera       R   9   3   0   1   0   0   0   0   0   0   0  .333  .333  .556 
Tom Candiotti      R  27  11   4   0   1   3   1   2   0   0   0  .407  .467  .667 
Chris Capuano      L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Don Carman         L  12   1   0   0   1   1   0   0   1   0   0  .083  .214  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chris Carpenter    R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Cris Carpenter     R  14   3   0   1   0   0   0   3   0   0   0  .214  .214  .357 
Tony Castillo      L   3   2   1   0   1   1   0   0   0   0   0  .667  .750 2.000 
Frank Castillo     R  24  10   3   1   0   4   1   2   1   0   0  .417  .517  .625 
Shawn Chacon       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Bruce Chen         L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
J. Christiansen    L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Jim Clancy         R  12   3   0   0   0   1   0   3   0   0   0  .250  .308  .250 
Mark Clark         R  19   9   4   0   1   2   0   1   0   0   0  .474  .524  .842 
Marty Clary        R  11   2   0   0   0   1   0   0   0   0   0  .182  .250  .182 
Roger Clemens      R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Matt Clement       R  22   7   0   0   1   6   0   5   0   0   0  .318  .464  .455 
Brad Clontz        R   7   3   1   0   0   2   1   0   0   0   0  .429  .556  .571 
Kevin Coffman      R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Victor Cole        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Pat Combs          L   6   3   0   0   0   1   0   1   0   0   0  .500  .571  .500 
David Cone         R  34   6   1   0   0   2   0   4   0   0   0  .176  .222  .206 
Tim Conroy         L  10   4   1   0   0   3   0   0   0   0   0  .400  .538  .500 
Dennis Cook        L   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 
Steve Cooke        L  11   2   0   0   1   1   1   1   0   0   0  .182  .250  .455 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
F. Cordova         R  12   2   0   0   0   3   0   0   0   0   0  .167  .333  .167 
Rheal Cormier      L  12   6   1   0   1   0   0   0   1   0   0  .500  .538  .833 
Reid Cornelius     R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
John Costello      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Danny Cox          R  16   3   0   0   0   0   0   3   0   0   0  .188  .188  .188 
Tim Crews          R  19   5   0   0   0   0   0   1   0   0   0  .263  .263  .263 
Chuck Crim         R   2   0   0   0   0   2   1   1   0   0   0  .000  .500  .000 
Rich Croushore     R   5   0   0   0   0   1   0   2   1   0   0  .000  .286  .000 
Mike Crudale       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Juan Cruz          R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Nelson Cruz        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Will Cunnane       R   7   4   1   0   0   3   0   2   0   0   0  .571  .700  .714 
Omar Daal          L  20   6   4   0   1   2   0   2   0   0   0  .300  .364  .650 
Jeff D'Amico       R  14   5   1   0   0   0   0   0   0   0   0  .357  .357  .429 
Ron Darling        R  29   6   1   0   0   1   0   1   4   0   1  .207  .314  .241 
Danny Darwin       R  37   8   0   1   0   2   0   3   1   0   1  .216  .268  .270 
