Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Abbott        R   7   2   1   0   1   3   0   2   0   0   0  .286  .500  .857 
Jose Acevedo       R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
A. Alfonseca       R   2   1   0   0   0   2   1   0   0   0   0  .500  .750  .500 
Kevin Appier       R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Tony Armas         R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Rolando Arrojo     R  13   4   1   1   0   1   0   3   0   0   0  .308  .357  .538 
Pedro Astacio      R  14   9   1   0   5   5   0   4   1   0   0  .643  .750 1.786 
James Baldwin      R  13   4   1   0   0   0   0   1   0   0   0  .308  .308  .385 
Miguel Batista     R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Rod Beck           R   4   1   1   0   0   0   0   3   0   0   0  .250  .250  .500 
Josh Beckett       R  13   4   0   0   0   0   0   3   1   0   0  .308  .357  .308 
Kevin Beirne       R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Andy Benes         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Armando Benitez    R   9   1   1   0   0   1   0   3   0   0   0  .111  .200  .222 
Kris Benson        R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Jason Bere         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Rocky Biddle       R   5   1   1   0   0   1   0   1   0   0   0  .200  .333  .400 
Willie Blair       R  10   2   0   0   0   1   0   2   0   0   0  .200  .273  .200 
Pedro Borbon       L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Ricky Bottalico    R   3   3   0   1   1   1   0   0   0   0   0 1.000 1.000 2.667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Brower         R   7   2   0   1   1   1   0   0   0   0   0  .286  .375 1.000 
Kevin Brown        R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Nate Bump          R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Dave Burba         R  13   2   0   1   0   3   0   5   0   0   0  .154  .313  .308 
A.J. Burnett       R  10   4   0   0   2   3   0   2   0   0   0  .400  .538 1.000 
Paul Byrd          R   9   2   1   0   1   0   0   1   0   0   0  .222  .222  .667 
Chris Carpenter    R  18   2   1   0   0   0   0   4   0   0   0  .111  .111  .167 
Giovanni Carrara   R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Frank Castillo     R   8   1   1   0   0   1   0   2   0   0   0  .125  .222  .250 
Shawn Chacon       R   8   1   0   0   0   2   0   3   0   0   0  .125  .300  .125 
Randy Choate       L   3   2   2   0   0   0   0   0   1   0   0  .667  .750 1.333 
Roger Clemens      R   9   2   1   0   0   1   0   5   0   0   1  .222  .273  .333 
Matt Clement       R   5   1   0   0   1   2   0   2   0   0   0  .200  .429  .800 
Bartolo Colon      R  10   1   1   0   0   2   0   5   0   0   0  .100  .250  .200 
David Cone         R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Aaron Cook         R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Rheal Cormier      L   2   2   1   0   0   2   0   0   0   0   0 1.000 1.000 1.500 
Nelson Cruz        R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Jeff D'Amico       R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Zach Day           R   4   3   1   0   2   3   0   1   0   0   0  .750  .857 2.500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike DeJean        R   4   2   2   0   0   0   0   1   0   0   0  .500  .500 1.000 
Ryan Dempster      R   3   0   0   0   0   1   1   2   0   0   0  .000  .250  .000 
Darren Dreifort    R   3   0   0   0   0   1   1   0   0   0   0  .000  .250  .000 
Chad Durbin        R   6   2   2   0   0   0   0   1   0   0   0  .333  .333  .667 
Adam Eaton         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Joey Eischen       L   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Scott Elarton      R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Cal Eldred         R   4   1   0   0   0   2   0   2   0   0   0  .250  .500  .250 
Scott Erickson     R  10   2   0   0   1   0   0   5   0   0   0  .200  .200  .500 
Kelvim Escobar     R  20   4   0   0   0   2   0   6   0   0   0  .200  .273  .200 
Jeff Fassero       L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Bryce Florie       R   4   1   0   0   0   1   1   1   0   0   1  .250  .333  .250 
Josh Fogg          R   3   1   0   0   1   1   0   0   0   0   1  .333  .400 1.333 
Jesse Foppert      R   4   3   0   0   1   1   0   1   0   0   0  .750  .800 1.500 
Keith Foulke       R   6   2   1   0   1   2   0   2   0   0   0  .333  .500 1.000 
Chris Fussell      R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Freddy Garcia      R   4   1   0   0   0   2   1   3   0   0   0  .250  .500  .250 
Jon Garland        R   9   1   0   0   0   1   0   3   0   0   0  .111  .200  .111 
Dwight Gooden      R   2   0   0   0   0   3   0   0   0   0   0  .000  .600  .000 
Seth Greisinger    R   5   3   1   0   1   0   0   2   0   0   0  .600  .600 1.400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Grimsley     R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Buddy Groom        L   3   1   0   0   0   1   0   2   0   0   0  .333  .500  .333 
Eddie Guardado     L   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Juan Guzman        R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Roy Halladay       R  13   2   1   0   0   3   0   3   0   0   0  .154  .313  .231 
Joey Hamilton      R   8   3   1   0   0   1   0   1   0   0   0  .375  .444  .500 
Chris Haney        L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Aaron Harang       R   9   1   0   0   0   1   0   1   0   0   0  .111  .200  .111 
LaTroy Hawkins     R  11   5   2   0   0   1   0   3   0   0   1  .455  .462  .636 
Jimmy Haynes       R  10   2   0   0   0   1   0   3   0   0   0  .200  .273  .200 
Rick Helling       R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Pat Hentgen        R   7   5   1   1   1   0   0   1   0   0   0  .714  .714 1.571 
Gil Heredia        R  11   3   0   0   1   1   0   4   0   0   0  .273  .333  .545 
Matt Herges        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Livan Hernandez    R  16   4   2   0   0   0   0   5   0   0   0  .250  .250  .375 
O. Hernandez       R   9   4   0   0   0   0   0   0   0   0   0  .444  .444  .444 
R. Hernandez       R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Erik Hiljus        R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Trevor Hoffman     R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Darren Holmes      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
