Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bronson Arroyo     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Homer Bailey       R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Josh Beckett       R   3   1   1   0   0   0   0   1   0   0   1  .333  .250  .667 
M. Bumgarner       L   5   1   0   0   0   0   0   4   0   1   0  .200  .200  .200 
Trevor Cahill      R   3   1   0   0   0   0   0   0   0   2   0  .333  .333  .333 
Tony Cingrani      L   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Ross Detwiler      L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
R.A. Dickey        R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Matt Garza         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Dillon Gee         R   8   3   0   0   0   0   0   2   0   0   0  .375  .375  .375 
Zack Greinke       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Tommy Hanson       R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Tim Hudson         R   4   0   0   0   0   1   0   0   0   1   0  .000  .200  .000 
Josh Johnson       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Clayton Kershaw    L   4   0   0   0   0   0   0   4   0   1   0  .000  .000  .000 
Wade LeBlanc       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Ted Lilly          L   3   1   0   0   1   0   0   1   0   2   0  .333  .333 1.333 
Kyle Lohse         R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Derek Lowe         R   7   1   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Paul Maholm        L   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Marquis      R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
James McDonald     R   6   3   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Kris Medlen        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Garrett Mock       R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
S. Strasburg       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Eric Stults        L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jake Westbrook     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Chris Young        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
J. Zimmermann      R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400
