Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R   4   0   0   0   0   0   0   1   1   0   0  .000  .200  .000 
Luis Aloma         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bill Bevens        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Frank Biscan       L   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Tom Brewer         R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Dick Brodowski     R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Hal Brown          R   5   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Jim Bunning        R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Wally Burnette     R   3   0   0   0   0   0   0   1   0   2   0  .000  .000  .000 
Tommy Byrne        L  12   3   0   0   1   2   0   6   0   2   0  .250  .357  .500 
Bob Cain           L  12   4   2   0   0   2   0   2   0   0   0  .333  .429  .500 
Paul Calvert       R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Spud Chandler      R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Sandy Consuegra    R  10   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ike Delock         R   6   2   0   0   1   1   0   2   0   0   0  .333  .429  .833 
Bill Dietrich      R   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Joe Dobson         R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 i
Dick Donovan       R   7   2   0   0   1   0   0   2   0   0   0  .286  .286  .714 
Fritz Dorish       R  11   2   1   0   0   0   0   2   0   0   0  .182  .182  .273 
Karl Drews         R   6   1   0   0   0   2   0   0   0   0   0  .167  .375  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cliff Fannin       R  11   4   0   0   1   0   0   1   0   0   0  .364  .364  .636 
Don Ferrarese      L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Tom Ferrick        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Dave Ferriss       R   8   3   0   0   1   0   0   0   0   1   0  .375  .375  .750 
Whitey Ford        L  10   0   0   0   0   2   0   4   0   1   0  .000  .167  .000 
Mike Fornieles     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dick Fowler        R  17  10   2   0   0   1   0   0   0   0   0  .588  .611  .706 
Denny Galehouse    R   5   3   2   0   0   1   0   0   0   1   0  .600  .667 1.000 
Ned Garver         R  12   5   0   0   1   0   0   0   0   1   0  .417  .417  .667 
Tom Gorman         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Ted Gray           L  13   4   0   1   1   2   0   4   0   1   0  .308  .400  .692 
Bob Grim           R   3   0   0   0   0   1   0   0   0   0   1  .000  .200  .000 
Marv Grissom       R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Steve Gromek       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
