Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Matt Albers        R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Bronson Arroyo     R  12   4   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Brandon Backe      R   5   4   1   1   0   1   0   0   0   0   0  .800  .833 1.400 
Josh Banks         R   8   3   1   0   0   0   0   3   0   0   1  .375  .333  .500 
Brian Bannister    R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Daniel Bard        R   4   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Denny Bautista     R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Josh Beckett       R   7   1   0   1   0   0   0   4   0   0   0  .143  .143  .429 
Matt Belisle       R   5   4   0   1   2   0   0   0   0   0   0  .800  .800 2.400 
Heath Bell         R   7   2   1   0   0   2   1   3   0   0   0  .286  .444  .429 
Brad Bergesen      R   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Jason Bergmann     R   5   2   0   0   1   1   0   0   0   0   0  .400  .500 1.000 
Chad Billingsley   R  14   5   1   0   0   3   1   4   2   0   0  .357  .526  .429 
Joe Blanton        R   6   3   0   1   0   0   0   1   0   0   0  .500  .500  .833 
Clay Buchholz      R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Taylor Buchholz    R   8   3   2   0   1   0   0   2   0   0   0  .375  .375 1.000 
Billy Buckner      R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Mark Buehrle       L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
A.J. Burnett       R   6   1   1   0   0   1   0   0   2   0   0  .167  .444  .333 
Trevor Cahill      R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Matt Cain          R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Fausto Carmona     R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Chris Carpenter    R  10   1   1   0   0   0   0   3   0   0   0  .100  .100  .200 
Tyler Clippard     R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Aaron Cook         R  22   6   0   0   0   2   0   3   0   0   0  .273  .333  .273 
Manuel Corpas      R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Kevin Correia      R   7   4   1   1   0   0   0   0   0   0   0  .571  .571 1.000 
Juan Cruz          R   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
John Danks         L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Kyle Davies        R   8   3   2   0   0   1   0   2   0   0   0  .375  .444  .625 
Doug Davis         L  10   4   0   0   0   1   0   3   0   0   0  .400  .455  .400 
Wade Davis         R  11   1   0   0   0   1   0   4   0   0   0  .091  .167  .091 
Jorge de la Rosa   L   7   2   0   1   0   2   0   2   0   0   0  .286  .444  .571 
Ryan Dempster      R  10   1   0   1   0   2   0   5   0   0   0  .100  .250  .300 
J. Duchscherer     R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Adam Eaton         R   4   1   0   0   1   1   0   1   0   0   0  .250  .400 1.000 
Dana Eveland       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Scott Feldman      R   7   2   1   0   1   0   0   3   0   0   0  .286  .286  .857 
Doug Fister        R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Gavin Floyd        R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Josh Fogg          R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Jeff Fulchino      R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
A. Galarraga       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Sean Gallagher     R   4   1   0   1   0   2   0   1   0   0   0  .250  .500  .750 
Freddy Garcia      R   5   1   0   0   0   0   0   2   0   0   1  .200  .167  .200 
Matt Garza         R  14   3   2   0   0   1   0   3   0   0   0  .214  .267  .357 
Chad Gaudin        R  10   3   0   0   0   2   0   1   0   1   0  .300  .417  .300 
Justin Germano     R   5   1   1   0   0   0   0   0   1   0   0  .200  .333  .400 
Gio Gonzalez       L   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Luke Gregerson     R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Zack Greinke       R   4   0   0   0   0   0   0   1   1   0   0  .000  .200  .000 
Jeremy Guthrie     R  14   2   1   0   1   0   0   2   0   0   0  .143  .143  .429 
Juan Gutierrez     R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Roy Halladay       R   8   2   0   0   0   0   0   4   0   0   0  .250  .250  .250 
Cole Hamels        L   9   3   0   0   0   1   0   4   0   0   0  .333  .400  .333 
Jason Hammel       R  11   7   4   1   0   3   0   0   0   0   0  .636  .714 1.182 
Mike Hampton       L   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Joel Hanrahan      R   3   1   0   0   0   2   0   1   0   0   0  .333  .600  .333 
Tommy Hanson       R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Aaron Harang       R   8   2   2   0   0   1   0   4   0   0   0  .250  .333  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
