Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Acevedo       R   7   2   0   0   1   0   0   1   0   0   0  .286  .286  .714 
Juan Acevedo       R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Terry Adams        R  10   2   0   0   0   0   0   2   0   0   1  .200  .182  .200 
A. Alfonseca       R  12   3   1   0   0   2   1   3   1   0   0  .250  .400  .333 
Wilson Alvarez     L   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tony Armas         R  20   6   2   0   1   0   0   2   1   0   0  .300  .333  .550 
Andy Ashby         R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Pedro Astacio      R  36  17   3   0   2   2   1   4   3   0   0  .472  .537  .722 
Steve Avery        L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Luis Ayala         R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Manny Aybar        R  15   2   0   0   0   0   0   6   2   0   0  .133  .235  .133 
Roger Bailey       R   9   1   0   0   1   2   0   1   0   0   0  .111  .273  .444 
Miguel Batista     R  12   3   0   0   0   1   0   2   1   0   1  .250  .333  .250 
Rod Beck           R   5   3   0   1   1   0   0   0   0   0   1  .600  .500 1.600 
Josh Beckett       R  25   7   2   0   0   0   0   3   2   0   0  .280  .333  .360 
Stan Belinda       R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Heath Bell         R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Andy Benes         R  25   3   0   0   1   1   0   6   2   0   1  .120  .207  .240 
Armando Benitez    R  18   6   1   0   0   1   0   2   0   0   0  .333  .368  .389 
Kris Benson        R  16   3   2   0   0   0   0   6   0   0   0  .188  .188  .313 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Bere         R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Sean Bergman       R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Rocky Biddle       R   6   2   2   0   0   0   0   0   0   0   0  .333  .333  .667 
Willie Blair       R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Brian Boehringer   R   7   3   0   0   1   1   0   0   0   0   0  .429  .500  .857 
Brian Bohanon      L  18   5   2   0   2   2   0   1   0   0   0  .278  .350  .722 
Ricky Bones        R   7   2   0   0   1   0   0   0   0   0   0  .286  .286  .714 
Ricky Bottalico    R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Kent Bottenfield   R  11   4   0   0   1   1   0   1   1   0   0  .364  .462  .636 
Jeff Brantley      R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Jim Brower         R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Kevin Brown        R  27   9   2   0   1   2   0   9   1   0   0  .333  .400  .519 
Mark Buehrle       L   9   4   0   0   0   0   0   1   0   0   0  .444  .444  .444 
Jim Bullinger      R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Nate Bump          R   8   3   1   0   0   1   0   0   0   0   0  .375  .444  .500 
Dave Burba         R  12   1   0   0   0   1   0   2   0   0   0  .083  .154  .083 
John Burkett       R   8   1   0   0   0   2   0   3   0   0   0  .125  .300  .125 
A.J. Burnett       R  26   7   1   0   1   1   0   3   1   0   0  .269  .321  .423 
Mike Busby         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jose Cabrera       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Candiotti      R   9   2   1   0   0   0   0   0   1   0   0  .222  .300  .333 
Chris Carpenter    R  16   5   0   0   0   0   0   3   0   0   0  .313  .313  .313 
Hector Carrasco    R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Frank Castillo     R  11   7   1   0   1   0   0   1   0   0   0  .636  .636 1.000 
Shawn Chacon       R   8   3   2   0   0   1   0   0   1   0   0  .375  .500  .625 
Bobby Chouinard    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mark Clark         R  12   2   1   0   0   0   0   2   0   0   1  .167  .154  .250 
Roger Clemens      R   9   1   1   0   0   0   0   3   0   0   1  .111  .100  .222 
Matt Clement       R  19   7   0   0   3   3   0   0   1   0   0  .368  .478  .842 
Brad Clontz        R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Bartolo Colon      R  12   5   3   0   0   1   0   0   0   0   0  .417  .462  .667 
Clay Condrey       R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
David Cone         R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Aaron Cook         R   9   4   1   0   1   0   0   0   0   0   1  .444  .400  .889 
Dennis Cook        L   3   2   0   0   1   1   0   0   0   0   0  .667  .750 1.667 
Steve Cooke        L   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Chad Cordero       R   6   3   0   0   0   0   0   1   0   1   0  .500  .500  .500 
F. Cordova         R  13   3   1   0   0   0   0   2   0   0   1  .231  .214  .308 
Rheal Cormier      L   3   0   0   0   0   2   1   0   0   0   0  .000  .400  .000 
Kevin Correia      R   4   1   0   0   0   0   0   1   1   0   0  .250  .400  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Will Cunnane       R   6   2   0   0   1   1   0   1   0   0   0  .333  .429  .833 
Omar Daal          L  14   7   1   0   0   0   0   1   1   0   0  .500  .533  .571 
Jeff D'Amico       R  15   6   1   1   0   0   0   0   0   0   0  .400  .400  .600 
Vic Darensbourg    L   9   2   0   0   1   0   0   2   0   0   0  .222  .222  .556 
Kyle Davies        R   6   5   0   0   1   0   0   0   0   0   0  .833  .833 1.333 
Doug Davis         L   8   4   1   1   0   1   0   0   0   0   0  .500  .556  .875 
