Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Aguilera      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Kevin Appier       R  17   4   1   0   0   0   0   3   0   0   0  .235  .235  .294 
Pedro Astacio      R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Willie Banks       R  12   1   0   0   0   1   0   2   0   0   0  .083  .154  .083 
Jose Bautista      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Rod Beck           R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jason Bere         R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Juan Berenguer     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Mike Bielecki      R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Bert Blyleven      R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Mike Boddicker     R   8   5   1   0   0   0   0   0   0   0   0  .625  .625  .750 
Ricky Bones        R   9   3   1   0   0   0   0   0   0   0   0  .333  .333  .444 
Toby Borland       R   7   3   0   0   0   0   0   2   0   0   0  .429  .429  .429 
Chris Bosio        R  11   5   0   0   0   0   0   2   0   0   0  .455  .455  .455 
Steve Bourgeois    R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jeff Brantley      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Doug Brocail       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Kevin Brown        R  27   8   0   0   0   2   0   6   0   0   0  .296  .345  .296 
Jim Bullinger      R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Dave Burba         R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
John Burkett       R   8   5   0   0   1   0   0   0   0   0   0  .625  .625 1.000 
Todd Burns         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tom Candiotti      R  18   6   2   1   0   0   0   3   0   0   1  .333  .316  .556 
Hector Carrasco    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Frank Castillo     R   6   0   0   0   0   2   0   2   0   0   0  .000  .250  .000 
Mark Clark         R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Roger Clemens      R   6   3   0   0   1   0   0   0   0   0   0  .500  .500 1.000 
David Cone         R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Chuck Crim         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Ron Darling        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Danny Darwin       R  20   4   0   0   0   1   0   4   0   0   1  .200  .227  .200 
Storm Davis        R   8   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Rich DeLucia       R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Jerry DiPoto       R   7   5   1   0   0   1   0   0   0   0   0  .714  .750  .857 
John Dopson        R  15   5   0   0   0   1   0   1   0   0   0  .333  .375  .333 
Kelly Downs        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Darren Dreifort    R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Mike Dyer          R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Dennis Eckersley   R   6   4   1   0   0   0   0   2   0   0   0  .667  .667  .833 
Mark Eichhorn      R   4   0   0   0   0   1   1   2   0   0   0  .000  .200  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cal Eldred         R  17   3   0   0   0   0   0   0   0   0   0  .176  .176  .176 
Scott Erickson     R  12   4   1   0   0   1   0   0   0   0   0  .333  .385  .417 
Alex Fernandez     R  12   3   1   0   1   0   0   0   0   0   0  .250  .250  .583 
O. Fernandez       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
