Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R   9   3   0   0   1   0   0   1   0   0   0  .333  .333  .667 
Hank Aguirre       L  31   4   2   0   0   4   1  19   0   0   1  .129  .222  .194 
Jack Aker          R   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Bob Allen          L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Bob Anderson       R   2   1   0   0   1   2   0   0   0   0   0  .500  .750 2.000 
Gerry Arrigo       L  14   6   1   1   2   4   1   2   0   0   1  .429  .526 1.071 
Steve Barber       L  17   4   0   0   1   4   0   3   0   0   0  .235  .381  .412 
Bo Belinsky        L  10   4   1   0   1   0   0   0   0   0   0  .400  .400  .800 
Gary Bell          R  21   2   0   0   1   0   0  11   0   0   0  .095  .095  .238 
Dennis Bennett     L   8   1   0   0   0   3   1   1   0   0   0  .125  .364  .125 
Frank Bertaina     L   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Gil Blanco         L   1   1   0   0   0   3   0   0   0   0   0 1.000 1.000 1.000 
Wade Blasingame    L   6   1   0   0   0   3   0   1   0   0   0  .167  .444  .167 
Steve Blass        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bobby Bolin        R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Dave Boswell       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jim Bouton         R  39  11   2   0   2   3   0   8   0   0   0  .282  .333  .487 
Ted Bowsfield      L  17   7   1   0   1   0   0   2   0   0   0  .412  .412  .647 
Gene Brabender     R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Bucky Brandon      R   4   2   0   0   1   2   0   1   0   0   0  .500  .667 1.250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Brewer         L   7   1   0   0   1   0   0   4   1   1   0  .143  .250  .571 
Marshall Bridges   L   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
Nelson Briles      R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Jim Brosnan        R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
George Brunet      L  14   5   1   1   0   4   1   4   0   0   0  .357  .500  .571 
Wally Bunker       R  23   5   1   0   0   1   0   7   0   0   0  .217  .250  .261 
Jim Bunning        R  16   3   0   0   0   0   0   9   0   0   0  .188  .188  .188 
John Buzhardt      R  19   4   0   0   2   1   0   8   0   0   2  .211  .227  .526 
Steve Carlton      L  26   6   1   0   2   3   0   7   0   0   1  .231  .300  .500 
Clay Carroll       R  11   2   1   0   0   0   0   1   0   0   0  .182  .182  .273 
Dean Chance        R  33  13   0   1   1   3   0   4   0   0   0  .394  .444  .545 
Pete Charton       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Galen Cisco        R   4   2   0   0   1   1   0   0   0   0   0  .500  .600 1.250 
Gene Conley        R  13   2   0   0   2   0   0   2   0   0   0  .154  .154  .615 
Mike Cuellar       L  24   3   1   0   0   2   0  10   0   1   0  .125  .192  .167 
George Culver      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bill Dailey        R   5   2   0   0   0   2   0   3   0   0   0  .400  .571  .400 
Bruce Dal Canton   R   4   1   0   0   0   0   0   1   0   1   0  .250  .250  .250 
Dave DeBusschere   R   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Ike Delock         R   5   2   1   0   0   2   0   2   0   0   0  .400  .571  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Dickson        R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Dick Donovan       R  13   3   0   0   2   0   0   1   0   0   0  .231  .231  .692 
Al Downing         L  40  12   2   0   1   7   0  11   0   0   0  .300  .404  .425 
Moe Drabowsky      R  25   3   1   0   1   1   0  10   0   0   0  .120  .154  .280 
Don Drysdale       R   6   1   0   0   0   0   0   2   1   0   0  .167  .286  .167 
Bob Duliba         R   9   2   0   0   0   0   0   2   0   0   0  .222  .222  .222 
Arnold Earley      L  13   7   2   0   0   2   0   1   0   0   1  .538  .563  .692 
Sammy Ellis        R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Chuck Estrada      R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Bill Faul          R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Bill Fischer       R   8   3   0   0   2   1   0   1   0   0   0  .375  .444 1.125 
Eddie Fisher       R  20   3   0   0   0   2   0   4   0   0   0  .150  .227  .150 
Jack Fisher        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Whitey Ford        L  45  16   5   0   2   4   0  11   0   0   0  .356  .408  .600 
Mike Fornieles     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Art Fowler         R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Terry Fox          R   9   3   0   0   0   2   0   2   0   0   0  .333  .455  .333 
Paul Foytack       R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Woodie Fryman      L   9   0   0   0   0   2   0   6   0   0   0  .000  .182  .000 
Aubrey Gatewood    R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dave Giusti        R   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
Fred Gladding      R   6   0   0   0   0   3   0   2   1   0   0  .000  .400  .000 
Ruben Gomez        R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Mudcat Grant       R  25   2   1   0   0   4   0   7   0   0   0  .080  .207  .120 
Eli Grba           R   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Dick Hall          R  19   2   0   0   1   1   0   5   0   0   1  .105  .143  .263 
Steve Hamilton     L   5   0   0   0   0   3   1   2   0   0   0  .000  .375  .000 
Bill Hands         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bob Heffner        R  10   5   1   0   1   2   0   1   1   0   0  .500  .615  .900 
Ray Herbert        R  25   7   1   0   2   3   0   4   0   0   1  .280  .345  .560 
Dennis Higgins     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Billy Hoeft        L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Ken Holtzman       L  28   8   0   0   2   4   0   4   0   0   0  .286  .375  .500 
Joe Horlen         R  37  11   0   0   3   4   1  12   0   0   1  .297  .357  .541 
Bruce Howard       R  13   3   2   0   1   2   0   4   0   0   0  .231  .333  .615 
Dick Hughes        R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Catfish Hunter     R  10   2   0   0   2   0   0   4   0   0   0  .200  .200  .800 
Al Jackson         L   8   3   1   0   1   2   1   2   0   0   0  .375  .500  .875 
Pat Jarvis         R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Larry Jaster       L  15   9   2   0   1   2   0   1   0   0   1  .600  .611  .933 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tommy John         L  12   1   0   0   0   3   0   1   1   0   0  .083  .313  .083 
Ken Johnson        R   8   3   1   0   0   0   0   0   1   0   0  .375  .444  .500 
Mike Joyce         R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Jim Kaat           L  58  17   3   0   5  10   0  12   0   0   0  .293  .397  .603 
Mike Kekich        L  10   1   0   0   0   0   0   2   0   0   1  .100  .091  .100 
Dick Kelley        L   7   4   0   0   1   2   1   1   0   0   0  .571  .667 1.000 
Ron Kline          R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
J. Klippstein      R   5   0   0   0   0   0   0   2   1   0   0  .000  .167  .000 
