Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dewey Adkins       R   9   4   0   0   0   0   0   0   0   0   0  .444  .444  .444 
Bob Anderson       R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Johnny Antonelli   L  21   8   2   0   1   2   0   2   0   0   0  .381  .435  .619 
Luis Arroyo        L  21   6   2   0   0   1   0   1   0   0   1  .286  .304  .381 
Fred Baczewski     L  29   8   0   0   1   3   0   2   0   0   0  .276  .344  .379 
Dan Bankhead       R  11   2   0   0   0   0   0   3   0   0   0  .182  .182  .182 
Jack Banta         R  16   6   1   0   2   1   0   1   0   0   0  .375  .412  .813 
Rex Barney         R  28   8   0   1   3   7   1   2   0   0   0  .286  .429  .679 
Red Barrett        R  11   4   0   0   0   0   0   1   0   0   0  .364  .364  .364 
Dick Barrett       R   3   2   2   0   0   0   0   0   1   0   0  .667  .750 1.333 
Ralph Beard        R   6   4   0   0   0   0   0   1   0   0   0  .667  .667  .667 
Hank Behrman       R   6   4   2   0   0   1   0   0   0   0   0  .667  .714 1.000 
Don Bessent        R   8   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Vern Bickford      R  58  16   5   2   0   6   0   0   0   0   0  .276  .344  .431 
Charlie Bicknell   R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Joe Black          R  22   5   1   0   1   3   0   3   0   1   0  .227  .320  .409 
Ewell Blackwell    R  50  15   2   1   2   8   0   4   0   0   0  .300  .397  .500 
Dick Bokelmann     R   6   1   0   1   0   2   0   1   0   0   0  .167  .375  .500 
Tiny Bonham        R  24   7   1   0   1   1   0   3   1   0   0  .292  .346  .458 
Hank Borowy        R  24   5   1   0   0   1   0   3   0   0   0  .208  .240  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Bowman         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Roger Bowman       L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Cloyd Boyer        R   5   0   0   0   0   5   1   0   0   1   0  .000  .500  .000 
Ralph Branca       R  63  18   1   0   5   6   0   4   0   0   0  .286  .348  .540 
Al Brazle          L  55  13   0   0   0   4   0   4   1   0   0  .236  .300  .236 
Harry Brecheen     L  59  21   7   1   3   4   0   6   0   1   0  .356  .397  .661 
Tom Brewer         R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
John Briggs        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Ernie Broglio      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jim Brosnan        R  19   5   3   0   1   0   0   1   0   0   0  .263  .263  .579 
Bob Buhl           R  48  11   1   0   0   9   0   2   0   0   0  .229  .351  .250 
Lew Burdette       R  75  21   1   0   2   9   1   2   0   1   0  .280  .357  .373 
Ken Burkhart       R   9   3   0   0   0   1   0   0   0   0   0  .333  .400  .333 
Max Butcher        R   5   4   1   0   0   0   0   0   0   0   0  .800  .800 1.000 
Bud Byerly         R  10   4   1   0   0   1   0   0   0   0   0  .400  .455  .500 
Milo Candini       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Don Cardwell       R   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 
Hugh Casey         R   8   2   0   0   0   2   0   1   0   0   0  .250  .400  .250 
Cliff Chambers     L  44  15   3   1   0   5   0   1   0   2   0  .341  .408  .455 
Bob Chesnes        R  38  14   2   0   0   5   0   2   0   0   0  .368  .442  .421 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Chipman        L  20   9   0   1   0   3   0   0   0   0   0  .450  .522  .550 
Bubba Church       R  35  12   1   0   2   2   0   2   0   0   0  .343  .378  .543 
Dave Cole          R   4   0   0   0   0   1   0   1   0   1   0  .000  .200  .000 
Jackie Collum      L  24   4   1   0   0   2   1   3   0   0   0  .167  .231  .208 
Gene Conley        R  59  15   1   0   2   4   1   5   0   1   0  .254  .302  .373 
Roger Craig        R  24   5   1   0   1   3   1   2   1   0   0  .208  .321  .375 
Ray Crone          R  17   7   1   0   0   2   0   1   0   0   0  .412  .474  .471 
Jim Davis          L  14   4   0   0   1   3   0   3   0   1   0  .286  .412  .500 
Ike Delock         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Murry Dickson      R 118  34   2   1   2  15   0   3   0   3   0  .288  .368  .373 
Art Ditmar         R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Jess Dobernic      R   9   2   0   0   1   0   0   0   0   0   0  .222  .222  .556 
George Dockins     L   8   3   1   0   1   0   0   0   0   0   0  .375  .375  .875 
Blix Donnelly      R  12   4   0   0   1   1   0   1   0   0   0  .333  .385  .583 
Lino Donoso        L   5   4   0   0   0   1   0   0   0   0   0  .800  .833  .800 
Dick Donovan       R   4   3   1   0   0   1   0   0   0   0   0  .750  .800 1.000 
Whammy Douglas     R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Moe Drabowsky      R   5   1   0   0   0   3   0   0   0   0   0  .200  .500  .200 
Karl Drews         R  15   4   1   0   1   2   0   1   0   0   0  .267  .353  .533 
Dick Drott         R  15   5   2   0   0   2   0   0   0   0   0  .333  .412  .467 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Drysdale       R  17   3   0   0   0   2   0   1   0   0   0  .176  .263  .176 
Monk Dubiel        R  31   9   1   1   0   1   0   2   0   0   0  .290  .313  .387 
Erv Dusak          R   3   2   0   0   0   2   0   0   0   0   0  .667  .800  .667 
Glenn Elliott      L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Don Elston         R  10   2   1   0   0   0   0   0   0   0   1  .200  .182  .300 
Eddie Erautt       R  13   2   0   0   0   0   0   2   0   1   0  .154  .154  .154 
Paul Erickson      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Carl Erskine       R 108  28   5   1   2  11   0  11   0   2   1  .259  .325  .380 
Roy Face           R  22   4   0   0   0   3   3   1   0   0   0  .182  .280  .182 
Frank Fanovich     L   4   1   1   0   0   1   0   0   0   0   0  .250  .400  .500 
Turk Farrell       R   3   1   0   0   0   2   0   1   0   0   0  .333  .600  .333 
Ben Flowers        R   3   3   1   0   0   1   0   0   0   1   0 1.000 1.000 1.333 
Art Fowler         R  49  11   1   0   0   2   0   5   0   0   0  .224  .255  .245 
Howie Fox          R  76  25   5   0   0   9   0   2   0   2   0  .329  .400  .395 
Hersh Freeman      R  14   6   1   0   1   3   2   0   0   1   1  .429  .500  .714 
Bob Friend         R  75  17   0   0   0   8   1   2   0   1   1  .227  .298  .227 
Bob Gibson         R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Ruben Gomez        R  11   1   0   0   0   0   0   2   0   0   0  .091  .091  .091 
Hal Gregg          R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Marv Grissom       R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Gross          L   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 
Harry Gumbert      R   9   3   0   0   0   2   0   0   0   0   0  .333  .455  .333 
Warren Hacker      R  82  18   3   1   3   3   0   2   0   0   0  .220  .247  .390 
Harvey Haddix      L  53  14   0   1   1   2   0   6   0   1   0  .264  .291  .358 
Dick Hall          R   6   1   0   0   0   2   0   0   0   0   0  .167  .375  .167 
Bob Hall           R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Ralph Hamner       R  14   6   0   1   1   1   0   0   0   0   0  .429  .467  .786 
Andy Hansen        R   9   0   0   0   0   1   0   0   0   0   0  .000  .100  .000 
Joe Hatten         L  23   4   0   0   0   3   0   4   0   0   0  .174  .269  .174 
Phil Haugstad      R   5   1   0   0   0   0   0   2   1   0   0  .200  .333  .200 
Jim Hearn          R  14   2   0   1   0   1   1   0   0   0   0  .143  .200  .286 
Ken Heintzelman    L  41  15   2   1   0   4   0   4   0   1   0  .366  .422  .463 
