Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Johnny Antonelli   L   6   3   1   0   0   1   0   0   0   1   0  .500  .571  .667 
Jim Bagby          R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jack Banta         R   4   0   0   0   0   1   0   1   1   0   0  .000  .333  .000 
Rex Barney         R  13   2   0   1   0   3   0   3   0   0   0  .154  .313  .308 
Red Barrett        R   9   2   0   0   1   2   0   1   0   0   0  .222  .364  .556 
Hank Behrman       R  12   2   0   0   0   2   2   2   0   0   0  .167  .286  .167 
Vern Bickford      R  12   3   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ewell Blackwell    R   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Tiny Bonham        R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Hank Borowy        R  15   4   0   0   0   1   0   1   0   0   0  .267  .313  .267 
Ralph Branca       R  24   5   2   0   1   3   0   4   0   0   0  .208  .296  .417 
Al Brazle          L  11   3   0   0   0   1   0   1   0   1   0  .273  .333  .273 
Harry Brecheen     L  26   4   2   0   0   2   0   3   0   0   0  .154  .214  .231 
Ken Burkhart       R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Hugh Casey         R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Bob Chesnes        R  13   7   1   0   1   4   0   0   0   1   0  .538  .647  .846 
Bob Chipman        L  12   3   0   0   1   2   0   0   0   0   0  .250  .357  .500 
Murry Dickson      R  19   3   2   0   0   3   1   2   0   0   0  .158  .273  .263 
Blix Donnelly      R  14   4   1   0   1   0   0   1   0   0   0  .286  .286  .571 
Monk Dubiel        R  11   3   0   0   0   0   0   0   0   0   0  .273  .273  .273 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Eddie Erautt       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Paul Erickson      R  10   6   2   1   0   1   0   2   0   1   0  .600  .636 1.000 
Howie Fox          R  15   4   0   0   2   2   0   3   0   0   0  .267  .353  .667 
Hal Gregg          R   7   1   0   0   0   3   0   1   0   1   0  .143  .400  .143 
Harry Gumbert      R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Joe Hatten         L  18   4   0   0   0   1   0   1   0   0   0  .222  .263  .222 
Jim Hearn          R  13   2   0   0   0   1   1   0   0   0   0  .154  .214  .154 
Ken Heintzelman    L  12   3   0   0   0   2   0   1   0   0   0  .250  .357  .250 
Kirby Higbe        R  16   5   0   0   1   4   1   0   0   1   0  .313  .450  .500 
Bobby Hogue        R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Ken Johnson        L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Si Johnson         R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Oscar Judd         L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Al Jurisich        R   5   2   0   0   0   3   0   0   0   0   0  .400  .625  .400 
Bob Kelly          R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Clyde King         R   4   0   0   0   0   1   1   0   0   0   0  .000  .200  .000 
Emil Kush          R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Doyle Lade         R   9   3   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Dutch Leonard      R  18   6   1   0   1   1   0   0   0   0   0  .333  .368  .556 
Buddy Lively       R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Vic Lombardi       L  11   3   0   0   0   2   0   1   0   0   0  .273  .385  .273 
