Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L  13   3   0   0   1   1   0   3   1   0   0  .231  .333  .462 
Ted Abernathy      R   8   4   0   0   1   1   0   0   0   0   0  .500  .556  .875 
Hank Aguirre       L   8   2   2   0   0   1   0   0   0   1   0  .250  .333  .500 
Bob Allen          L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Luis Aloma         R   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Jim Archer         L   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Luis Arroyo        L   9   3   0   0   0   1   0   0   0   0   0  .333  .400  .333 
Steve Barber       L  26   3   0   0   1   4   0   2   0   0   0  .115  .233  .231 
Frank Baumann      L  16   5   2   0   0   1   0   0   0   0   0  .313  .353  .438 
Gene Bearden       L  24   4   0   0   1   2   0   1   1   0   0  .167  .259  .292 
Bo Belinsky        L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Gary Bell          R  33   6   0   0   1   4   0   2   1   0   1  .182  .282  .273 
Al Benton          R   8   1   0   0   0   2   0   3   1   0   0  .125  .364  .125 
Babe Birrer        R   4   1   0   0   1   2   2   0   0   0   0  .250  .500 1.000 
Frank Biscan       L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Charlie Bishop     R   6   2   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Mike Blyzka        R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Tom Borland        L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Ted Bowsfield      L  12   7   3   0   0   1   0   1   0   0   0  .583  .615  .833 
Cloyd Boyer        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ralph Branca       R   6   3   2   0   0   2   0   0   0   0   0  .500  .625  .833 
Harry Brecheen     L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Tom Brewer         R  85  24   4   0   1   6   0   6   1   0   0  .282  .337  .365 
John Briggs        R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Lou Brissie        L  26   3   0   0   1   3   1   1   0   1   0  .115  .207  .231 
Dick Brodowski     R   6   1   0   0   0   3   0   0   0   0   1  .167  .400  .167 
Hal Brown          R  36  14   1   0   0   3   0   4   1   1   0  .389  .450  .417 
Bob Bruce          R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
George Brunet      L   4   2   2   0   0   0   0   1   0   0   0  .500  .500 1.000 
Jim Bunning        R  73  25   4   0   5   3   0   8   2   2   0  .342  .385  .603 
Wally Burnette     R  10   6   1   0   1   0   0   0   0   0   0  .600  .600 1.000 
Pete Burnside      L   4   1   0   0   1   1   1   2   0   0   0  .250  .400 1.000 
