Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Miguel Asencio     R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
James Baldwin      R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Joaquin Benoit     R   3   1   0   0   0   0   0   1   0   1   0  .333  .333  .333 
Mark Buehrle       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
John Burkett       R   3   2   1   0   1   0   0   1   0   1   0  .667  .667 2.000 
Paul Byrd          R  10   2   0   0   0   0   0   1   0   1   0  .200  .200  .200 
Roger Clemens      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ryan Dempster      R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Freddy Garcia      R   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Jon Garland        R   2   1   0   0   0   2   0   1   0   0   0  .500  .750  .500 
Gary Glover        R   4   2   0   0   0   1   0   0   0   0   1  .500  .500  .500 
Rick Helling       R   4   2   1   0   0   0   0   1   1   0   0  .500  .600  .750 
R. Hernandez       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Tim Hudson         R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
John Lackey        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kyle Lohse         R   9   2   0   0   0   0   0   2   0   0   0  .222  .222  .222 
Rodrigo Lopez      R   9   1   0   0   1   0   0   2   0   0   0  .111  .111  .444 
Joe Mays           R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Eric Milton        L   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Mike Mussina       R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brad Radke         R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Todd Ritchie       R   6   4   0   2   1   0   0   0   0   0   0  .667  .667 1.833 
John Stephens      R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Jeff Suppan        R  10   2   2   0   0   0   0   2   0   0   0  .200  .200  .400 
Mike Thurman       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Ismael Valdez      R   6   1   0   0   0   1   0   3   0   0   0  .167  .286  .167 
Pete Walker        R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
David Wells        L   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Dan Wright         R   3   1   1   0   0   2   0   1   0   1   0  .333  .600  .667
