Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Glenn Abbott       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jim Acker          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jack Aker          R   7   1   0   1   0   0   0   2   0   0   0  .143  .143  .429 
Santo Alcala       R   6   4   0   0   2   0   0   0   0   0   0  .667  .667 1.667 
Doyle Alexander    R  11   3   1   0   0   3   0   4   0   0   0  .273  .429  .364 
Neil Allen         R  14   2   1   0   0   0   0   2   0   0   1  .143  .133  .214 
Larry Andersen     R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Bud Anderson       R   3   2   0   0   1   1   0   1   0   0   0  .667  .750 1.667 
Joaquin Andujar    R  19   7   2   0   0   0   0   2   0   0   0  .368  .368  .474 
Bob Apodaca        R  11   2   0   0   1   2   1   4   0   0   0  .182  .308  .455 
Luis Aponte        R   8   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Steve Arlin        R  24   9   3   1   0   1   0   0   0   0   0  .375  .400  .583 
Mike Armstrong     R  11   3   0   0   0   1   0   3   0   0   0  .273  .333  .273 
Bill Atkinson      R   5   1   0   0   0   0   0   3   0   0   1  .200  .167  .200 
Jerry Augustine    L   2   1   1   0   0   1   0   0   0   0   1  .500  .500 1.000 
Stan Bahnsen       R  13   4   2   0   1   4   1   2   0   0   0  .308  .471  .692 
Doug Bair          R  11   1   1   0   0   0   0   4   0   0   0  .091  .091  .182 
Steve Baker        R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Rick Baldwin       R   7   4   0   0   1   0   0   1   1   0   0  .571  .625 1.000 
Floyd Bannister    L  16   2   0   0   0   5   0   5   0   0   0  .125  .333  .125 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Len Barker         R  20   6   0   0   1   1   0   5   0   0   0  .300  .333  .450 
Jim Barr           R  38  13   1   0   4   5   1   7   1   0   0  .342  .432  .684 
Dave Beard         R   6   3   0   0   1   0   0   0   1   0   0  .500  .571 1.000 
Jim Beattie        R  13   4   1   0   0   3   0   3   0   0   0  .308  .438  .385 
Joe Beckwith       R   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Juan Berenguer     R  21   3   2   0   0   2   0   2   0   0   0  .143  .217  .238 
Dwight Bernard     R   9   3   0   0   0   1   0   0   0   0   1  .333  .364  .333 
Jim Bibby          R  24   4   2   0   0   4   1   4   2   0   1  .167  .323  .250 
Jack Billingham    R  31   8   1   0   1   3   0   7   0   0   0  .258  .324  .387 
Doug Bird          R  10   5   1   0   2   0   0   2   0   0   0  .500  .500 1.200 
Buddy Black        L  11   2   1   0   0   5   0   4   0   0   0  .182  .438  .273 
Dennis Blair       R  22   6   1   0   1   1   0   5   0   0   0  .273  .304  .455 
Steve Blass        R  25   9   1   0   1   0   0   5   0   0   0  .360  .360  .520 
Vida Blue          L  23   3   0   0   1   2   0   6   0   0   1  .130  .192  .261 
Bert Blyleven      R  43  11   2   0   2  10   0  12   1   0   0  .256  .407  .442 
Mike Boddicker     R   6   2   0   0   1   0   0   2   0   0   0  .333  .333  .833 
Mark Bomback       R  16   4   1   0   1   2   0   4   1   0   0  .250  .368  .500 
Bill Bonham        R  83  25   3   0   1   7   0  22   0   0   0  .301  .356  .373 
Pedro Borbon       R  22  10   2   1   3   5   1   3   0   0   0  .455  .556 1.045 
Oil Can Boyd       R  11   2   0   0   1   1   0   1   0   0   0  .182  .250  .455 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Bradley        R   9   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom Brennan        R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Ken Brett          L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jim Brewer         L   4   1   0   0   1   1   0   2   0   0   0  .250  .400 1.000 
Nelson Briles      R   9   2   1   0   0   0   0   4   0   0   0  .222  .222  .333 
Jackie Brown       R   9   4   0   0   1   1   0   2   0   0   0  .444  .500  .778 
Mike Brown         R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Steve Brown        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mike Bruhert       R  12   1   0   0   0   0   0   1   0   0   0  .083  .083  .083 
Tom Bruno          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ron Bryant         L  18   6   1   1   2   2   0   2   0   0   0  .333  .400  .833 
Tom Burgmeier      L   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Ray Burris         R  63  16   3   0   0  12   0  19   0   0   1  .254  .368  .302 
John Butcher       R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Mike Caldwell      L  42  13   2   0   2   2   0   3   0   0   1  .310  .333  .500 
Rick Camp          R   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Dave Campbell      R   7   2   2   0   0   1   0   3   0   0   0  .286  .375  .571 
John Candelaria    L  35   6   0   0   2   6   1  11   0   0   1  .171  .286  .343 
Doug Capilla       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Buzz Capra         R  17   4   1   0   1   6   2   6   0   0   1  .235  .417  .471 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Carrithers     R   9   2   1   0   0   0   0   2   1   0   1  .222  .273  .333 
Clay Carroll       R  17   6   1   0   0   0   0   4   0   0   0  .353  .353  .412 
Bobby Castillo     R  21   8   3   0   2   3   0   4   0   0   0  .381  .458  .810 
Bill Castro        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bill Caudill       R  11   2   0   0   0   6   0   5   0   0   0  .182  .471  .182 
Jim Clancy         R  25  11   2   0   2   2   0   3   0   0   1  .440  .464  .760 
Bryan Clark        L  13   4   0   0   2   3   1   1   0   0   0  .308  .438  .769 
Mark Clear         R  11   2   0   0   1   2   0   3   1   0   0  .182  .357  .455 
Roger Clemens      R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Reggie Cleveland   R  28  12   0   1   2   3   0   7   0   0   0  .429  .484  .714 
Jaime Cocanower    R  13   5   1   0   0   0   0   1   0   0   0  .385  .385  .462 
Chris Codiroli     R  13   5   3   0   0   2   0   0   1   0   1  .385  .471  .615 
Joe Coleman        R   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Steve Comer        R  10   5   0   0   1   1   0   1   0   0   0  .500  .545  .800 
Tim Conroy         L  15   2   0   0   1   2   0   4   0   0   0  .133  .235  .333 
Don Cooper         R   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
Doug Corbett       R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Mike Corkins       R  11   6   2   0   1   0   0   2   1   0   0  .545  .583 1.000 
Mardie Cornejo     R   2   0   0   0   0   1   0   1   0   0   1  .000  .250  .000 
Steve Crawford     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Keith Creel        R   8   3   1   0   0   0   0   1   0   0   0  .375  .375  .500 
John Curtis        L  24   7   1   0   2   7   4   2   0   0   1  .292  .438  .583 
John D'Acquisto    R  12   4   2   0   0   3   1   3   1   0   0  .333  .500  .500 
Bruce Dal Canton   R   6   1   0   0   0   2   0   2   0   0   0  .167  .375  .167 
Pat Darcy          R  12   2   0   0   0   4   1   5   0   0   0  .167  .375  .167 
Danny Darwin       R  18   3   0   0   0   2   0   5   0   0   0  .167  .250  .167 
Storm Davis        R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Ron Davis          R  14   5   1   0   1   1   0   4   0   0   0  .357  .400  .643 
Joe Decker         R   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
Larry Demery       R  17   5   1   1   1   2   0   4   0   0   1  .294  .350  .647 
