Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Larry Andersen     R   4   1   0   0   0   0   0   1   0   0   1  .250  .200  .250 
Mike Bielecki      R   7   4   0   1   0   0   0   1   0   0   0  .571  .571  .857 
Tom Browning       L  10   2   0   0   1   0   0   1   0   0   0  .200  .200  .500 
Don Carman         L  10   1   0   0   0   0   0   1   0   0   0  .100  .100  .100 
John Costello      R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Tim Crews          R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Danny Darwin       R   8   1   0   0   0   1   1   1   0   0   0  .125  .222  .125 
Mark Davis         L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Ken Dayley         L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jim Deshaies       L   7   2   2   0   0   0   0   1   0   0   0  .286  .286  .571 
Kelly Downs        R   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Doug Drabek        R   4   3   0   0   1   0   0   0   1   0   0  .750  .800 1.500 
John Franco        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Scott Garrelts     R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Kevin Gross        R  13   5   1   0   0   1   0   2   0   0   0  .385  .429  .462 
Atlee Hammaker     L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Greg Harris        R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Greg Harris        R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
LaTroy Hawkins     R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Orel Hershiser     R  11   2   0   0   0   0   0   1   0   0   0  .182  .182  .182 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ricky Horton       L   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Ken Howell         R   6   0   0   0   0   1   0   3   0   0   1  .000  .125  .000 
Bruce Hurst        L   9   2   0   0   1   1   0   1   0   0   0  .222  .300  .556 
Danny Jackson      L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bob Kipper         L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Bob Knepper        L   9   2   1   0   0   0   0   0   0   0   0  .222  .222  .333 
Randy Kramer       R   4   0   0   0   0   0   0   0   1   0   0  .000  .200  .000 
Mike Krukow        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mike LaCoss        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Les Lancaster      R   5   1   0   0   0   0   0   0   0   0   1  .200  .167  .200 
Mark Langston      L   7   3   2   0   0   1   0   3   0   1   0  .429  .500  .714 
Craig Lefferts     L   8   4   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Derek Lilliquist   L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Greg Maddux        R  11   3   0   0   0   0   0   0   0   0   0  .273  .273  .273 
Greg Mathews       L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Andy McGaffigan    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Larry McWilliams   L   8   3   2   0   0   0   0   0   0   0   0  .375  .375  .625 
Jamie Moyer        L   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Terry Mulholland   L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Randy O'Neal       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeff Parrett       R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Alejandro Pena     R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Pascual Perez      R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Pat Perry          L   4   2   1   0   1   0   0   1   0   0   0  .500  .500 1.500 
Jeff Pico          R   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ted Power          R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Dan Quisenberry    R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Dennis Rasmussen   L   9   4   1   0   0   1   0   1   0   1   1  .444  .455  .556 
Shane Rawley       L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Rich Robertson     L   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Don Robinson       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Kenny Rogers       L   6   2   0   0   1   0   0   0   0   0   1  .333  .286  .833 
Bruce Ruffin       L   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Mike Scott         R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Bob Sebra          R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Eric Show          R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
John Smiley        L  13   3   1   0   0   1   0   4   0   0   0  .231  .286  .308 
Bryn Smith         R  11   3   0   0   1   0   0   1   0   0   1  .273  .250  .545 
Pete Smith         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Zane Smith         L   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Sutcliffe     R  12   3   1   0   0   0   0   2   0   0   0  .250  .250  .333 
Scott Terry        R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
John Tudor         L   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
F. Valenzuela      L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Bob Walk           R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Wetteland     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Mitch Williams     L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Wilson       L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400
