Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  40  14   4   1   1   5   1   6   2   0   0  .350  .447  .575 
Mark Acre          R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Rick Aguilera      R   9   1   0   0   0   1   0   5   0   0   0  .111  .200  .111 
Scott Aldred       L  11   3   1   0   1   0   0   4   0   0   0  .273  .273  .636 
Neil Allen         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Wilson Alvarez     L  10   1   0   0   0   3   1   3   0   0   1  .100  .286  .100 
Allan Anderson     L  15   3   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Brian Anderson     L   6   2   1   1   0   0   0   0   0   0   0  .333  .333  .833 
Kevin Appier       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jack Armstrong     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Paul Assenmacher   L   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Don August         R   7   2   2   0   0   1   0   1   1   0   0  .286  .444  .571 
Joe Ausanio        R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Jim Austin         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bobby Ayala        R   4   1   0   0   1   2   0   1   0   0   0  .250  .500 1.000 
Scott Bailes       L   6   1   0   0   1   1   0   1   0   0   1  .167  .250  .667 
James Baldwin      R   9   3   1   0   0   1   0   0   1   0   0  .333  .455  .444 
Jeff Ballard       L   7   2   0   1   0   1   0   0   0   0   0  .286  .375  .571 
Scott Bankhead     R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Willie Banks       R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
John Barfield      L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jose Bautista      R   4   2   1   0   0   1   0   1   0   0   0  .500  .600  .750 
Tim Belcher        R  18   4   1   0   1   3   0   2   1   0   0  .222  .364  .444 
Jason Bere         R  16   7   1   0   3   5   0   4   0   0   0  .438  .571 1.063 
Mike Bielecki      R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Mike Birkbeck      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Buddy Black        L   8   2   1   0   0   0   0   1   0   0   0  .250  .250  .375 
Bert Blyleven      R  15   5   0   0   1   0   0   0   0   0   0  .333  .333  .533 
Mike Boddicker     R   6   2   0   0   0   1   0   2   0   0   0  .333  .429  .333 
Joe Boever         R   7   1   0   0   1   4   0   1   1   0   0  .143  .500  .571 
Brian Bohanon      L   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Tom Bolton         L  14   6   2   0   0   0   0   2   1   0   1  .429  .438  .571 
Ricky Bones        R  32   9   3   0   0   2   0   6   1   0   0  .281  .343  .375 
Chris Bosio        R  21   5   1   0   1   2   0   5   0   0   0  .238  .304  .429 
Denis Boucher      L   4   2   1   0   0   1   0   1   0   0   0  .500  .600  .750 
Oil Can Boyd       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Kevin Brown        R  20   4   1   0   0   0   0   8   0   0   0  .200  .200  .250 
Kevin Brown        L   6   3   2   0   0   0   0   0   0   0   0  .500  .500  .833 
Dave Burba         R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
John Burkett       R   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Todd Burns         R   5   3   1   0   0   0   0   1   0   0   0  .600  .600  .800 
Greg Cadaret       L   5   2   1   0   0   2   0   0   0   0   0  .400  .571  .600 
John Candelaria    L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Tom Candiotti      R   8   2   1   0   0   1   0   3   0   0   0  .250  .333  .375 
Rafael Carmona     R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Chris Carpenter    R   8   3   1   0   0   0   0   1   0   0   0  .375  .375  .500 
Cris Carpenter     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Chuck Cary         L  11   3   0   1   0   2   0   4   0   0   0  .273  .385  .455 
Larry Casian       L   8   2   0   0   0   2   0   3   0   0   0  .250  .400  .250 
Tony Castillo      L  15   1   0   0   0   1   0   1   0   0   0  .067  .125  .067 
Carlos Castillo    R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
John Cerutti       L   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Norm Charlton      L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Mark Clark         R  11   6   2   0   2   0   0   3   2   0   0  .545  .615 1.273 
Roger Clemens      R  34   9   0   0   0   3   0  12   1   0   0  .265  .342  .265 
Bartolo Colon      R   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 
Dennis Cook        L   9   4   3   0   0   0   0   3   0   0   0  .444  .444  .778 
Rocky Coppinger    R   6   3   1   1   0   0   0   1   0   0   0  .500  .500 1.000 
Jim Corsi          R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Tim Crabtree       R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chuck Crim         R   9   1   0   0   1   1   0   1   0   0   0  .111  .200  .444 
Ron Darling        R  15   2   0   0   0   0   0   5   1   0   0  .133  .188  .133 
Danny Darwin       R  23   6   0   0   1   1   0   4   1   0   0  .261  .320  .391 
Storm Davis        R   9   2   0   0   0   3   0   2   0   0   0  .222  .417  .222 
Tim Davis          L   5   2   0   0   0   2   1   2   0   0   0  .400  .571  .400 
