Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Abbott        R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Kevin Appier       R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Rolando Arrojo     R   4   1   0   0   0   0   0   1   0   1   0  .250  .250  .250 
Andy Ashby         R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Cory Bailey        R   3   3   0   0   0   1   0   0   0   1   0 1.000 1.000 1.000 
Josh Beckett       R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Joe Beimel         L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Adam Bernero       R   3   1   0   0   0   0   0   2   0   1   0  .333  .333  .333 
Rocky Biddle       R  12   4   1   0   1   1   0   1   0   0   0  .333  .385  .667 
Brian Boehringer   R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jim Brower         R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Mark Buehrle       L  13   2   0   0   0   0   0   0   1   0   0  .154  .214  .154 
Dave Burba         R  10   2   0   0   0   2   0   1   1   0   0  .200  .385  .200 
Paul Byrd          R   8   2   1   0   0   1   0   0   0   0   0  .250  .333  .375 
Chris Capuano      L   9   2   0   0   1   0   0   0   0   0   0  .222  .222  .556 
Chris Carpenter    R  15   3   1   0   0   1   0   6   0   0   0  .200  .250  .267 
Frank Castillo     R   9   1   1   0   0   1   0   1   0   0   0  .111  .200  .222 
Roger Clemens      R  19   5   0   0   1   1   0   5   1   0   0  .263  .333  .421 
Dave Coggin        R   5   2   1   0   0   0   0   2   0   0   0  .400  .400  .600 
Bartolo Colon      R  21  11   0   1   1   2   0   3   1   0   0  .524  .583  .762 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Cone         R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Rheal Cormier      L   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
