Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ace Adams          R   6   3   0   0   1   0   0   0   0   0   0  .500  .500 1.000 
Dick Barrett       R  11   1   0   0   0   1   0   2   0   0   0  .091  .167  .091 
Jack Brewer        R   2   2   0   0   1   2   0   0   0   0   0 1.000 1.000 2.500 
Ken Burkhart       R   7   3   1   0   0   0   0   1   0   0   0  .429  .429  .571 
Bud Byerly         R   6   1   0   0   0   1   0   0   0   1   0  .167  .286  .167 
Dick Coffman       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jack Creel         R   8   2   0   0   0   3   1   2   0   0   0  .250  .455  .250 
Frank Dasso        R   8   1   0   0   0   1   0   4   0   0   0  .125  .222  .125 
Curt Davis         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Harry Feldman      R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Howie Fox          R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Al Gerheauser      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Hal Gregg          R   8   2   1   0   0   2   0   3   0   0   0  .250  .400  .375 
Andy Hansen        R   9   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Art Herring        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Oscar Judd         L   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Vern Kennedy       R   8   4   0   0   0   3   0   1   0   0   0  .500  .636  .500 
Clyde King         R   5   2   2   0   0   0   0   0   0   0   0  .400  .400  .800 
Bill Lee           R  11   4   1   0   0   0   0   1   0   2   0  .364  .364  .455 
Hod Lisenbee       R   5   3   2   0   0   0   0   0   0   0   0  .600  .600 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Vic Lombardi       L   8   2   0   0   0   1   0   1   0   2   0  .250  .333  .250 
Van Mungo          R   5   0   0   0   0   3   0   1   0   0   0  .000  .375  .000 
S. Partenheimer    L   3   1   0   1   0   1   0   1   0   0   0  .333  .500 1.000 
Claude Passeau     R  10   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Ray Prim           L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Preacher Roe       L   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Charley Schanz     R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Charlie Sproull    R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Nick Strincevich   R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Bill Voiselle      R  14   6   0   0   1   0   0   2   0   1   0  .429  .429  .643 
Bucky Walters      R  12   2   1   0   0   0   0   1   0   0   0  .167  .167  .250 
Ted Wilks          R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Whit Wyatt         R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Hank Wyse          R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200
