Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  26   5   1   0   0   3   0   5   0   0   0  .192  .276  .231 
Jim Acker          R   6   1   0   0   0   0   0   1   0   0   1  .167  .143  .167 
Scott Aldred       L   5   3   1   0   0   0   0   0   1   0   0  .600  .667  .800 
Doyle Alexander    R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Wilson Alvarez     L  13   5   1   0   0   0   0   2   0   0   0  .385  .385  .462 
Kevin Appier       R  21   6   3   0   0   1   0   4   0   0   0  .286  .318  .429 
Luis Aquino        R   1   0   0   0   0   1   0   0   1   1   0  .000  .667  .000 
Jack Armstrong     R   4   2   0   0   0   2   0   1   0   1   0  .500  .667  .500 
Paul Assenmacher   L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jeff Ballard       L   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Scott Bankhead     R   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
Chris Beasley      R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Tim Belcher        R  10   3   1   0   0   1   0   2   0   0   0  .300  .364  .400 
Stan Belinda       R   6   2   0   1   0   1   0   1   0   0   0  .333  .429  .667 
Sean Bergman       R   5   3   1   0   0   1   0   0   0   0   0  .600  .667  .800 
Buddy Black        L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Willie Blair       R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Bert Blyleven      R   9   2   0   0   0   2   0   2   1   0   0  .222  .417  .222 
Randy Bockus       R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Mike Boddicker     R   6   3   0   0   1   0   0   0   0   0   0  .500  .500 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Boever         R   3   1   1   0   0   3   0   1   0   0   0  .333  .667  .667 
Brian Bohanon      L   7   2   1   0   0   1   0   2   0   0   0  .286  .375  .429 
Tom Bolton         L   9   1   1   0   0   1   0   0   0   0   0  .111  .200  .222 
Ricky Bones        R  25  10   4   0   0   1   0   2   0   0   0  .400  .423  .560 
Chris Bosio        R  23   8   0   0   2   1   0   3   0   0   0  .348  .375  .609 
Oil Can Boyd       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Kevin Brown        R  27  12   1   0   0   3   0   4   0   0   0  .444  .500  .481 
Tom Browning       L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
John Burkett       R   4   2   2   0   0   0   0   1   0   0   0  .500  .500 1.000 
Todd Burns         R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Greg Cadaret       L   9   4   1   1   1   1   0   2   0   0   0  .444  .500 1.111 
Kevin Campbell     R   3   1   0   0   1   2   0   1   0   0   0  .333  .600 1.333 
Tom Candiotti      R  10   1   0   0   0   0   0   1   1   0   0  .100  .182  .100 
