Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cy Acosta          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Vic Albury         L   5   2   0   0   0   1   0   0   1   0   0  .400  .571  .400 
Doyle Alexander    R  13   2   0   0   0   1   0   1   0   1   0  .154  .214  .154 
Lloyd Allen        R   2   0   0   0   0   3   0   1   0   0   0  .000  .600  .000 
Joaquin Andujar    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bill Atkinson      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jerry Augustine    L   9   1   0   0   0   1   0   0   0   0   0  .111  .200  .111 
Rick Austin        L   6   1   0   0   0   2   0   1   0   0   0  .167  .375  .167 
Stan Bahnsen       R  30   8   0   0   0   3   0   3   0   0   0  .267  .333  .267 
Doug Bair          R   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Fred Beene         R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Jerry Bell         R   7   3   0   0   1   2   1   2   0   0   0  .429  .556  .857 
Jim Bibby          R  23   4   0   0   0   2   0   6   2   0   0  .174  .296  .174 
Doug Bird          R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Vida Blue          L  48  16   3   0   0   7   0   7   0   0   0  .333  .418  .396 
Bert Blyleven      R  47  13   1   0   0   7   1  11   0   0   0  .277  .370  .298 
Bobby Bolin        R  12   2   0   0   0   4   0   1   0   1   0  .167  .375  .167 
Pedro Borbon       R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Gene Brabender     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Tom Bradley        R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ken Brett          L  12   5   1   0   0   3   1   0   0   0   0  .417  .533  .500 
Nelson Briles      R   8   1   1   0   0   0   0   0   1   0   0  .125  .222  .250 
Pete Broberg       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jackie Brown       R  10   2   0   0   0   1   0   2   0   0   0  .200  .273  .200 
George Brunet      L   4   2   1   0   1   1   0   0   0   0   0  .500  .600 1.500 
Tom Bruno          R   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Tom Burgmeier      L   4   2   0   0   0   1   0   0   0   2   0  .500  .600  .500 
Ray Burris         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Steve Busby        R   7   4   0   0   0   1   0   0   1   0   0  .571  .667  .571 
Tom Buskey         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Bill Butler        L   8   1   0   0   0   2   0   2   0   0   0  .125  .300  .125 
Marty Bystrom      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Les Cain           L   5   1   1   0   0   1   0   2   0   0   0  .200  .333  .400 
Bill Campbell      R   6   1   0   0   0   2   0   1   0   0   0  .167  .375  .167 
John Candelaria    L  22   4   2   0   0   1   0   2   0   0   0  .182  .217  .273 
Steve Carlton      L  33   4   2   0   0   6   0   8   0   0   0  .121  .256  .182 
Bill Caudill       R   5   0   0   0   0   2   1   2   0   0   0  .000  .286  .000 
Bill Champion      R  11   3   0   0   1   1   0   1   0   0   0  .273  .333  .545 
Dean Chance        R   2   1   0   0   0   1   0   0   1   0   0  .500  .750  .500 
L. Christenson     R  14   2   0   0   0   0   0   0   0   1   0  .143  .143  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Reggie Cleveland   R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
