Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Bruce          R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Bob Buhl           R   6   1   0   0   0   0   0   3   0   1   0  .167  .167  .167 
Don Cardwell       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Don Drysdale       R   8   0   0   0   0   1   0   2   1   0   0  .000  .200  .000 
Jim Duffalo        R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Dick Ellsworth     L   4   1   0   0   1   1   0   1   0   3   1  .250  .333 1.000 
Hank Fischer       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Earl Francis       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bob Friend         R  15   2   2   0   0   0   0   4   0   2   0  .133  .133  .267 
Bob Gibson         R   6   0   0   0   0   1   0   4   0   0   0  .000  .143  .000 
Harvey Haddix      L   5   0   0   0   0   2   0   2   0   0   0  .000  .286  .000 
Bob Hendley        L   4   2   0   1   0   0   0   0   0   2   0  .500  .500 1.000 
Glen Hobbie        R   9   4   0   0   1   0   0   1   0   0   0  .444  .444  .778 
Jay Hook           R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Al Jackson         L   8   2   1   0   0   0   0   1   0   0   0  .250  .250  .375 
Larry Jackson      R   9   0   0   0   0   0   0   4   0   1   0  .000  .000  .000 
Joey Jay           R   9   1   0   0   0   1   0   1   0   0   0  .111  .200  .111 
J. Klippstein      R   2   1   0   0   0   1   0   0   0   2   0  .500  .667  .500 
Sandy Koufax       L   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Jim Maloney        R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Juan Marichal      R   7   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Mike McCormick     L  12   1   0   0   0   0   0   3   0   3   0  .083  .083  .083 
Billy O'Dell       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim O'Toole        L  10   3   2   0   0   0   0   5   0   1   0  .300  .300  .500 
Bob Purkey         R   5   2   0   0   0   0   0   1   0   2   0  .400  .400  .400 
Ray Sadecki        L  13   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jack Sanford       R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Barney Schultz     R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Warren Spahn       L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
John Tsitouris     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Carl Willey        R   5   1   0   0   0   0   0   2   0   1   0  .200  .200  .200
