Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R  18   7   2   0   0   3   0   2   1   0   0  .389  .500  .500 
Hank Aguirre       L  47   8   0   0   4   4   0  10   1   1   0  .170  .250  .426 
Bob Allen          L  16   4   0   0   1   3   0   2   0   0   0  .250  .368  .438 
Johnny Antonelli   L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Jim Archer         L  18   3   0   0   1   2   0   3   1   0   0  .167  .286  .333 
Gerry Arrigo       L   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Steve Barber       L  46   7   1   0   1   7   0   8   0   0   1  .152  .259  .239 
Norm Bass          R   5   2   1   0   1   1   0   0   0   0   0  .400  .500 1.200 
Frank Baumann      L  38  12   3   0   2   1   0   7   0   0   0  .316  .333  .553 
Bo Belinsky        L  22   8   4   0   0   8   0   3   1   0   0  .364  .548  .545 
Gary Bell          R  69  24   0   0   5   9   0  10   2   0   1  .348  .432  .565 
Frank Bertaina     L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Wade Blasingame    L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Steve Blass        R  18   5   0   0   1   0   0   0   0   0   0  .278  .278  .444 
Bobby Bolin        R   6   2   2   0   0   1   0   0   0   0   0  .333  .429  .667 
Joe Bonikowski     R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Dave Boswell       R   6   2   0   0   1   1   0   1   0   0   0  .333  .429  .833 
Ted Bowsfield      L  38  11   2   0   3   0   0   4   0   0   2  .289  .275  .579 
Bucky Brandon      R   3   2   0   0   0   1   0   0   0   0   1  .667  .600  .667 
Jim Brewer         L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Brewer         R  47  14   1   0   5   7   1   7   0   0   0  .298  .389  .638 
John Briggs        R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jim Britton        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Dick Brodowski     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jim Bronstad       R   7   1   0   0   1   0   0   0   0   0   0  .143  .143  .571 
Hal Brown          R  49  12   1   1   2   3   1   8   0   0   0  .245  .288  .429 
Bob Bruce          R   2   2   0   0   2   2   0   0   0   0   0 1.000 1.000 4.000 
George Brunet      L  13   4   2   0   0   1   0   4   1   0   0  .308  .400  .462 
Wally Bunker       R  14   3   0   0   0   1   0   2   0   0   0  .214  .267  .214 
Jim Bunning        R  74  24   3   2   5  16   4   9   1   0   0  .324  .451  .622 
Wally Burnette     R  10   4   0   1   0   0   0   1   0   0   0  .400  .400  .600 
Pete Burnside      L  38  12   0   0   5   2   0   3   0   0   0  .316  .350  .711 
John Buzhardt      R  22   7   0   0   2   3   0   1   1   0   1  .318  .407  .591 
Bud Byerly         R   3   0   0   0   0   1   0   3   0   0   0  .000  .250  .000 
Don Cardwell       R   8   1   0   0   1   2   0   0   0   0   0  .125  .300  .500 
Clay Carroll       R   5   2   1   0   0   0   0   2   0   0   0  .400  .400  .600 
Jerry Casale       R  17   3   0   0   1   2   0   2   0   0   0  .176  .263  .353 
Dean Chance        R  60  10   3   0   0   9   2  11   0   0   0  .167  .275  .217 
Tom Cheney         R   9   2   1   0   1   1   0   3   0   0   0  .222  .300  .667 
Al Cicotte         R  11   4   3   0   1   2   1   1   0   0   0  .364  .462  .909 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tex Clevenger      R  15   5   0   1   0   7   2   0   0   0   0  .333  .545  .467 
Tony Cloninger     R   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Jim Coates         R   4   3   0   0   1   0   0   0   0   0   0  .750  .750 1.500 
Gene Conley        R  21   6   0   0   2   2   0   2   0   0   0  .286  .348  .571 
Mike Cuellar       L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Ray Culp           R   7   3   0   1   0   2   0   2   0   0   0  .429  .556  .714 
George Culver      R  10   3   2   0   0   2   0   0   0   0   0  .300  .417  .500 
Bud Daley          L  20   2   0   0   0   2   0   6   1   0   0  .100  .217  .100 
Bennie Daniels     R  34  12   2   0   1   5   0   1   0   0   0  .353  .436  .500 
Ike Delock         R  19   3   0   1   0   7   0   3   0   0   0  .158  .385  .263 
Jim Dickson        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Larry Dierker      R  21   6   2   0   0   0   0   2   0   0   0  .286  .286  .381 
Art Ditmar         R  25   6   3   0   1   1   0   2   1   0   0  .240  .296  .480 
Chuck Dobson       R   5   2   0   0   1   1   0   2   0   0   0  .400  .500 1.000 
Jim Donohue        R   5   1   0   1   0   2   0   1   0   0   0  .200  .429  .600 
Dick Donovan       R  72  22   6   1   4   5   0   5   1   0   0  .306  .359  .583 
Moe Drabowsky      R  10   3   1   0   2   1   0   1   0   0   0  .300  .364 1.000 
Don Drysdale       R  14   4   1   0   0   0   0   4   0   1   0  .286  .286  .357 
Jim Duckworth      R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Ryne Duren         R  18   1   0   0   0   7   1  10   0   0   0  .056  .320  .056 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Arnold Earley      L  15   6   1   0   1   1   0   2   1   0   0  .400  .471  .667 
Dick Egan          L   9   1   0   0   0   2   0   2   0   0   0  .111  .273  .111 
Chuck Estrada      R  30   7   1   0   1   6   0   5   0   0   1  .233  .351  .367 
Roy Face           R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Turk Farrell       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Don Ferrarese      L   9   2   1   0   1   2   0   1   0   0   0  .222  .364  .667 
Bill Fischer       R  17   6   2   0   2   1   1   2   0   0   0  .353  .389  .824 
Eddie Fisher       R  17   4   1   0   1   3   2   1   0   0   0  .235  .350  .471 
Jack Fisher        R  38   7   1   0   1   3   0   2   0   0   1  .184  .238  .289 
Whitey Ford        L  33   6   1   0   1   2   0   9   0   0   0  .182  .229  .303 
Mike Fornieles     R  20   7   1   0   1   5   2   0   0   0   0  .350  .480  .550 
Jerry Fosnow       L   4   1   0   0   1   1   0   2   0   0   0  .250  .400 1.000 
Art Fowler         R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Terry Fox          R  13   6   1   0   1   0   0   1   0   0   0  .462  .462  .769 
Paul Foytack       R  54  13   2   0   4  11   0   4   0   0   1  .241  .364  .500 
Frank Funk         R   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Ned Garver         R  27   7   1   0   3   3   0   4   0   0   1  .259  .323  .630 
Bob Giggie         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Dave Giusti        R   9   0   0   0   0   1   0   2   1   0   0  .000  .182  .000 
Fred Gladding      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Gorman         R   9   2   0   0   1   1   0   2   0   0   0  .222  .300  .556 
Mudcat Grant       R  54  17   2   0   7   6   0   7   0   0   0  .315  .383  .741 
Eli Grba           R  20   5   1   0   2   3   0   3   0   0   0  .250  .348  .600 
Hal Griggs         R  14   2   0   0   1   2   0   3   0   0   0  .143  .250  .357 
Bob Grim           R   3   1   0   0   0   3   0   1   0   0   0  .333  .667  .333 
Joe Grzenda        L   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Harvey Haddix      L   7   1   0   1   0   0   0   2   0   0   0  .143  .143  .429 
Dick Hall          R  24   7   2   0   1   3   2   3   0   0   0  .292  .370  .500 
Steve Hamilton     L   6   1   1   0   0   1   0   2   0   0   0  .167  .286  .333 
Bill Hands         R  13   3   0   0   0   0   0   1   0   0   0  .231  .231  .231 
Jim Hannan         R   5   1   0   0   1   2   0   0   0   0   0  .200  .429  .800 
Steve Hargan       R   8   2   0   0   0   1   0   0   0   0   0  .250  .333  .250 
Jack Harshman      L  30   7   0   0   0   1   0   5   0   0   0  .233  .258  .233 
Bob Heffner        R   9   4   1   0   0   1   0   0   0   0   0  .444  .500  .556 
Ray Herbert        R  54  12   1   1   4   2   0   2   0   0   1  .222  .246  .500 
Ramon Hernandez    L   7   2   1   1   0   0   0   0   0   0   0  .286  .286  .714 
Dave Hillman       R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Ed Hobaugh         R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Billy Hoeft        L  35   8   0   0   3   5   0   9   0   0   0  .229  .325  .486 
Joe Horlen         R  27   7   2   0   0   3   1   3   1   0   0  .259  .355  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bruce Howard       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Dick Hyde          R  11   2   1   0   0   2   0   2   0   0   0  .182  .308  .273 
Grant Jackson      L   4   2   0   0   0   2   0   1   0   0   0  .500  .667  .500 
Larry Jackson      R  26   8   1   1   0   2   1   2   1   0   0  .308  .379  .423 
Pat Jarvis         R  19   2   1   0   0   1   0   1   0   0   0  .105  .150  .158 
Fergie Jenkins     R  13   5   2   1   0   3   0   2   0   0   0  .385  .500  .692 
Tommy John         L   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Connie Johnson     R  10   2   0   0   0   2   0   2   0   0   0  .200  .333  .200 
Ken Johnson        R  13   4   0   0   0   2   0   5   0   1   0  .308  .400  .308 
Jim Kaat           L  38   6   1   0   1   3   0   8   1   1   1  .158  .233  .263 
Tom Kelley         R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Alex Kellner       L   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Russ Kemmerer      R  52  20   1   3   6   3   1   5   0   0   0  .385  .418  .865 
Leo Kiely          L   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Ron Kline          R  23   8   0   0   1   2   0   4   0   0   0  .348  .400  .478 
J. Klippstein      R  11   3   0   0   1   2   0   2   0   0   0  .273  .385  .545 
Alan Koch          R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Hal Kolstad        R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Cal Koonce         R   8   2   0   0   1   0   0   0   0   0   0  .250  .250  .625 
Jack Kralick       L  44  11   2   0   4   6   0   2   1   0   1  .250  .346  .568 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lew Krausse        R   3   1   0   0   0   1   0   0   0   0   1  .333  .400  .333 
Johnny Kucks       R  32   9   2   0   2   4   0   4   0   0   0  .281  .361  .531 
Bill Kunkel        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Marty Kutyna       R  10   3   0   0   1   0   0   0   0   0   1  .300  .273  .600 
