Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Acevedo       R   5   1   0   0   1   1   0   1   0   0   0  .200  .333  .800 
Terry Adams        R   6   2   0   0   1   1   0   2   0   0   0  .333  .429  .833 
A. Alfonseca       R   7   2   0   0   0   1   0   3   0   0   0  .286  .375  .286 
Brian Anderson     L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jimmy Anderson     L   8   3   2   0   0   0   0   0   0   0   0  .375  .375  .625 
Kevin Appier       R   7   4   0   0   0   1   0   0   0   0   1  .571  .556  .571 
Tony Armas         R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Bronson Arroyo     R   6   2   0   0   0   0   0   0   0   0   1  .333  .286  .333 
Miguel Asencio     R   4   3   1   0   1   1   0   1   0   0   0  .750  .800 1.750 
Pedro Astacio      R   9   2   1   0   1   0   0   3   0   0   1  .222  .200  .667 
James Baldwin      R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Miguel Batista     R   5   0   0   0   0   3   1   0   0   0   1  .000  .333  .000 
Josh Beckett       R   5   1   0   0   0   0   0   2   0   0   1  .200  .167  .200 
Matt Beech         L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Joe Beimel         L   8   3   2   0   0   2   1   0   0   0   0  .375  .500  .625 
Alan Benes         R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Andy Benes         R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Armando Benitez    R   7   0   0   0   0   1   0   5   0   0   0  .000  .125  .000 
Kris Benson        R   8   0   0   0   0   1   0   1   0   0   0  .000  .111  .000 
Jason Bere         R   5   3   0   0   1   2   0   1   0   1   0  .600  .714 1.200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sean Bergman       R   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Brian Boehringer   R   7   1   0   0   1   0   0   1   0   0   0  .143  .143  .571 
Brian Bohanon      L   4   2   1   0   1   0   0   0   0   0   0  .500  .500 1.500 
Ricky Bottalico    R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Doug Brocail       R   4   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Kevin Brown        R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Mark Buehrle       L   7   2   0   0   1   0   0   3   0   0   0  .286  .286  .714 
Dave Burba         R   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
A.J. Burnett       R   9   1   1   0   0   1   0   2   0   0   0  .111  .200  .222 
Paul Byrd          R   7   3   0   0   1   0   0   0   0   0   0  .429  .429  .857 
Jose Cabrera       R   3   2   0   0   0   1   1   0   0   0   0  .667  .750  .667 
Giovanni Carrara   R   4   2   0   0   1   2   0   1   0   0   0  .500  .667 1.250 
Bruce Chen         L   7   0   0   0   0   2   0   0   0   0   0  .000  .222  .000 
Mark Clark         R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Brandon Claussen   L   8   1   0   0   0   0   0   4   0   0   0  .125  .125  .125 
F. Cordova         R   8   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Juan Cruz          R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Nelson Cruz        R   4   2   0   0   1   0   0   2   0   0   0  .500  .500 1.250 
Will Cunnane       R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Omar Daal          L   7   1   0   0   0   0   0   1   0   1   0  .143  .143  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike DeJean        R  11   4   1   0   0   0   0   0   0   0   0  .364  .364  .455 
V. de los Santos   L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Ryan Dempster      R  10   1   0   0   0   1   0   0   0   0   0  .100  .182  .100 
Elmer Dessens      R  17   4   1   0   2   1   0   3   0   0   0  .235  .278  .647 
Ben Diggins        R   6   3   0   0   1   0   0   0   0   0   0  .500  .500 1.000 
Octavio Dotel      R   9   1   0   0   0   1   0   3   0   0   0  .111  .200  .111 
