Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R  12   1   0   0   0   0   0   4   0   0   0  .083  .083  .083 
Glenn Abbott       R  25   2   0   0   1   1   0   2   0   1   0  .080  .115  .200 
Vic Albury         L   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Doyle Alexander    R  21   7   3   1   0   0   0   2   0   1   0  .333  .333  .571 
Fernando Arroyo    R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Keith Atherton     R   2   1   1   0   0   1   0   0   0   1   0  .500  .667 1.000 
Jerry Augustine    L   6   0   0   0   0   1   0   0   0   0   1  .000  .125  .000 
Stan Bahnsen       R  14   2   1   0   0   2   0   3   0   0   0  .143  .250  .214 
Scott Bailes       L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Baker        R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Eddie Bane         L   5   3   1   1   0   0   0   0   0   0   0  .600  .600 1.200 
Floyd Bannister    L  36  11   2   0   3   5   0   7   0   2   0  .306  .390  .611 
Ray Bare           R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Len Barker         R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Jim Barr           R   6   2   0   0   0   0   0   0   0   1   0  .333  .333  .333 
F. Barrios         R  11   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Ross Baumgarten    L   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Jim Beattie        R   8   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jim Bibby          R   8   2   1   0   0   2   0   1   0   0   0  .250  .400  .375 
Buddy Black        L  19   4   3   0   0   2   0   2   0   0   1  .211  .273  .368 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Vida Blue          L  40   7   1   0   2   4   0  15   0   2   0  .175  .250  .350 
Bert Blyleven      R  25   5   1   0   0   0   0   7   0   0   0  .200  .200  .240 
Dick Bosman        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dave Boswell       R   7   1   0   0   1   2   1   0   0   0   0  .143  .333  .571 
Gene Brabender     R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Ken Brett          L  11   1   0   0   0   0   0   1   0   3   1  .091  .083  .091 
Nelson Briles      R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pete Broberg       R  12   3   1   0   0   1   0   6   0   1   0  .250  .308  .333 
Jackie Brown       R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
George Brunet      L   7   3   1   0   0   0   0   0   0   1   0  .429  .429  .571 
Larry Burchart     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tom Burgmeier      L   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Britt Burns        L  28   4   0   0   1   9   0   7   0   0   0  .143  .351  .250 
Ray Burris         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Mike Caldwell      L  27   8   2   0   1   0   0   3   0   0   1  .296  .286  .481 
Bill Campbell      R   9   0   0   0   0   1   0   5   0   0   0  .000  .100  .000 
Clay Carroll       R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Bill Champion      R   4   2   0   0   0   0   0   2   0   1   0  .500  .500  .500 
C. Christiansen    R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Jim Clancy         R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bryan Clark        L  13   3   1   0   0   2   0   1   0   0   0  .231  .333  .308 
Ken Clay           R   4   0   0   0   0   0   0   0   0   2   1  .000  .000  .000 
Mark Clear         R   6   0   0   0   0   1   0   4   0   0   1  .000  .125  .000 
Roger Clemens      R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Reggie Cleveland   R   3   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
David Clyde        L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Jaime Cocanower    R   6   0   0   0   0   2   0   2   0   0   0  .000  .250  .000 
Jim Colborn        R   9   1   0   0   0   0   0   0   0   1   0  .111  .111  .111 
Steve Comer        R  14   2   1   0   0   0   0   3   0   0   0  .143  .143  .214 
Tim Conroy         L  13   3   1   0   0   2   0   4   0   0   0  .231  .333  .308 
Ed Correa          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Cuellar       L  11   3   0   0   0   0   0   1   0   0   0  .273  .273  .273 
Storm Davis        R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Ron Davis          R   1   0   0   0   0   2   0   0   1   0   0  .000  .750  .000 
Joe Decker         R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
John Denny         R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Chuck Dobson       R  11   4   1   0   0   0   0   1   0   0   0  .364  .364  .455 
Pat Dobson         R  10   4   0   0   1   0   0   2   0   0   0  .400  .400  .700 
Richard Dotson     R   9   1   1   0   0   0   0   2   0   0   0  .111  .111  .222 
Al Downing         L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dick Drago         R   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Rob Dressler       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jamie Easterly     L   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Rawly Eastwick     R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Dock Ellis         R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Roger Erickson     R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mark Fidrych       R   8   2   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Ed Figueroa        R  18   4   1   0   0   0   0   1   0   0   0  .222  .222  .278 
Pete Filson        L   6   0   0   0   0   2   0   1   0   0   0  .000  .250  .000 
Rollie Fingers     R   3   0   0   0   0   0   0   0   0   2   0  .000  .000  .000 
Mike Flanagan      L  41   9   1   0   1   2   0   8   0   2   0  .220  .256  .317 
Ray Fontenot       L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Terry Forster      L  15   6   1   0   0   3   0   0   0   1   0  .400  .500  .467 
Steve Foucault     R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
George Frazier     R   3   1   0   0   1   0   0   0   0   0   1  .333  .250 1.333 
Rich Gale          R  14   7   1   0   1   5   0   2   0   0   0  .500  .632  .786 
Wayne Garland      R   8   2   0   0   0   0   0   0   0   0   1  .250  .222  .250 
Jerry Garvin       L  10   2   1   0   0   0   0   1   0   0   0  .200  .200  .300 
Dave Goltz         R  18   7   2   0   1   2   0   3   0   0   1  .389  .429  .667 
Rich Gossage       R  11   1   0   0   0   4   0   4   0   0   0  .091  .333  .091 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Grilli       R   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Ross Grimsley      L  15   5   1   0   0   0   0   1   0   0   0  .333  .333  .400 
Ron Guidry         L  37   5   0   0   0   3   0   7   0   0   0  .135  .200  .135 
Larry Gura         L  29  10   1   0   3   1   0   2   0   0   0  .345  .367  .690 
Dave Hamilton      L   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Jim Hannan         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Hargan       R  14   3   0   0   0   2   0   2   0   0   0  .214  .313  .214 
Paul Hartzell      R  12   3   0   0   0   1   0   3   0   2   0  .250  .308  .250 
Andy Hassler       L   6   4   1   0   0   0   0   0   0   0   0  .667  .667  .833 
Brad Havens        L  18   6   3   0   1   0   0   2   0   0   0  .333  .333  .667 
Neal Heaton        L  17   3   1   0   0   3   0   1   0   0   1  .176  .286  .235 
Dave Heaverlo      R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
G. Hernandez       L   7   1   0   0   1   0   0   2   1   0   0  .143  .250  .571 
Teddy Higuera      L   8   1   0   0   0   1   0   2   0   0   1  .125  .200  .125 
John Hiller        L   3   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
Ed Hodge           L   8   3   1   0   0   0   0   2   0   0   0  .375  .375  .500 
Ken Holtzman       L  10   4   3   0   0   2   0   0   0   0   0  .400  .500  .700 
Rick Honeycutt     L  20   3   1   0   1   0   0   1   0   0   0  .150  .150  .350 
Don Hood           L   6   2   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Joe Horlen         R   9   2   1   0   0   0   0   2   0   0   0  .222  .222  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
LaMarr Hoyt        R   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Jim Hughes         R   7   2   0   0   1   2   0   3   0   0   0  .286  .444  .714 
Mark Huismann      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Catfish Hunter     R  24   3   0   0   1   0   0   3   0   2   0  .125  .125  .250 
Bruce Hurst        L  20   5   1   0   1   3   0   4   0   0   0  .250  .348  .450 
Danny Jackson      L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Darrell Jackson    L   1   1   0   0   0   2   0   0   0   1   0 1.000 1.000 1.000 
Grant Jackson      L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jesse Jefferson    R  13   2   1   0   0   1   0   4   0   1   0  .154  .214  .231 
Fergie Jenkins     R  20   1   0   0   0   0   0   7   1   0   0  .050  .095  .050 
Tommy John         L  38  11   5   0   0   0   0   5   0   0   0  .289  .289  .421 
Tom Johnson        R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Jeff Jones         R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
Mike Jones         L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Odell Jones        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jim Kaat           L  26   8   0   1   1   3   0   1   0   0   0  .308  .379  .500 
Matt Keough        R  11   2   0   0   0   1   0   0   0   1   0  .182  .250  .182 
Jim Kern           R   7   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Joe Kerrigan       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Kilkenny      L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Kirkwood       R   7   0   0   0   0   2   0   3   0   1   0  .000  .222  .000 
Jerry Koosman      L  12   4   1   0   1   1   0   3   0   2   0  .333  .385  .667 
Ken Kravec         L  11   1   0   0   0   0   0   1   0   0   0  .091  .091  .091 
Bill Krueger       L   9   1   1   0   0   2   0   3   0   0   1  .111  .250  .222 
Bob Lacey          L   5   3   0   0   0   1   0   0   0   1   0  .600  .667  .600 
Pete Ladd          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dick Lange         R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Rick Langford      R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Mark Langston      L  14   3   0   0   1   4   0   2   0   0   0  .214  .389  .429 
Dave LaRoche       L   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
Bill Lee           L  14   3   2   0   0   1   0   0   0   1   0  .214  .267  .357 
C. Leibrandt       L  15   5   1   0   0   0   0   1   0   0   0  .333  .333  .400 
Dave Lemanczyk     R   6   3   1   0   0   0   0   0   0   1   0  .500  .500  .667 
Dennis Leonard     R  17   5   2   0   0   1   0   5   0   0   0  .294  .333  .412 
Randy Lerch        L   7   3   0   0   1   0   0   0   0   0   0  .429  .429  .857 
Jim Lewis          R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Paul Lindblad      L   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Locker         R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Mickey Lolich      L   8   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
