Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
H. Alvarez         R  10   2   1   0   0   0   0   3   0   0   0  .200  .200  .300 
Chase Anderson     R   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Jake Arrieta       R  17   4   0   0   0   0   0   4   1   0   0  .235  .278  .235 
Bronson Arroyo     R   7   1   0   1   0   0   0   0   0   0   0  .143  .143  .429 
Luis Avilan        L   3   3   0   0   1   0   0   0   1   0   0 1.000 1.000 2.000 
Burke Badenhop     R   7   2   0   1   1   0   0   1   0   0   0  .286  .286 1.000 
Homer Bailey       R  18   5   2   1   1   0   0   7   1   0   0  .278  .316  .667 
Chad Billingsley   R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Blanton        R   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 
Michael Blazek     R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Jonathan Broxton   R   6   5   1   0   2   1   0   0   1   0   0  .833  .875 2.000 
David Buchanan     R   5   1   1   0   0   1   0   2   0   0   0  .200  .333  .400 
Hiram Burgos       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Alberto Cabrera    R   3   2   1   0   0   0   0   1   0   1   0  .667  .667 1.000 
Trevor Cahill      R   7   4   0   1   1   0   0   2   0   0   0  .571  .571 1.286 
Fausto Carmona     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jhoulys Chacin     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Joba Chamberlain   R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Aroldis Chapman    L  12   3   0   0   0   1   0   8   1   0   0  .250  .357  .250 
Tony Cingrani      L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
