Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  21   5   0   0   0   1   0   3   0   0   0  .238  .273  .238 
Paul Abbott        R  12   1   1   0   0   3   1   2   0   0   1  .083  .250  .167 
Mark Acre          R   3   0   0   0   0   1   1   0   0   0   0  .000  .250  .000 
Terry Adams        R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jeremy Affeldt     L   5   3   1   0   0   3   0   0   0   0   0  .600  .750  .800 
Rick Aguilera      R   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Jose Alberro       R   7   1   1   0   0   1   0   0   0   0   0  .143  .250  .286 
Scott Aldred       L  13   5   1   0   0   2   0   0   0   1   0  .385  .467  .462 
A. Alfonseca       R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Juan Alvarez       L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Wilson Alvarez     L  31   7   0   1   2   5   0   5   0   1   2  .226  .316  .484 
Brian Anderson     L  15   6   1   0   4   1   0   3   0   0   0  .400  .438 1.267 
Jimmy Anderson     L   6   3   1   0   1   0   0   1   0   0   0  .500  .500 1.167 
Kevin Appier       R  56  14   5   0   4   9   0  17   0   0   0  .250  .354  .554 
Luis Aquino        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Rolando Arrojo     R  14   5   1   0   2   1   0   4   0   0   0  .357  .400  .857 
Bronson Arroyo     R   8   1   0   0   0   3   0   1   1   0   0  .125  .417  .125 
Miguel Asencio     R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Paul Assenmacher   L  13   4   1   0   0   1   0   2   0   0   0  .308  .357  .385 
Bobby Ayala        R   7   4   0   0   0   0   0   2   0   0   0  .571  .571  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Scott Bailes       L   8   3   1   0   0   1   0   1   0   0   0  .375  .444  .500 
James Baldwin      R  30  10   3   0   2   1   0   3   0   0   1  .333  .344  .633 
Scott Bankhead     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Willie Banks       R   9   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Miguel Batista     R   7   1   0   0   0   3   0   0   1   0   0  .143  .455  .143 
Rick Bauer         R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Rod Beck           R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Josh Beckett       R   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
Erik Bedard        L   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Joe Beimel         L   9   2   1   0   0   2   0   1   0   0   0  .222  .364  .333 
Tim Belcher        R  21   8   0   0   3   5   0   2   0   0   0  .381  .500  .810 
Stan Belinda       R   3   0   0   0   0   1   1   2   0   0   0  .000  .250  .000 
Armando Benitez    R   7   3   1   0   0   1   0   1   2   0   0  .429  .600  .571 
Kris Benson        R  12   5   1   0   0   0   0   0   0   0   0  .417  .417  .500 
Jason Bere         R  10   1   0   0   0   0   0   3   0   0   0  .100  .100  .100 
Sean Bergman       R   7   4   0   0   0   0   0   0   0   0   0  .571  .571  .571 
Mike Bertotti      L   5   2   1   0   0   3   0   1   0   0   0  .400  .625  .600 
Willie Blair       R  13   3   0   0   0   2   0   0   0   0   0  .231  .333  .231 
Joe Blanton        R   4   2   0   0   1   0   0   0   0   0   1  .500  .400 1.250 
Doug Bochtler      R   3   1   1   0   0   0   0   0   1   0   0  .333  .500  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Boddicker     R  11   2   1   0   0   0   0   2   0   0   0  .182  .182  .273 
Brian Boehringer   R   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Joe Boever         R   4   1   0   0   0   2   2   2   0   0   0  .250  .500  .250 
Brian Bohanon      L  12   5   2   0   2   1   0   3   0   0   1  .417  .429 1.083 
Tom Bolton         L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jeremy Bonderman   R  13   3   1   0   0   1   0   5   0   0   0  .231  .286  .308 
Ricky Bones        R  26   5   0   0   1   0   0   0   1   0   0  .192  .222  .308 
Pedro Borbon       L  12   3   1   0   1   2   1   2   0   0   0  .250  .357  .583 
Dave Borkowski     R   4   0   0   0   0   2   0   2   0   0   0  .000  .333  .000 
Joe Borowski       R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Chris Bosio        R  10   6   1   1   1   0   0   0   0   0   0  .600  .600 1.200 
