Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
James Baldwin      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Chris Carpenter    R   5   0   0   0   0   0   0   1   1   0   0  .000  .167  .000 
Roger Clemens      R   4   1   1   0   0   1   0   3   1   0   0  .250  .500  .500 
David Cone         R   9   1   1   0   0   0   0   4   0   0   0  .111  .111  .222 
Rheal Cormier      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Juan Cruz          R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Jeff D'Amico       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Doug Davis         L   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Octavio Dotel      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dave Eiland        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Scott Erickson     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Shawn Estes        L   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Chuck Finley       L   8   3   0   0   0   0   0   2   0   0   0  .375  .375  .375 
Wayne Franklin     L   7   4   0   0   0   1   0   2   0   0   0  .571  .625  .571 
Jon Garland        R   3   1   0   1   0   0   0   1   1   0   0  .333  .500 1.000 
S. Hasegawa        R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
LaTroy Hawkins     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Mark Hendrickson   L   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Gil Heredia        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
O. Hernandez       R   9   1   1   0   0   1   0   2   0   0   0  .111  .200  .222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tim Hudson         R   7   3   0   0   0   1   0   0   1   0   0  .429  .556  .429 
Randy Johnson      L   6   3   0   0   0   0   0   0   1   0   0  .500  .571  .500 
Matt Kinney        R   6   3   2   0   1   0   0   0   0   0   0  .500  .500 1.333 
Billy Koch         R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Al Levine          R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Esteban Loaiza     R   5   1   0   1   0   0   0   1   0   0   0  .200  .200  .600 
Kyle Lohse         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Albie Lopez        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pedro Martinez     R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
T.J. Mathews       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Joe Mays           R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Wade Miller        R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Dave Mlicki        R   5   4   1   0   1   0   0   1   0   0   0  .800  .800 1.600 
Jamie Moyer        L   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Mark Mulder        L  10   3   1   0   0   1   0   3   0   0   0  .300  .364  .400 
Mike Mussina       R  10   3   0   0   0   0   0   3   0   0   0  .300  .300  .300 
Omar Olivares      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Ramon Ortiz        R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Roy Oswalt         R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Jose Paniagua      R   3   1   1   0   0   0   0   0   1   0   0  .333  .500  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jake Peavy         R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Odalis Perez       L   4   2   2   0   0   1   0   0   0   0   0  .500  .600 1.000 
Oliver Perez       L   7   2   1   0   0   0   0   3   0   0   1  .286  .250  .429 
Sidney Ponson      R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Lou Pote           R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Brad Radke         R  11   4   1   0   0   1   0   0   0   0   0  .364  .417  .455 
Pat Rapp           R   6   3   1   0   0   0   0   1   0   0   1  .500  .429  .667 
Tim Redding        R   5   0   0   0   0   0   0   1   1   0   0  .000  .167  .000 
Mark Redman        L   5   1   0   0   1   0   0   1   1   0   0  .200  .333  .800 
Bryan Rekar        R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
J. Robertson       L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
