Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Juan Agosto        L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Larry Andersen     R   2   0   0   0   0   2   0   0   0   1   0  .000  .500  .000 
Joaquin Andujar    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Paul Assenmacher   L   7   3   0   0   1   1   0   3   0   0   0  .429  .500  .857 
Steve Avery        L  34   9   0   1   0   0   0   2   0   0   0  .265  .265  .324 
Brian Barnes       L   7   3   1   0   0   1   0   0   0   0   0  .429  .500  .571 
Tim Belcher        R   7   2   0   0   1   0   0   1   0   0   0  .286  .286  .714 
Buddy Black        L  13   6   1   0   0   6   0   2   0   0   0  .462  .632  .538 
Joe Boever         R   5   1   0   0   0   1   0   2   1   0   0  .200  .429  .200 
Jeff Brantley      R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Tom Browning       L  12   2   0   0   1   1   0   1   0   0   0  .167  .231  .417 
Tim Burke          R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Don Carman         L   9   2   2   0   0   1   0   0   0   0   0  .222  .300  .444 
Cris Carpenter     R   8   4   1   0   1   0   0   2   0   1   0  .500  .500 1.000 
Tony Castillo      L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Norm Charlton      L   8   1   0   0   1   1   0   3   0   0   0  .125  .222  .500 
Jim Clancy         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Pat Combs          L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Rheal Cormier      L  18   8   3   0   0   2   0   1   0   0   0  .444  .500  .611 
John Costello      R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tim Crews          R   5   3   1   1   0   0   0   1   0   0   1  .600  .500 1.200 
Ron Darling        R   8   2   0   0   1   1   0   3   0   0   0  .250  .333  .625 
Danny Darwin       R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Mark Davis         L   9   3   2   0   0   0   0   2   0   0   0  .333  .333  .556 
Ken Dayley         L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jose DeLeon        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Deshaies       L  11   3   1   0   0   5   0   2   0   0   0  .273  .500  .364 
Frank DiPino       L   4   3   0   0   0   1   1   0   0   0   0  .750  .800  .750 
Kelly Downs        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Doug Drabek        R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jeff Fassero       L   7   1   1   0   0   0   0   1   1   0   0  .143  .250  .286 
Sid Fernandez      L  24   6   2   0   2   0   0   3   0   0   1  .250  .240  .583 
