Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Charlie Bishop     R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Tom Brewer         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Lou Brissie        L   5   1   0   0   0   1   0   0   0   1   0  .200  .333  .200 
Hal Brown          R   7   1   0   0   1   0   0   1   0   0   0  .143  .143  .571 
Moe Burtschy       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Harry Byrd         R  16   6   1   0   0   1   0   0   0   0   0  .375  .412  .438 
Tommy Byrne        L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Bob Chakales       R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Joe Coleman        R  11   3   1   0   0   1   0   0   1   0   0  .273  .385  .364 
Sandy Consuegra    R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Ike Delock         R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Art Ditmar         R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Dick Donovan       R   4   1   1   0   0   0   0   2   0   1   0  .250  .250  .500 
Fritz Dorish       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Whitey Ford        L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Mike Fornieles     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Paul Foytack       R   2   0   0   0   0   3   0   1   0   0   0  .000  .600  .000 
Marion Fricano     R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Mike Garcia        R  19   4   0   0   1   2   0   4   0   0   0  .211  .286  .368 
Ned Garver         R  23   3   0   0   0   1   0   3   0   0   0  .130  .167  .130 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Gray           L   4   1   0   1   0   0   0   2   0   0   0  .250  .250  .750 
Bob Grim           R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Steve Gromek       R  10   2   0   0   1   0   0   3   0   0   0  .200  .200  .500 
Bill Harrington    R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Billy Hoeft        L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Bob Hooper         R   8   4   1   0   0   1   0   1   0   0   0  .500  .556  .625 
Art Houtteman      R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Dixie Howell       R   4   0   0   0   0   1   1   1   0   0   0  .000  .200  .000 
Connie Johnson     R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Bob Keegan         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Alex Kellner       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Leo Kiely          L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Lou Kretlow        R   7   4   0   0   0   2   0   1   0   0   0  .571  .667  .571 
Bob Kuzava         L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Don Larsen         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Frank Lary         R   9   2   0   0   1   0   0   2   1   0   0  .222  .300  .556 
Bob Lemon          R  28   9   3   0   0   4   0   2   0   0   0  .321  .406  .429 
Billy Loes         R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Eddie Lopat        L   8   1   0   0   0   1   0   3   0   0   0  .125  .222  .125 
Connie Marrero     R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Morrie Martin      L   9   1   0   0   0   1   0   1   0   1   0  .111  .200  .111 
Walt Masterson     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Jim McDonald       R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Ray Moore          R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Tom Morgan         R   4   3   0   0   1   0   0   0   0   0   0  .750  .750 1.500 
Don Mossi          L   3   1   0   0   0   1   0   1   0   1   1  .333  .400  .333 
Ray Narleski       R   3   0   0   0   0   1   0   3   0   0   0  .000  .250  .000 
Billy Pierce       L   9   3   0   0   0   1   0   3   0   0   0  .333  .400  .333 
Duane Pillette     R  11   4   0   0   0   0   0   0   0   0   0  .364  .364  .364 
Bob Porterfield    R   9   2   2   0   0   0   0   1   0   0   0  .222  .222  .444 
A. Portocarrero    R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Vic Raschi         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Allie Reynolds     R   7   3   0   0   0   1   0   2   0   0   0  .429  .500  .429 
Johnny Sain        R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Herb Score         L   9   2   0   0   0   1   0   3   0   0   0  .222  .300  .222 
Bobby Shantz       L   3   2   1   0   0   0   0   0   0   1   0  .667  .667 1.000 
Al Sima            L   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Marlin Stuart      R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Frank Sullivan     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
George Susce       R   7   0   0   0   0   2   0   2   0   0   0  .000  .222  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dizzy Trout        R   4   4   1   0   1   0   0   0   0   0   0 1.000 1.000 2.000 
Virgil Trucks      R   6   1   1   0   0   1   1   1   0   0   0  .167  .286  .333 
Bob Turley         R  13   4   1   0   0   3   0   3   0   0   0  .308  .438  .385 
Al Widmar          R   5   3   2   0   0   0   0   0   0   0   0  .600  .600 1.000 
Bill Wight         L   7   1   0   0   0   0   0   2   0   1   0  .143  .143  .143 
Jim Wilson         R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Early Wynn         R  26   4   1   1   1   1   1   5   0   0   0  .154  .185  .385 
Sam Zoldak         L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
George Zuverink    R   8   3   1   0   0   1   0   1   0   1   0  .375  .444  .500
