Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Acker          R   6   1   0   0   0   1   0   0   1   0   0  .167  .375  .167 
Hank Aguirre       L   6   1   1   0   0   0   0   1   0   0   1  .167  .143  .333 
Bob Anderson       R   5   1   0   0   1   1   0   2   0   0   0  .200  .333  .800 
Johnny Antonelli   L  33   9   0   2   2   1   0   3   0   1   1  .273  .286  .576 
Luis Arroyo        L  12   5   3   0   0   0   0   0   0   0   0  .417  .417  .667 
Jack Baldschun     R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Steve Barber       L  13   3   1   0   0   0   0   3   0   1   0  .231  .231  .308 
Curt Barclay       R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Bo Belinsky        L   8   3   2   0   0   0   0   2   0   0   0  .375  .375  .625 
Gary Bell          R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Gary Blaylock      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Bobby Bolin        R   7   2   0   0   0   0   0   1   1   0   0  .286  .375  .286 
Ted Bowsfield      L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Ernie Broglio      R  10   6   2   1   0   0   0   2   0   0   0  .600  .600 1.000 
Jim Bronstad       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Jim Brosnan        R  11   4   1   0   0   2   1   1   0   0   0  .364  .462  .455 
Bob Buhl           R  16   3   1   0   1   1   0   2   0   0   0  .188  .235  .438 
Jim Bunning        R  14   4   1   0   1   0   0   2   1   0   0  .286  .333  .571 
Lew Burdette       R  16   4   0   1   1   0   0   1   0   0   0  .250  .250  .563 
Pete Burnside      L   8   2   0   0   0   1   0   0   0   0   0  .250  .333  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cecil Butler       R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
John Buzhardt      R  14   5   0   0   0   1   0   1   0   0   0  .357  .400  .357 
Don Cardwell       R   5   2   1   0   1   1   0   2   0   0   0  .400  .500 1.200 
Dean Chance        R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
