Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Miguel Batista     R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Dallas Braden      L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Daniel Cabrera     R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
Jeremy Guthrie     R   5   3   1   0   1   0   0   1   0   0   0  .600  .600 1.400 
Felix Hernandez    R   4   1   0   0   0   0   0   1   0   1   0  .250  .250  .250 
Horacio Ramirez    L   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Nate Robertson     L   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Kenny Rogers       L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Ervin Santana      R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Jarrod Washburn    L   5   3   0   1   0   0   0   0   0   0   0  .600  .600 1.000 
Jeff Weaver        R   5   4   0   0   1   0   0   1   0   0   0  .800  .800 1.400
