Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Larry Andersen     R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Luis Aponte        R   4   2   1   0   0   2   0   0   0   0   0  .500  .667  .750 
Mike Armstrong     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jerry Augustine    L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Len Barker         R  11   3   0   0   0   1   0   0   0   0   0  .273  .333  .273 
Salome Barojas     R   2   1   0   0   0   2   1   0   0   0   0  .500  .750  .500 
Jim Beattie        R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Juan Berenguer     R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Dwight Bernard     R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Vida Blue          L   5   3   0   1   0   0   0   1   0   0   0  .600  .600 1.000 
Bert Blyleven      R   8   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Mike Boddicker     R   5   2   0   0   0   2   0   0   0   0   0  .400  .571  .400 
Oil Can Boyd       R   1   1   0   0   0   3   0   0   0   0   0 1.000 1.000 1.000 
Tom Burgmeier      L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Britt Burns        L   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Mike Caldwell      L   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Bill Castro        R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Bill Caudill       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jim Clancy         R  12   3   0   0   0   1   0   0   0   0   0  .250  .308  .250 
Steve Comer        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Danny Darwin       R   7   3   0   0   0   3   0   0   0   0   0  .429  .600  .429 
Storm Davis        R   6   1   0   1   0   1   0   3   0   0   0  .167  .286  .500 
Richard Dotson     R   7   3   1   0   0   1   0   0   0   0   0  .429  .500  .571 
Dennis Eckersley   R  11   4   0   0   0   2   0   1   0   0   0  .364  .462  .364 
J. Eichelberger    R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Jim Farr           R   3   3   0   0   0   1   0   0   0   0   0 1.000 1.000 1.000 
Mike Flanagan      L   7   2   0   0   0   0   0   4   0   0   0  .286  .286  .286 
Ken Forsch         R  11   1   0   1   0   0   0   1   0   0   0  .091  .091  .273 
George Frazier     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Dave Goltz         R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Jim Gott           R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Moose Haas         R   6   2   1   0   0   1   0   1   0   0   0  .333  .429  .500 
Charlie Hough      R   8   2   1   0   0   1   0   1   0   0   0  .250  .333  .375 
Jay Howell         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
LaMarr Hoyt        R  11   2   0   0   0   1   1   0   0   0   0  .182  .250  .182 
Bruce Hurst        L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Tommy John         L   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Jeff Jones         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Matt Keough        R   6   1   0   0   0   2   0   2   0   0   0  .167  .375  .167 
Brian Kingman      R   3   1   0   0   0   2   0   1   0   0   0  .333  .600  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bruce Kison        R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Dennis Lamp        R  15   0   0   0   0   1   0   2   0   0   0  .000  .063  .000 
Rick Langford      R  10   1   0   0   0   1   0   1   0   0   0  .100  .182  .100 
Luis Leal          R  11   3   1   0   0   0   0   0   0   0   0  .273  .273  .364 
Dennis Leonard     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Randy Lerch        L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Aurelio Lopez      R   3   1   1   0   0   2   0   0   0   0   0  .333  .600  .667 
Dennis Martinez    R   6   4   0   0   0   0   0   2   0   0   0  .667  .667  .667 
Jon Matlack        L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Steve McCatty      R   7   3   0   1   0   0   0   0   0   0   0  .429  .429  .714 
Doc Medich         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mike Moore         R   8   2   1   0   0   2   0   2   0   0   0  .250  .400  .375 
Dan Morogiello     L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jack Morris        R  18   5   2   0   0   2   0   3   0   0   0  .278  .350  .389 
Gene Nelson        R   9   2   0   0   0   1   0   2   0   0   0  .222  .300  .222 
Mike Norris        R  11   2   0   0   0   3   0   2   2   0   0  .182  .438  .182 
Ed Nunez           R   5   3   1   0   0   0   0   1   0   0   0  .600  .600  .800 
Jim Palmer         R   7   0   0   0   0   1   0   0   0   0   0  .000  .125  .000 
Gaylord Perry      R  12   3   0   0   0   2   0   0   0   0   0  .250  .357  .250 
Dan Petry          R   8   1   1   0   0   0   0   2   0   0   0  .125  .125  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Shane Rawley       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Steve Renko        R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Dave Rozema        R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Luis Sanchez       R   2   1   0   0   0   2   1   0   0   0   0  .500  .750  .500 
Lary Sorensen      R   8   2   0   0   0   0   0   0   0   0   1  .250  .222  .250 
Paul Splittorff    L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Bob Stanley        R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Mike Stanton       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Sammy Stewart      R   5   1   0   1   0   1   0   1   0   0   0  .200  .333  .600 
Dave Stieb         R  12   1   0   1   0   1   0   1   0   0   0  .083  .154  .250 
Rick Sutcliffe     R  11   2   0   0   0   3   1   3   1   0   0  .182  .400  .182 
Frank Tanana       L   5   2   0   1   0   0   0   0   0   0   0  .400  .400  .800 
Luis Tiant         R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Dave Tobik         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Torrez        R   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
John Tudor         L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jerry Ujdur        R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Pete Vuckovich     R   7   1   0   0   0   4   0   1   0   0   0  .143  .455  .143 
Milt Wilcox        R  12   1   0   1   0   0   0   1   0   0   0  .083  .083  .250 
Mike Witt          R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000
