Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ed Acosta          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jack Aker          R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Santo Alcala       R  12   3   0   0   0   1   1   0   0   0   1  .250  .286  .250 
Doyle Alexander    R  20   4   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Neil Allen         R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Joaquin Andujar    R  35  10   0   0   0   4   2   2   0   0   0  .286  .359  .286 
Bob Apodaca        R   9   2   1   0   0   2   1   1   0   0   0  .222  .364  .333 
Steve Arlin        R  26   9   2   1   0   4   1   3   0   0   0  .346  .433  .500 
Stan Bahnsen       R  13   3   0   0   1   1   0   0   0   0   0  .231  .286  .462 
Doug Bair          R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Rick Baldwin       R   8   4   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Dick Baney         R   4   2   1   0   1   0   0   0   0   0   0  .500  .500 1.500 
Floyd Bannister    L   6   2   0   0   2   3   0   0   0   0   0  .333  .556 1.333 
Steve Barber       L   5   3   2   0   0   0   0   0   0   0   0  .600  .600 1.000 
Jim Barr           R  39  11   1   0   1   1   0   0   0   0   0  .282  .300  .385 
Mike Beard         L   7   2   1   0   0   1   0   0   0   0   1  .286  .333  .429 
Bruce Berenyi      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jim Bibby          R  25   5   0   0   1   4   1   4   0   0   0  .200  .310  .320 
Jack Billingham    R  58  16   6   0   1   1   0   4   0   0   0  .276  .288  .431 
Dennis Blair       R  13   3   0   0   0   2   0   4   0   0   0  .231  .333  .231 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Wade Blasingame    L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Steve Blass        R  30   6   3   0   2   2   0   5   0   0   0  .200  .250  .500 
Vida Blue          L  29   5   0   0   0   2   0   4   0   0   0  .172  .226  .172 
Bert Blyleven      R  38  13   3   0   0   1   0   6   0   0   0  .342  .359  .421 
Tommy Boggs        R   8   3   0   0   0   0   0   2   0   0   1  .375  .333  .375 
Bill Bonham        R  58  15   2   0   0   5   0   6   0   0   0  .259  .317  .293 
Pedro Borbon       R  28   9   1   0   0   4   1   0   0   0   1  .321  .394  .357 
Larry Bradford     L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Tom Bradley        R  12   4   3   0   1   0   0   2   0   0   0  .333  .333  .833 
Ken Brett          L   9   4   0   0   0   0   0   1   1   0   0  .444  .500  .444 
Jim Brewer         L   8   3   0   0   1   0   0   0   0   1   0  .375  .375  .750 
Nelson Briles      R  17   7   1   0   1   1   1   3   0   0   0  .412  .444  .647 
Jim Britton        R   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Jackie Brown       R  11   2   0   0   0   0   0   2   0   0   0  .182  .182  .182 
Tom Bruno          R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Warren Brusstar    R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Ron Bryant         L  23   3   1   0   0   2   0   5   1   0   1  .130  .222  .174 
Ray Burris         R  41  19   0   0   5   6   0   1   0   0   2  .463  .510  .829 
Mike Caldwell      L  19   9   1   0   0   2   0   0   0   0   1  .474  .500  .526 
John Candelaria    L  26   7   1   0   0   0   0   5   0   0   0  .269  .269  .308 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doug Capilla       L   9   2   2   0   0   1   0   2   0   0   1  .222  .273  .444 
Buzz Capra         R  14   7   2   0   0   2   1   1   0   0   0  .500  .563  .643 
Steve Carlton      L  59  11   3   0   0   1   0  12   0   0   1  .186  .197  .237 
Don Carrithers     R  11   3   3   0   0   0   0   1   0   0   0  .273  .273  .545 
Clay Carroll       R  17   6   0   1   1   3   2   0   0   0   0  .353  .450  .647 
Tom Carroll        R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Bobby Castillo     R   5   0   0   0   0   1   1   1   0   0   1  .000  .143  .000 
Bill Caudill       R   7   2   0   0   1   1   1   1   0   0   0  .286  .375  .714 
L. Christenson     R  31  10   2   0   0   5   2   4   1   0   0  .323  .432  .387 
Reggie Cleveland   R  34  11   3   0   1   4   2   5   0   0   0  .324  .395  .500 
Tony Cloninger     R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Mike Corkins       R  11   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Terry Cornutt      R   4   3   0   1   0   0   0   0   0   0   0  .750  .750 1.250 
Mike Cosgrove      L  15   4   1   0   0   1   0   0   0   0   0  .267  .313  .333 
Jim Crawford       L   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
George Culver      R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
John Cumberland    L  10   1   0   0   0   2   0   1   0   0   1  .100  .231  .100 
John Curtis        L  26  10   1   0   1   4   0   3   0   0   0  .385  .467  .538 
John D'Acquisto    R  15   5   0   0   0   6   0   3   0   0   0  .333  .524  .333 
Pat Darcy          R  10   4   0   0   0   2   0   0   0   0   0  .400  .500  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Decker         R   7   2   1   0   0   2   0   1   0   0   0  .286  .444  .429 
Larry Demery       R  11   4   0   0   0   0   0   0   0   0   0  .364  .364  .364 
Don DeMola         R  10   1   0   0   1   0   0   2   0   0   0  .100  .100  .400 
John Denny         R  25   3   1   0   0   0   0   1   0   0   0  .120  .120  .160 
Tom Dettore        R   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
Adrian Devine      R  10   5   2   0   1   2   1   1   0   0   0  .500  .583 1.000 
Larry Dierker      R  39  13   3   0   1   3   0   4   0   0   0  .333  .381  .487 
Tom Dixon          R  13   2   1   0   0   2   0   0   0   1   1  .154  .250  .231 
Al Downing         L  25   6   1   0   1   3   0   4   1   0   0  .240  .345  .400 
Rob Dressler       R  12   6   1   0   1   3   1   0   0   0   0  .500  .600  .833 
Hal Dues           R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Jamie Easterly     L   8   4   2   0   0   1   0   0   0   0   0  .500  .556  .750 
Rawly Eastwick     R  12   1   0   0   0   1   0   1   0   0   0  .083  .154  .083 
Dock Ellis         R  48  14   3   0   1   4   1   4   0   0   0  .292  .346  .417 
Nino Espinosa      R  22   8   2   0   0   3   0   0   0   0   0  .364  .440  .455 
Pete Falcone       L  17   4   0   0   0   2   0   3   0   0   1  .235  .300  .235 
Rollie Fingers     R   8   3   2   0   0   1   1   1   0   0   0  .375  .444  .625 
Rich Folkers       L  18  12   3   1   0   2   0   1   0   0   0  .667  .700  .944 
Ken Forsch         R  31   9   0   0   1   1   1   4   0   0   0  .290  .313  .387 
Bob Forsch         R  42  14   1   0   1   3   1   3   0   0   1  .333  .370  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Alan Foster        R  21   4   2   0   0   1   0   3   0   0   0  .190  .227  .286 
Ken Frailing       L  15   4   1   0   0   0   0   2   0   0   0  .267  .267  .333 
Jimmy Freeman      L   5   4   1   0   0   0   0   0   0   0   0  .800  .800 1.000 
Dave Freisleben    R  25   6   1   0   1   0   0   0   0   0   0  .240  .240  .400 
Danny Frisella     R  15   2   0   0   0   1   0   4   1   0   0  .133  .235  .133 
Dave Frost         R   5   2   0   0   1   0   0   0   0   0   1  .400  .333 1.000 
Woodie Fryman      L  29  10   1   0   0   2   0   7   0   0   0  .345  .387  .379 
John Fulgham       R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Gene Garber        R  19   4   1   0   0   3   2   4   0   0   0  .211  .318  .263 
Mike Garman        R   9   3   0   0   0   2   2   1   0   0   0  .333  .455  .333 
Dave Geisel        L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Gary Gentry        R  29   5   0   1   0   5   1   5   0   0   0  .172  .294  .241 
Bob Gibson         R  43  12   2   2   1   4   1   5   0   0   1  .279  .333  .488 
Dave Giusti        R  17   5   0   0   0   2   2   5   0   0   0  .294  .368  .294 
Fred Gladding      R   3   1   1   0   0   1   1   1   0   0   0  .333  .500  .667 
Dave Goltz         R   7   2   0   0   1   0   0   0   0   0   0  .286  .286  .714 
Wayne Granger      R   5   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Bill Greif         R  24   9   0   0   0   2   0   2   0   0   0  .375  .423  .375 
Tom Griffin        R  30   8   3   0   1   1   0   1   0   0   0  .267  .290  .467 
Ross Grimsley      L  37  11   4   0   1   2   0   3   0   0   0  .297  .333  .486 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ron Guidry         L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Don Gullett        L  48  13   3   0   2   0   0   4   0   0   1  .271  .265  .458 
Bill Gullickson    R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Larry Gura         L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Ed Halicki         R  25   9   2   0   0   3   1   4   0   0   0  .360  .429  .440 
Tom Hall           L  13   0   0   0   0   1   0   4   0   0   0  .000  .071  .000 
Steve Hamilton     L   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Bill Hands         R  19   4   1   0   0   0   0   0   0   0   0  .211  .211  .263 
Preston Hanna      R   6   3   0   1   0   1   1   0   0   0   1  .500  .500  .833 
