Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Aker          R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Santo Alcala       R   5   0   0   0   0   3   0   1   0   0   0  .000  .375  .000 
Doyle Alexander    R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Neil Allen         R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Joaquin Andujar    R  19   4   1   0   1   2   0   0   0   0   0  .211  .286  .421 
Bob Apodaca        R  10   3   0   0   2   4   2   1   0   0   0  .300  .500  .900 
Bill Atkinson      R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Jerry Augustine    L   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Mike Bacsik        R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Stan Bahnsen       R   9   3   0   1   0   0   0   0   0   0   0  .333  .333  .556 
Doug Bair          R   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
Rick Baldwin       R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Floyd Bannister    L  16   6   2   0   1   4   0   2   0   0   0  .375  .500  .688 
Jim Barr           R  43   9   0   0   2   4   0   3   0   0   0  .209  .277  .349 
Ross Baumgarten    L  10   1   1   0   0   2   0   1   0   0   0  .100  .250  .200 
Jim Bibby          R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Jack Billingham    R  30   6   1   0   1   3   0   5   0   0   1  .200  .265  .333 
Dennis Blair       R  20   3   1   0   0   2   0   2   1   0   1  .150  .250  .200 
Steve Blass        R  11   1   0   0   0   3   0   3   0   0   0  .091  .286  .091 
Vida Blue          L  20   2   1   0   0   0   0   1   0   0   1  .100  .095  .150 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bert Blyleven      R   9   3   0   0   1   1   0   0   0   0   0  .333  .400  .667 
Bill Bonham        R   6   1   0   1   0   0   0   2   0   0   0  .167  .167  .500 
Pedro Borbon       R  29   7   0   0   0   0   0   1   0   0   0  .241  .241  .241 
Ralph Botting      L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Tom Bradley        R  11   4   0   0   0   2   0   0   0   0   0  .364  .462  .364 
Ken Brett          L  25   7   0   1   0   3   1   1   0   0   0  .280  .357  .360 
Jim Brewer         L   6   3   0   0   1   1   1   1   0   0   1  .500  .500 1.000 
Nelson Briles      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jackie Brown       R  12   3   1   0   0   0   0   2   0   0   0  .250  .250  .333 
Mike Bruhert       R   6   1   0   1   0   0   0   0   0   0   0  .167  .167  .500 
Ron Bryant         L  23   5   1   1   0   0   0   3   0   0   0  .217  .217  .348 
Jim Bunning        R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Ray Burris         R   8   5   0   1   1   0   0   1   0   0   0  .625  .625 1.250 
Mike Caldwell      L  18   5   1   0   1   5   0   0   0   0   0  .278  .435  .500 
Rick Camp          R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
John Candelaria    L  40   8   4   0   1   4   0   4   1   0   1  .200  .283  .375 
Buzz Capra         R  11   3   0   1   0   0   0   1   0   0   0  .273  .273  .455 
Steve Carlton      L 100  27   5   1   0  12   0  20   1   0   0  .270  .354  .340 
Don Carrithers     R  18   5   0   0   1   2   0   2   0   0   0  .278  .350  .444 
Clay Carroll       R  12   3   1   0   1   3   1   4   0   0   0  .250  .400  .583 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Champion      R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
L. Christenson     R  39  15   5   1   1   5   1   3   0   0   1  .385  .444  .641 
