Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Aardsma      R   6   1   0   0   0   3   1   2   0   0   0  .167  .444  .167 
Alfredo Aceves     R   5   2   0   0   1   1   0   2   1   0   0  .400  .571 1.000 
Matt Albers        R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
H. Alvarez         R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Brett Anderson     L  11   2   1   0   0   0   0   2   0   0   0  .182  .182  .273 
Matt Andriese      R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Chris Archer       R  11   7   3   0   1   0   0   0   0   0   0  .636  .636 1.182 
Jake Arrieta       R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Dylan Axelrod      R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Danys Baez         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Andrew Bailey      R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Scott Baker        R  12   2   0   0   1   0   0   2   0   0   1  .167  .154  .417 
Grant Balfour      R   6   2   0   0   1   0   0   2   0   0   0  .333  .333  .833 
Miguel Batista     R  12   4   0   0   1   1   1   2   0   0   0  .333  .385  .583 
Trevor Bauer       R  15   3   1   0   0   0   0   3   1   0   0  .200  .250  .267 
Blake Beavan       R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Josh Beckett       R   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Erik Bedard        L  12   2   1   0   0   2   0   2   0   0   0  .167  .286  .250 
Joe Beimel         L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Chad Billingsley   R   9   4   2   0   0   2   0   2   0   0   1  .444  .500  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nick Blackburn     R  16   5   1   0   0   1   0   1   0   0   0  .313  .353  .375 
Travis Blackley    L   8   2   0   0   1   1   0   1   0   0   0  .250  .333  .625 
Joe Blanton        R   8   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Jerry Blevins      L  11   2   1   0   0   2   0   3   0   0   0  .182  .308  .273 
Jeremy Bonderman   R  10   5   0   0   1   0   0   1   0   0   0  .500  .500  .800 
Matt Boyd          L   9   6   1   1   1   0   0   0   0   0   0  .667  .667 1.333 
Dallas Braden      L  18   3   0   0   1   0   0   1   0   0   0  .167  .167  .333 
Craig Breslow      L   7   3   1   0   0   0   0   2   0   0   0  .429  .429  .571 
Zach Britton       L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jonathan Broxton   R   5   3   1   0   0   0   0   2   0   0   0  .600  .600  .800 
Clay Buchholz      R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Mark Buehrle       L  12   3   0   0   0   0   0   1   0   0   0  .250  .250  .250 
A.J. Burnett       R  14   4   0   0   1   0   0   5   1   0   0  .286  .333  .500 
Paul Byrd          R  12   5   1   0   1   0   0   1   0   0   0  .417  .417  .750 
Trevor Cahill      R  12   3   1   0   1   3   1   0   0   0   0  .250  .400  .583 
Matt Cain          R   4   0   0   0   0   2   0   3   0   0   0  .000  .333  .000 
Shawn Camp         R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Chris Capuano      L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Fausto Carmona     R   8   4   1   0   0   0   0   1   0   0   0  .500  .500  .625 
Carlos Carrasco    R   8   2   1   0   1   1   0   4   0   0   0  .250  .333  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
D.J. Carrasco      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Scott Carroll      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Santiago Casilla   R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Brett Cecil        L   6   1   1   0   0   1   0   0   0   0   0  .167  .286  .333 
Joba Chamberlain   R   9   5   1   0   2   0   0   2   0   0   0  .556  .556 1.333 
Jesse Chavez       R   9   1   0   0   0   0   0   4   0   0   0  .111  .111  .111 
Bruce Chen         L   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
Wei-Yin Chen       L  15   6   2   0   0   0   0   1   0   0   0  .400  .400  .533 
Randy Choate       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Alex Cobb          R  13   4   0   0   0   0   0   3   0   0   0  .308  .308  .308 
Phil Coke          L   7   4   1   0   0   1   1   1   0   0   0  .571  .625  .714 
Bartolo Colon      R  20   4   0   0   1   1   0   3   0   0   0  .200  .238  .350 
Aaron Cook         R   9   2   0   0   1   0   0   0   0   0   0  .222  .222  .556 
Ryan Cook          R   6   2   0   0   0   2   0   0   0   0   0  .333  .500  .333 
Kevin Correia      R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Neal Cotts         L   9   1   0   0   0   1   0   2   0   0   0  .111  .200  .111 
Jesse Crain        R   8   2   0   0   0   0   0   4   0   0   0  .250  .250  .250 
John Danks         L  32   6   3   0   0   4   0   3   0   0   1  .188  .270  .281 
Yu Darvish         R  25   3   0   0   0   2   0   9   0   0   1  .120  .179  .120 
Kyle Davies        R   5   2   1   0   0   0   0   0   0   0   1  .400  .333  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Samuel Deduno      R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Dane de la Rosa    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jorge de la Rosa   L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Ryan Dempster      R  14   6   1   0   1   1   0   5   0   0   0  .429  .467  .714 
Scott Diamond      L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
R.A. Dickey        R  20   5   0   0   1   3   1   4   0   0   0  .250  .348  .400 
Lenny DiNardo      L   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Sean Doolittle     L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Octavio Dotel      R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Felix Doubront     L   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Scott Downs        L   6   0   0   0   0   1   1   1   0   0   0  .000  .143  .000 
Kyle Drabek        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Brian Duensing     L   8   3   0   0   0   1   0   0   0   0   0  .375  .444  .375 
Danny Duffy        L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Zach Duke          L   5   0   0   0   0   2   0   1   0   0   0  .000  .286  .000 
Roenis Elias       L   5   2   1   0   0   1   0   1   0   0   1  .400  .429  .600 
Marco Estrada      R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Dana Eveland       L   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Kyle Farnsworth    R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Scott Feldman      R  19   3   1   0   0   1   0   3   0   0   0  .158  .200  .211 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Neftali Feliz      R   7   0   0   0   0   2   0   2   0   0   0  .000  .222  .000 
Casey Fien         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Doug Fister        R  16   4   2   0   1   0   0   3   0   0   0  .250  .250  .563 
Gavin Floyd        R  16   3   0   0   1   2   1   4   0   0   0  .188  .278  .375 
Frank Francisco    R   3   0   0   0   0   1   1   1   0   0   0  .000  .250  .000 
Ernesto Frieri     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
A. Galarraga       R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Sean Gallagher     R   5   2   1   0   1   0   0   0   0   0   0  .400  .400 1.200 
Freddy Garcia      R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Matt Garza         R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Chad Gaudin        R  13   4   0   0   2   2   0   4   0   0   0  .308  .400  .769 
Kyle Gibson        R  17   2   2   0   0   0   0   1   1   0   0  .118  .167  .235 
Jeanmar Gomez      R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Edgar Gonzalez     R   3   3   0   0   1   2   0   0   0   0   0 1.000 1.000 2.000 
Gio Gonzalez       L   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Miguel Gonzalez    R  10   1   0   0   1   1   0   2   0   0   0  .100  .182  .400 
Tom Gorzelanny     L  11   3   2   0   0   0   0   5   0   0   0  .273  .273  .455 
Sonny Gray         R  12   2   0   0   0   2   0   4   0   0   0  .167  .286  .167 
Luke Gregerson     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Zack Greinke       R   8   4   2   0   0   0   0   2   0   0   0  .500  .500  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
A.J. Griffin       R   7   2   0   0   0   2   0   0   0   0   0  .286  .444  .286 
Justin Grimm       R  11   4   0   0   2   1   0   2   0   0   0  .364  .417  .909 
Matt Guerrier      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jeremy Guthrie     R  12   4   0   0   1   0   0   2   0   0   0  .333  .333  .583 
Nick Hagadone      L   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Jesse Hahn         R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Roy Halladay       R  11   4   1   0   0   0   0   1   0   0   0  .364  .364  .455 
Jason Hammel       R  13   3   0   0   0   1   0   2   0   0   0  .231  .286  .231 
J.A. Happ          L  11   4   1   0   1   0   0   2   0   0   0  .364  .364  .727 
Aaron Harang       R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Blaine Hardy       L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Lucas Harrell      R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
J. Hellickson      R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
David Hernandez    R   5   2   0   0   2   2   0   1   0   0   0  .400  .571 1.600 
Felix Hernandez    R  50  14   4   0   1   4   0  13   0   0   0  .280  .333  .420 
Kelvin Herrera     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Luke Hochevar      R   8   4   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Derek Holland      L  24   6   5   0   0   2   0   7   0   0   0  .250  .308  .458 
David Huff         L   7   1   1   0   0   0   0   0   0   0   0  .143  .143  .286 
Phil Hughes        R  15   4   0   0   1   1   1   2   0   0   0  .267  .313  .467 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Philip Humber      R   5   3   1   0   0   2   0   0   0   0   0  .600  .714  .800 
Tommy Hunter       R   4   2   0   0   1   1   0   0   0   0   0  .500  .600 1.250 
Drew Hutchison     R   8   3   2   0   0   0   0   2   0   0   0  .375  .375  .625 
Hisashi Iwakuma    R  18   4   2   0   0   0   0   4   0   0   0  .222  .222  .333 
Edwin Jackson      R  12   3   0   0   0   1   0   3   0   0   0  .250  .308  .250 
C. Jakubauskas     R   4   1   1   0   0   1   0   0   0   0   0  .250  .400  .500 
Casey Janssen      R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Dan Jennings       L   4   2   0   0   0   2   2   0   0   0   0  .500  .667  .500 
Kevin Jepsen       R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Ubaldo Jimenez     R  18   4   1   0   2   1   0   6   0   0   0  .222  .263  .611 
Jim Johnson        R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Nate Jones         R   5   3   1   0   0   0   0   2   0   0   0  .600  .600  .800 
Nathan Karns       R   3   1   1   0   0   1   0   0   0   0   1  .333  .400  .667 
Scott Kazmir       L  18   5   1   0   0   1   0   2   0   0   0  .278  .316  .333 
Shawn Kelley       R   6   3   1   0   0   0   0   2   0   0   0  .500  .500  .667 
Ian Kennedy        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bobby Keppel       R   5   1   0   0   1   1   0   0   0   0   0  .200  .333  .800 
Dallas Keuchel     L  16   6   1   0   0   1   0   3   0   0   0  .375  .412  .438 
Michael Kirkman    L   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Corey Kluber       R  18   3   1   0   0   1   0   4   0   0   0  .167  .211  .222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hiroki Kuroda      R   8   0   0   0   0   0   0   1   1   0   0  .000  .111  .000 
John Lackey        R  12   3   0   0   0   0   0   1   0   0   1  .250  .231  .250 
Aaron Laffey       L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Tom Layne          L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Brandon League     R   5   1   0   0   1   1   0   3   0   0   0  .200  .333  .800 
Wade LeBlanc       L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Cliff Lee          L   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jon Lester         L  15   2   1   0   0   1   0   3   0   0   0  .133  .188  .200 
Colby Lewis        R  17   4   3   0   0   0   0   3   0   0   0  .235  .235  .412 
Tim Lincecum       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Kyle Lobstein      L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Boone Logan        L   7   2   0   0   0   0   0   3   0   0   0  .286  .286  .286 
