Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brett Anderson     L   5   0   0   0   0   1   1   0   0   1   0  .000  .167  .000 
Nick Blackburn     R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
A.J. Burnett       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Fausto Carmona     R  10   2   0   0   1   1   0   1   0   1   0  .200  .273  .500 
Carlos Carrasco    R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Bruce Chen         L  15   4   1   0   1   1   0   1   1   0   0  .267  .353  .533 
Aaron Crow         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Scott Diamond      L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Felix Doubront     L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Brian Duensing     L   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Chad Durbin        R   5   3   1   0   1   1   0   0   0   0   0  .600  .667 1.400 
Doug Fister        R   5   4   1   0   0   0   0   1   0   0   0  .800  .800 1.000 
Jeff Francis       L  11   1   0   0   0   0   0   0   0   0   0  .091  .091  .091 
Charlie Furbush    L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Matt Garza         R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Jeanmar Gomez      R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Gio Gonzalez       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Tom Gorzelanny     L   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Matt Harrison      L   4   2   0   1   1   0   0   0   0   0   0  .500  .500 1.750 
Luke Hochevar      R   8   1   0   0   0   0   0   3   0   0   0  .125  .125  .125 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Derek Holland      L   5   1   0   0   0   0   0   0   1   0   0  .200  .333  .200 
Greg Holland       R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Tommy Hunter       R   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Ubaldo Jimenez     R  12   2   1   0   0   2   0   2   0   0   0  .167  .286  .250 
Jon Lester         L  10   1   0   0   0   2   0   3   0   0   0  .100  .250  .100 
Justin Masterson   R   5   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Luis Mendoza       R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Ivan Nova          R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Alexi Ogando       R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
David Pauley       R   4   2   0   0   1   0   0   2   0   0   0  .500  .500 1.250 
Felipe Paulino     R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Carl Pavano        R   9   4   1   0   0   3   0   1   0   0   0  .444  .583  .556 
Brad Penny         R   9   4   0   0   1   0   0   0   0   1   0  .444  .444  .778 
Vinnie Pestano     R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Michael Pineda     R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Joel Pineiro       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Rick Porcello      R   8   1   0   0   1   0   0   2   0   0   0  .125  .125  .500 
David Price        L   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Tyson Ross         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
CC Sabathia        L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ervin Santana      R   9   2   1   0   0   0   0   2   0   0   0  .222  .222  .333 
Max Scherzer       R  14   1   0   0   1   0   0   8   0   1   0  .071  .071  .286 
Joe Smith          R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Drew Smyly         L   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Everett Teaford    L   3   1   0   0   1   2   0   0   0   0   0  .333  .600 1.333 
Josh Tomlin        R   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Jose Valverde      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jason Vargas       L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Justin Verlander   R  12   4   3   0   0   3   0   2   0   0   0  .333  .467  .583 
Jered Weaver       R   7   0   0   0   0   1   0   2   0   0   0  .000  .125  .000 
C.J. Wilson        L   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000
