Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Acker          R   7   3   0   0   1   2   0   1   0   0   2  .429  .455  .857 
Bob Anderson       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Johnny Antonelli   L  43   9   1   1   1   7   0  15   1   0   0  .209  .333  .349 
Luis Arroyo        L  14   3   0   0   0   0   0   5   0   0   0  .214  .214  .214 
Jim Bailey         L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Curt Barclay       R   9   6   2   0   0   1   0   1   0   0   0  .667  .700  .889 
Frank Barnes       R   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 
Don Bessent        R  10   1   0   0   0   0   0   1   0   0   0  .100  .100  .100 
Ron Blackburn      R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Gary Blaylock      R   9   4   0   0   0   2   0   1   0   0   0  .444  .545  .444 
Bob Blaylock       R   7   4   1   0   2   0   0   0   0   0   0  .571  .571 1.571 
Ernie Broglio      R  14   4   0   0   0   2   0   4   0   0   0  .286  .375  .286 
Jim Brosnan        R  19   2   1   0   0   1   0   4   0   0   0  .105  .150  .158 
George Brunet      L   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
Bob Buhl           R  50   9   2   0   1   5   0   8   0   0   1  .180  .250  .280 
Lew Burdette       R  63  23   2   0   4   0   0   5   0   1   0  .365  .365  .587 
John Buzhardt      R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Don Cardwell       R  19   4   0   0   1   3   1   3   0   0   0  .211  .318  .368 
Tom Cheney         R   7   3   1   0   0   1   0   1   0   0   0  .429  .500  .571 
Tony Cloninger     R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jackie Collum      L   6   3   1   0   1   0   0   0   0   0   0  .500  .500 1.167 
Gene Conley        R  44   8   1   0   4   3   0   6   1   1   0  .182  .250  .477 
Roger Craig        R  33   6   2   0   0   2   0   5   0   0   0  .182  .229  .242 
Ray Crone          R  26   7   2   0   1   3   0   4   0   0   0  .269  .345  .462 
Bennie Daniels     R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Jim Davis          L   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Murry Dickson      R  19   4   0   0   1   3   0   1   0   0   0  .211  .318  .368 
Whammy Douglas     R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Don Drysdale       R  61  12   3   1   1   4   0  13   1   0   0  .197  .258  .328 
Bob Duliba         R   4   0   0   0   0   1   1   1   0   0   0  .000  .200  .000 
Dick Ellsworth     L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Carl Erskine       R  30   7   1   0   1   3   0   4   0   0   0  .233  .303  .367 
Roy Face           R  30  12   1   0   3   1   0   4   0   1   0  .400  .419  .733 
Turk Farrell       R  17   3   0   0   0   1   0   6   0   0   0  .176  .222  .176 
Ben Flowers        R   5   1   0   0   0   0   0   0   1   0   0  .200  .333  .200 
Art Fowler         R  21  10   2   0   1   2   0   1   0   0   0  .476  .522  .714 
Hersh Freeman      R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Bob Friend         R  77  25   7   1   1   4   2   8   0   0   0  .325  .358  .481 
Bob Gibson         R   8   2   0   0   1   0   0   2   0   0   0  .250  .250  .625 
Paul Giel          R  11   3   1   0   0   1   0   1   0   0   0  .273  .333  .364 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ruben Gomez        R  42   9   1   0   0   5   1   5   0   0   0  .214  .298  .238 
Dallas Green       R   3   2   0   0   0   1   1   0   0   0   0  .667  .750  .667 
Marv Grissom       R  10   5   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Don Gross          L  17   4   2   0   1   2   0   4   1   0   0  .235  .350  .529 
Warren Hacker      R  17   6   0   0   0   1   0   2   0   0   0  .353  .389  .353 
Harvey Haddix      L  45   4   0   0   2   2   1  14   0   0   0  .089  .128  .222 
Dick Hall          R   4   1   0   0   0   1   1   1   0   0   0  .250  .400  .250 
Jim Hearn          R  24   4   1   0   0   1   0   3   0   0   1  .167  .192  .208 
Glen Hobbie        R  12   4   1   0   0   1   0   2   0   0   0  .333  .385  .417 
Jay Hook           R  14   8   2   0   3   5   1   1   0   0   0  .571  .684 1.357 
Larry Jackson      R  46  15   2   0   5   5   1   6   0   0   0  .326  .392  .696 
Joey Jay           R  18   3   1   0   0   2   0   1   0   0   0  .167  .250  .222 
Hal Jeffcoat       R  33  12   2   0   4   1   0   1   0   0   0  .364  .382  .788 
Ernie Johnson      R  16   4   1   0   0   2   0   2   0   0   0  .250  .333  .313 
Dave Jolly         R   7   1   1   0   0   1   1   1   0   0   0  .143  .250  .286 
Gordon Jones       R   8   2   0   0   1   0   0   2   0   0   0  .250  .250  .625 
Sam Jones          R  55  18   5   1   3   4   0  12   0   0   1  .327  .367  .618 
Alex Kellner       L   8   2   0   0   1   1   0   2   1   0   0  .250  .400  .625 
Fred Kipp          L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Ron Kline          R  50  13   1   1   2   2   0   4   1   0   0  .260  .302  .440 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
J. Klippstein      R  23   6   0   1   2   4   0   5   0   0   0  .261  .370  .609 
Sandy Koufax       L  29   9   3   0   1   7   0   9   0   0   0  .310  .444  .517 
Clem Labine        R  24   8   0   0   1   0   0   2   0   0   1  .333  .320  .458 
Vern Law           R  63  21   2   1   1   2   0   3   0   1   1  .333  .348  .444 
Brooks Lawrence    R  46  16   4   0   3   4   0   8   1   0   0  .348  .412  .630 
Ken Lehman         L   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Don Liddle         L   9   4   0   0   1   0   0   4   0   0   0  .444  .444  .778 
Dick Littlefield   L   7   1   0   0   1   2   0   2   0   0   0  .143  .333  .571 
Billy Loes         R   5   2   1   0   0   1   0   2   0   0   0  .400  .500  .600 
Lynn Lovenguth     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bob Mabe           R   5   3   1   0   1   1   0   0   0   0   0  .600  .667 1.400 
Sal Maglie         R  23   8   5   0   1   6   0   3   0   0   0  .348  .483  .696 
Art Mahaffey       R  15   2   0   0   0   0   0   2   0   0   0  .133  .133  .133 
Joe Margoneri      L  10   4   0   0   0   1   0   1   0   0   0  .400  .455  .400 
Juan Marichal      R   8   1   0   0   0   1   0   3   0   0   1  .125  .200  .125 
Morrie Martin      L   3   0   0   0   0   0   0   0   1   0   0  .000  .250  .000 
Ralph Mauriello    R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Windy McCall       L   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Mike McCormick     L  13   6   0   0   2   2   0   4   1   0   0  .462  .563  .923 
Lindy McDaniel     R  43  13   3   1   2   5   0   9   2   0   0  .302  .400  .558 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Danny McDevitt     L  14   3   1   0   0   1   0   6   0   0   0  .214  .267  .286 
Don McMahon        R  11   2   1   0   0   2   0   0   0   0   0  .182  .308  .273 
Jack Meyer         R  12   1   0   0   0   4   0   4   0   0   0  .083  .313  .083 
Bob Miller         R  15  10   2   0   3   3   1   0   0   0   0  .667  .722 1.400 
Bob Miller         R  10   3   0   0   0   0   0   1   0   0   1  .300  .273  .300 
Stu Miller         R  41  12   3   0   1   6   1   8   0   0   1  .293  .375  .439 
V. Mizell          L  39   6   2   0   1   8   0   7   1   1   0  .154  .313  .282 
Ramon Monzant      R  13   6   2   0   0   1   0   2   0   0   0  .462  .500  .615 
Seth Morehead      L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Billy Muffett      R   9   3   0   0   1   2   0   0   0   0   1  .333  .417  .667 
Red Munger         R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Ron Negray         R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Don Newcombe       R  38   7   2   1   1   3   0   4   0   0   0  .184  .244  .368 
Don Nottebart      R   3   1   0   0   0   1   1   1   0   0   0  .333  .500  .333 
Howie Nunn         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Nuxhall        L  45   7   0   1   1   3   0  10   1   0   0  .156  .224  .267 
Eddie O'Brien      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim O'Toole        L   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Jim Owens          R  24   5   1   0   1   2   0   5   0   0   0  .208  .269  .375 
Laurin Pepper      R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Taylor Phillips    L   8   2   0   0   0   0   0   3   0   1   0  .250  .250  .250 
Ron Piche          R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Juan Pizarro       L   5   1   0   0   1   1   0   1   0   0   0  .200  .333  .800 
Bud Podbielan      R   8   1   0   0   0   1   0   4   0   1   0  .125  .222  .125 
Johnny Podres      L  21   4   2   0   1   4   0   7   0   0   1  .190  .308  .429 
Tom Poholsky       R   5   0   0   0   0   1   0   0   1   0   0  .000  .286  .000 
Bob Porterfield    R   8   1   0   0   1   0   0   1   0   0   0  .125  .125  .500 
Bob Purkey         R  49  16   2   0   2   3   0   2   0   0   1  .327  .358  .490 
Vic Raschi         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Curt Raydon        R   7   3   0   1   0   1   0   2   0   0   0  .429  .500  .714 
Steve Ridzik       R   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Robin Roberts      R  69  25   4   1   6   6   1   8   0   0   1  .362  .408  .710 
H. Robinson        R   3   1   0   0   0   4   0   1   0   0   0  .333  .714  .333 
Ed Roebuck         R  11   2   0   0   1   0   0   1   0   0   0  .182  .182  .455 
Saul Rogovin       R  12   2   1   0   1   2   1   0   0   0   0  .167  .286  .500 
Bob Rush           R  13   6   1   1   0   2   0   2   0   0   0  .462  .533  .692 
Raul Sanchez       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Jack Sanford       R  51  10   1   0   1   9   0   5   0   0   0  .196  .317  .275 
Willard Schmidt    R  14   4   1   0   1   3   0   2   0   0   0  .286  .412  .571 
Ray Semproch       R  21   4   1   0   0   1   0   1   0   1   0  .190  .227  .238 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Larry Sherry       R  15   7   1   0   1   2   0   1   1   0   0  .467  .556  .733 
Curt Simmons       L  22   7   1   0   1   3   0   4   0   0   0  .318  .400  .500 
Lou Sleater        L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bob Smith          L  17   4   1   0   0   2   0   2   0   0   0  .235  .316  .294 
Warren Spahn       L  46  10   1   0   2   3   0  12   0   0   0  .217  .265  .370 
Frank Sullivan     R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Max Surkont        R  10   4   2   0   0   0   0   3   0   0   0  .400  .400  .600 
Jake Thies         R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Trowbridge     R  19   5   0   1   0   2   1   2   0   0   0  .263  .333  .368 
Fred Waters        L   3   1   0   0   0   3   0   0   0   0   0  .333  .667  .333 
Herm Wehmeier      R  25   4   0   0   2   1   0   2   0   0   0  .160  .192  .400 
Hoyt Wilhelm       R   8   1   0   0   0   1   1   0   1   0   0  .125  .300  .125 
Carl Willey        R  24   6   0   1   1   1   0   3   0   0   0  .250  .280  .458 
Stan Williams      R  29   4   2   0   0   4   0   3   1   0   0  .138  .265  .207 
Red Witt           R   4   2   0   0   0   1   0   1   0   0   1  .500  .500  .500 
Al Worthington     R  23   5   0   0   0   6   1   4   0   0   0  .217  .379  .217
