Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Alfredo Aceves     R   4   4   0   0   1   0   0   0   0   0   0 1.000 1.000 1.750 
Mike Adams         R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Jeremy Affeldt     L   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Al Alburquerque    R   4   2   0   0   1   2   0   1   0   0   0  .500  .667 1.250 
Bronson Arroyo     R   4   1   1   0   0   0   0   0   0   0   1  .250  .200  .500 
Burke Badenhop     R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Homer Bailey       R  14   5   1   0   1   3   1   1   0   0   1  .357  .444  .643 
Scott Baker        R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Grant Balfour      R   4   1   0   1   0   2   0   3   0   0   0  .250  .500  .750 
Anthony Bass       R   5   2   0   0   2   0   0   1   1   0   0  .400  .500 1.600 
Chris Bassitt      R   4   0   0   0   0   0   0   2   1   0   0  .000  .200  .000 
Erik Bedard        L   5   4   0   0   1   2   0   1   0   0   0  .800  .857 1.400 
Joe Beimel         L   9   2   1   0   0   0   0   2   0   0   1  .222  .200  .333 
Nick Blackburn     R   5   2   1   0   0   0   0   0   0   0   1  .400  .333  .600 
Joe Blanton        R  14   4   0   1   1   0   0   1   1   0   0  .286  .333  .643 
Mitchell Boggs     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jeremy Bonderman   R   2   1   0   0   0   2   1   0   0   0   0  .500  .750  .500 
Brad Boxberger     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jonathan Broxton   R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Mark Buehrle       L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
A.J. Burnett       R   8   1   1   0   0   2   0   2   0   0   0  .125  .300  .250 
Brian Burres       L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Jared Burton       R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
David Bush         R   9   3   1   0   1   0   0   2   0   0   0  .333  .333  .778 
Tim Byrdak         L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Matt Cain          R  17   3   0   0   1   0   0   7   0   0   0  .176  .176  .353 
Fausto Carmona     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Santiago Casilla   R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Xavier Cedeno      L   5   1   1   0   0   0   0   3   0   0   0  .200  .200  .400 
Bruce Chen         L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Wei-Yin Chen       L   8   4   0   0   2   0   0   1   0   0   0  .500  .500 1.250 
Paul Clemens       R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Alex Cobb          R  14   2   0   0   0   1   0   7   0   0   0  .143  .200  .143 
Gerrit Cole        R  12   2   0   0   1   0   0   4   0   0   0  .167  .167  .417 
