Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R  17   6   0   0   0   1   0   2   0   1   0  .353  .389  .353 
Jack Aker          R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Gerry Arrigo       L  17   6   0   0   0   3   0   1   0   1   1  .353  .429  .353 
Jack Baldschun     R  14   7   1   0   0   2   0   1   0   2   0  .500  .563  .571 
Steve Barber       L   4   1   0   0   0   0   0   0   0   0   1  .250  .200  .250 
Jim Barr           R  11   4   1   1   0   0   0   0   0   0   0  .364  .364  .636 
Bo Belinsky        L   6   2   0   1   0   1   0   1   0   0   0  .333  .429  .667 
Dennis Bennett     L  12   7   0   0   0   0   0   1   1   1   0  .583  .615  .583 
Jack Billingham    R  11   3   0   0   0   2   0   2   0   1   0  .273  .385  .273 
Wade Blasingame    L  33   9   1   1   1   6   0   4   0   1   0  .273  .385  .455 
Steve Blass        R  19   6   1   0   0   1   0   3   0   0   0  .316  .350  .368 
Bobby Bolin        R  13   2   1   0   0   2   0   1   0   0   0  .154  .267  .231 
John Boozer        R   7   3   0   0   0   0   0   0   0   1   0  .429  .429  .429 
Pedro Borbon       R  14   3   0   0   0   0   0   2   0   0   0  .214  .214  .214 
Bucky Brandon      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Ken Brett          L  11   2   1   0   0   1   0   1   0   0   0  .182  .250  .273 
Jim Brewer         L   9   3   1   0   0   4   1   2   0   0   0  .333  .538  .444 
Nelson Briles      R  23  10   1   0   0   1   0   0   2   0   1  .435  .481  .478 
Ernie Broglio      R  11   5   0   1   1   1   0   0   0   0   0  .455  .500  .909 
Hal Brown          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Bruce          R  12   2   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Ron Bryant         L  36   8   2   0   0   4   0   3   1   1   0  .222  .317  .278 
Bob Buhl           R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Jim Bunning        R  45  15   0   0   2   1   0   3   0   0   0  .333  .348  .467 
Mike Caldwell      L   8   2   1   0   0   3   3   0   0   0   0  .250  .455  .375 
Buzz Capra         R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Don Cardwell       R  10   3   0   0   0   1   0   0   0   0   1  .300  .333  .300 
Steve Carlton      L  92  30   1   3   2   4   2   9   0   2   0  .326  .354  .467 
Don Carrithers     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Clay Carroll       R  36  15   1   0   0   0   0   3   0   0   0  .417  .417  .444 
Galen Cisco        R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Reggie Cleveland   R   9   3   1   0   0   0   0   0   0   0   0  .333  .333  .444 
Tony Cloninger     R  18   3   0   0   0   2   0   1   1   3   1  .167  .273  .167 
Ron Cook           L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Danny Coombs       L  18   6   2   0   0   5   0   3   0   1   0  .333  .478  .444 
Mike Corkins       R   4   3   0   0   0   1   1   0   0   0   0  .750  .800  .750 
Mike Cuellar       L  24   5   1   0   0   0   0   3   0   0   0  .208  .208  .250 
Ray Culp           R  17   5   0   2   0   2   0   0   0   0   1  .294  .350  .529 
George Culver      R  14   3   0   0   0   2   0   2   0   1   0  .214  .313  .214 
John Cumberland    L  10   4   2   0   0   0   0   0   0   1   0  .400  .400  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bruce Dal Canton   R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
