Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pete Appleton      R   2   1   1   0   0   1   0   0   0   1   0  .500  .667 1.000 
G. Blaeholder      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Clint Brown        R   6   4   1   0   0   0   0   0   0   0   0  .667  .667  .833 
Lloyd Brown        L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Bobby Burke        L   4   1   0   1   0   0   0   1   0   0   0  .250  .250  .750 
Dick Coffman       R  14   2   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Rip Collins        R   6   0   0   0   0   2   0   1   0   0   0  .000  .250  .000 i
George Earnshaw    R   7   2   1   0   0   0   0   0   0   1   0  .286  .286  .429 
Milt Gaston        R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 i
Sam Gray           R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Lefty Grove        L   9   2   0   1   0   1   0   3   0   1   0  .222  .300  .444 
Bump Hadley        R   6   3   0   0   0   1   0   1   0   0   0  .500  .571  .500 
Mel Harder         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Waite Hoyt         R  13   3   0   0   0   0   0   2   0   0   0  .231  .231  .231 
Hank Johnson       R   4   0   0   0   0   1   0   3   0   1   0  .000  .200  .000 i
Sad Sam Jones      R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Mark Koenig        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Hod Lisenbee       R   7   1   1   0   0   0   0   1   0   1   0  .143  .143  .286 
Ad Liska           R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Danny MacFayden    R   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Roy Mahaffey       R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Firpo Marberry     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Herb Pennock       L  10   3   1   0   0   0   0   0   0   0   0  .300  .300  .400 i
George Pipgras     R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 i
Eddie Rommel       R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Red Ruffing        R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 i
Roy Sherid         R   5   3   0   1   0   0   0   1   0   0   0  .600  .600 1.000 
Bill Shores        R   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
George Smith       R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 i
Vic Sorrell        R   9   2   0   0   0   1   0   0   0   0   0  .222  .300  .222 i
Lefty Stewart      L   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 i
Rollie Stiles      R   3   0   0   0   0   1   0   0   0   1   0  .000  .250  .000 i
George Uhle        R   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 
Earl Whitehill     L  12   2   1   0   0   1   0   2   0   0   0  .167  .231  .250 i
