Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Affeldt     L   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Brian Anderson     L   6   4   1   0   1   1   0   1   0   0   0  .667  .714 1.333 
Miguel Asencio     R   6   2   0   0   0   2   0   0   0   0   1  .333  .444  .333 
Danys Baez         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Joaquin Benoit     R   7   1   0   0   1   1   0   5   0   0   0  .143  .250  .571 
Chad Billingsley   R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
John Burkett       R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
David Bush         R   5   1   0   0   1   1   0   1   0   0   0  .200  .333  .800 
Roger Clemens      R   9   1   0   0   0   1   0   2   0   0   0  .111  .200  .111 
Jesus Colome       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bartolo Colon      R  12   2   1   0   0   2   0   3   0   0   0  .167  .286  .250 
Jose Contreras     R  11   1   1   0   0   0   0   6   0   0   0  .091  .091  .182 
Jason Davis        R  16   8   1   0   2   0   0   1   0   0   0  .500  .500  .938 
Ryan Dempster      R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Ryan Drese         R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Scott Elarton      R   9   1   0   0   1   1   0   2   0   0   0  .111  .200  .444 
Alan Embree        L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Casey Fossum       L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Brian Fuentes      L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Aaron Fultz        L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Freddy Garcia      R  17   1   0   0   0   1   0   6   0   0   0  .059  .111  .059 
Jon Garland        R  13   3   0   0   2   4   0   2   1   0   0  .231  .444  .692 
Chris George       L   8   0   0   0   0   2   0   4   0   0   0  .000  .200  .000 
Tom Gordon         R   4   0   0   0   0   0   0   3   0   0   1  .000  .000  .000 
Kevin Gregg        R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Jason Grimsley     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Eddie Guardado     L   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Roy Halladay       R  12   3   0   0   0   0   0   5   0   0   0  .250  .250  .250 
Aaron Harang       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Rich Harden        R   8   1   0   0   0   0   0   3   0   0   0  .125  .125  .125 
Mark Hendrickson   L   8   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pat Hentgen        R   7   1   0   0   1   0   0   1   0   0   0  .143  .143  .571 
R. Hernandez       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
R. Hernandez       R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Rich Hill          L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tim Hudson         R  17   4   1   0   1   0   0   4   1   0   0  .235  .278  .471 
J. Isringhausen    R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jason Jennings     R  10   4   1   1   1   1   1   2   0   0   1  .400  .417 1.000 
Jason Johnson      R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Sun-Woo Kim        R   4   2   2   0   0   0   0   1   0   0   0  .500  .500 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
John Lackey        R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Cliff Lee          L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Jon Lieber         R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Esteban Loaiza     R  16   4   0   0   2   0   0   3   1   0   0  .250  .294  .625 
Kyle Lohse         R  16   2   1   0   0   1   0   2   0   0   0  .125  .176  .188 
Rodrigo Lopez      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Derek Lowe         R  18   6   2   0   2   1   0   3   0   0   0  .333  .368  .778 
Ron Mahay          L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Paul Maholm        L   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
John Maine         R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Damaso Marte       L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pedro Martinez     R  11   2   1   0   0   0   0   1   1   0   0  .182  .250  .273 
Darrell May        L   5   1   0   0   1   0   0   2   0   0   0  .200  .200  .800 
Joe Mays           R   6   1   0   0   1   1   0   0   0   0   0  .167  .286  .667 
Gil Meche          R   8   2   1   0   1   2   0   2   0   0   0  .250  .400  .750 
Kevin Millwood     R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Eric Milton        L   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Terry Mulholland   L  11   1   0   0   0   1   0   5   0   0   0  .091  .167  .091 
Mike Mussina       R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Joe Nathan         R   5   1   0   0   0   1   0   4   0   0   0  .200  .333  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hideo Nomo         R   7   1   0   1   0   1   0   2   0   0   0  .143  .250  .429 
Tomo Ohka          R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Scott Olsen        L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
John Patterson     R   3   1   0   0   0   0   0   0   1   0   1  .333  .400  .333 
Joel Pineiro       R  10   2   1   0   0   1   0   3   0   0   0  .200  .273  .300 
Brad Radke         R  23   2   1   0   0   0   0   5   0   0   0  .087  .087  .130 
Elizardo Ramirez   R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Tim Redding        R   5   2   0   0   0   1   1   0   0   0   0  .400  .500  .400 
Rick Reed          R   9   2   0   0   1   0   0   3   0   0   0  .222  .222  .556 
David Riske        R   3   1   0   0   1   0   0   1   0   1   0  .333  .333 1.333 
Joe Roa            R   2   1   0   0   1   2   0   1   0   0   0  .500  .750 2.000 
Kenny Rogers       L   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
J.C. Romero        L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
CC Sabathia        L   4   3   1   0   1   0   0   1   0   0   0  .750  .750 1.750 
Johan Santana      L  10   1   0   0   1   0   0   3   0   0   0  .100  .100  .400 
