Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fernando Abad      L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Jeremy Affeldt     L   7   3   0   0   0   0   0   1   0   0   1  .429  .375  .429 
H. Alvarez         R  25   8   3   0   0   1   0   3   0   0   0  .320  .346  .440 
Elvis Araujo       L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jake Arrieta       R  12   3   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Bronson Arroyo     R  19   9   2   0   0   0   0   0   0   0   0  .474  .474  .579 
Luis Avilan        L  17   6   1   0   0   0   0   1   0   0   0  .353  .353  .412 
John Axford        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Burke Badenhop     R   5   2   1   0   0   1   1   1   0   0   0  .400  .500  .600 
Cha-Seung Baek     R   4   3   0   1   0   0   0   0   0   0   0  .750  .750 1.250 
Danys Baez         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Homer Bailey       R   5   2   1   0   0   2   0   0   0   0   0  .400  .571  .600 
Collin Balester    R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Anthony Bass       R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Antonio Bastardo   L  14   3   1   0   1   3   0   0   0   0   0  .214  .353  .500 
Josh Beckett       R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ronald Belisario   R   4   2   0   1   0   0   0   2   0   0   0  .500  .500 1.000 
Matt Belisle       R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Heath Bell         R   5   4   1   0   0   0   0   0   0   0   0  .800  .800 1.000 
Joaquin Benoit     R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
C. Bergman         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jason Bergmann     R   9   3   0   0   0   1   0   0   0   0   0  .333  .400  .333 
Jason Berken       R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Chad Bettis        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Chad Billingsley   R   5   3   0   0   0   1   0   0   0   0   0  .600  .667  .600 
Joe Blanton        R  11   2   1   0   0   1   0   2   0   0   0  .182  .250  .273 
Mike Bolsinger     R   4   3   0   0   0   1   1   0   0   0   0  .750  .800  .750 
Brad Brach         R   3   2   0   0   0   0   0   0   0   0   1  .667  .500  .667 
David Buchanan     R  12   2   1   0   0   1   0   1   0   0   0  .167  .231  .250 
Mark Buehrle       L   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
M. Bumgarner       L   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
A.J. Burnett       R  21   8   2   0   0   5   0   2   0   0   0  .381  .500  .476 
Sean Burnett       L   8   4   3   0   0   0   0   0   1   0   0  .500  .556  .875 
David Bush         R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Trevor Cahill      R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Matt Cain          R  19   4   1   0   1   2   0   4   0   0   1  .211  .273  .421 
Jorge Campillo     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Chris Capuano      L   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Fausto Carmona     R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
David Carpenter    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andrew Cashner     R   9   5   1   0   1   1   0   1   0   0   1  .556  .545 1.000 
Xavier Cedeno      L   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Jhoulys Chacin     R   9   3   1   0   0   1   0   0   0   0   1  .333  .364  .444 
Aroldis Chapman    L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tyler Chatwood     R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Randy Choate       L   8   1   1   0   0   1   0   5   0   0   0  .125  .222  .250 
Steve Cishek       R  13   2   0   0   1   1   0   6   0   0   0  .154  .214  .385 
Tyler Clippard     R  12   3   0   0   1   0   0   1   0   0   0  .250  .250  .500 
Tyler Cloyd        R   8   2   0   0   1   1   0   0   0   0   0  .250  .333  .625 
Todd Coffey        R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Gerrit Cole        R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Josh Collmenter    R  12   5   2   0   0   0   0   1   1   0   0  .417  .462  .583 
Jesus Colome       R   5   2   1   0   1   1   0   0   0   0   0  .400  .500 1.200 
Patrick Corbin     L   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Kevin Correia      R  17   7   0   0   0   0   0   2   0   0   0  .412  .412  .412 
Jarred Cosart      R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Johnny Cueto       R  17   3   0   0   0   1   0   1   1   0   0  .176  .263  .176 
Brandon Cumpton    R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
John Danks         L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Doug Davis         L   5   1   0   0   1   1   0   1   0   0   0  .200  .333  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Justin De Fratus   R   5   2   0   0   1   3   2   0   0   0   0  .400  .625 1.000 
Jorge de la Rosa   L   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Rubby de la Rosa   R   5   2   1   0   1   1   0   0   0   0   0  .400  .500 1.200 
Randall Delgado    R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Ryan Dempster      R   7   3   1   0   0   1   0   0   0   0   0  .429  .500  .571 
A. DeSclafani      R   6   3   1   0   1   0   0   0   0   0   0  .500  .500 1.167 
O. Despaigne       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Ross Detwiler      L  13   2   0   0   0   0   0   4   0   0   0  .154  .154  .154 
Jake Diekman       L  14   3   1   0   0   0   0   4   0   0   0  .214  .214  .286 
Zach Duke          L   5   3   0   0   0   1   0   0   0   0   0  .600  .667  .600 
Michael Dunn       L  19   5   1   0   0   1   0   4   0   0   0  .263  .300  .316 
Chad Durbin        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jerad Eickhoff     R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Scott Elbert       L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Barry Enright      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Nathan Eovaldi     R  19   8   4   0   1   1   0   1   0   0   1  .421  .429  .789 
Marco Estrada      R   6   2   0   0   1   1   0   0   0   0   0  .333  .429  .833 
Scott Feldman      R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Jose Fernandez     R  10   2   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Michael Fiers      R   2   1   0   0   1   2   0   0   0   0   0  .500  .750 2.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
