Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Glenn Abbott       R  15   4   0   0   0   1   0   2   0   0   0  .267  .313  .267 
Vic Albury         L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Doyle Alexander    R  18   7   0   1   0   0   0   0   0   0   0  .389  .389  .500 
Lloyd Allen        R   4   2   0   0   0   2   0   1   0   0   0  .500  .667  .500 
Stan Bahnsen       R   4   0   0   0   0   1   1   1   0   0   0  .000  .200  .000 
Eddie Bane         L   3   1   1   0   0   0   0   1   0   0   1  .333  .250  .667 
Ray Bare           R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
F. Barrios         R   4   2   1   0   0   0   0   0   0   0   1  .500  .400  .750 
Fred Beene         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jerry Bell         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jim Bibby          R  33   8   2   0   0   3   0   6   0   1   0  .242  .306  .303 
Doug Bird          R  13   1   0   0   0   1   0   1   0   0   0  .077  .143  .077 
Bert Blyleven      R  28   9   0   0   0   2   0   6   0   1   0  .321  .367  .321 
Dick Bosman        R   7   2   0   0   0   0   0   1   0   0   1  .286  .250  .286 
Pete Broberg       R   4   3   0   0   0   3   0   1   0   0   0  .750  .857  .750 
Jackie Brown       R   7   2   0   0   1   2   0   0   0   0   0  .286  .444  .714 
Tom Burgmeier      L  13   3   0   0   0   0   0   2   1   0   0  .231  .286  .231 
Steve Busby        R  22   4   0   0   0   0   0   4   0   1   0  .182  .182  .182 
Tom Buskey         R   7   3   1   0   0   1   1   0   0   0   0  .429  .500  .571 
Bill Campbell      R  15   6   0   1   0   1   0   4   0   0   1  .400  .412  .533 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Castro        R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Bill Champion      R   9   3   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Reggie Cleveland   R  11   3   0   0   0   1   0   0   0   0   0  .273  .333  .273 
David Clyde        L   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Jim Colborn        R  19   5   0   0   0   0   0   1   0   0   0  .263  .263  .263 
Joe Coleman        R  22   7   0   0   0   3   1   1   0   1   0  .318  .400  .318 
Ray Corbin         R  11   4   1   1   0   0   0   2   0   0   0  .364  .364  .636 
Mike Cuellar       L   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ray Culp           R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Bruce Dal Canton   R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Joe Decker         R  10   5   1   0   0   1   0   0   0   0   0  .500  .545  .600 
Chuck Dobson       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Pat Dobson         R  34   6   0   0   0   3   0   5   0   0   0  .176  .243  .176 
Dick Drago         R  15   2   1   0   0   1   0   1   0   0   0  .133  .188  .200 
Steve Dunning      R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dennis Eckersley   R  10   1   0   0   0   1   0   5   0   0   0  .100  .182  .100 
Dock Ellis         R  12   3   0   0   0   1   1   0   0   0   0  .250  .308  .250 
Mark Fidrych       R   8   3   1   0   0   1   0   0   0   0   1  .375  .400  .500 
Ed Figueroa        R   9   5   1   0   0   1   0   0   0   0   0  .556  .600  .667 
Rollie Fingers     R   7   0   0   0   0   1   0   0   0   0   0  .000  .125  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Fitzmorris      R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Steve Foucault     R   9   2   0   0   0   1   0   2   0   0   0  .222  .300  .222 
Rich Gale          R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Bill Gogolewski    R   8   1   0   0   0   0   0   3   0   0   0  .125  .125  .125 
Dave Goltz         R  27   9   3   0   0   1   0   1   0   0   0  .333  .357  .444 
Rich Gossage       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Larry Gura         L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Moose Haas         R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Dave Hamilton      L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Rich Hand          R   7   2   0   1   0   1   0   0   0   0   1  .286  .333  .571 
Bill Hands         R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Steve Hargan       R  14   7   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Paul Hartzell      R   6   1   0   0   0   0   0   0   0   0   1  .167  .143  .167 
Tom Hausman        R   7   2   0   0   0   2   1   0   0   0   0  .286  .444  .286 
John Hiller        L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Joe Hoerner        L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jim Hughes         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Catfish Hunter     R  40  12   1   0   1   3   0   2   0   0   0  .300  .349  .400 
Jesse Jefferson    R   8   4   2   0   1   0   0   0   0   0   0  .500  .500 1.125 
Fergie Jenkins     R  15   3   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Johnson        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Kammeyer       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Kern           R  12   0   0   0   0   3   1   2   0   0   0  .000  .200  .000 
Don Kirkwood       R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Lerrin LaGrow      R  16   6   2   0   0   0   0   0   0   0   0  .375  .375  .500 
Dick Lange         R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
