Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Anderson       R   2   1   0   0   0   3   0   0   0   0   0  .500  .800  .500 
Johnny Antonelli   L  14   3   0   0   0   2   0   3   0   1   0  .214  .313  .214 
Ewell Blackwell    R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Harry Brecheen     L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Marshall Bridges   L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ernie Broglio      R   7   2   1   0   0   1   0   3   0   0   0  .286  .375  .429 
Bob Buhl           R   4   0   0   0   0   3   0   2   0   0   0  .000  .429  .000 
Lew Burdette       R  14   4   0   0   0   1   0   4   0   2   0  .286  .333  .286 
Bob Chesnes        R   4   3   1   0   0   0   0   1   0   0   0  .750  .750 1.000 
Gene Conley        R  11   6   0   0   0   0   0   2   0   0   0  .545  .545  .545 
Ray Crone          R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jim Davis          L   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Murry Dickson      R   8   3   1   0   1   2   0   0   0   0   0  .375  .500  .875 
Moe Drabowsky      R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Karl Drews         R   4   4   1   0   0   1   0   0   0   0   0 1.000 1.000 1.250 
Don Elston         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Eddie Erautt       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Roy Face           R  11   2   0   1   0   0   0   2   0   1   0  .182  .182  .364 
Turk Farrell       R   3   2   0   0   0   1   1   0   0   0   0  .667  .750  .667 
Bob Friend         R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ruben Gomez        R  13   5   1   0   0   0   0   1   0   0   1  .385  .357  .462 
Warren Hacker      R  19   8   1   0   1   2   0   3   0   0   1  .421  .455  .632 
Dick Hall          R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Jim Hearn          R   8   2   0   0   0   4   0   1   0   0   0  .250  .500  .250 
Ken Heintzelman    L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Frank Hiller       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dave Hillman       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Larry Jackson      R  19   5   2   0   0   0   0   5   0   0   0  .263  .263  .368 
Larry Jansen       R  10   2   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Joey Jay           R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Hal Jeffcoat       R   8   3   2   0   0   1   0   0   0   0   0  .375  .444  .625 
Ernie Johnson      R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Dave Jolly         R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Gordon Jones       R   6   3   0   0   1   0   0   0   0   0   0  .500  .500 1.000 
Sam Jones          R  11   1   0   0   0   0   0   3   1   0   0  .091  .167  .091 
Sheldon Jones      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Monty Kennedy      L   5   3   0   0   1   0   0   0   0   1   0  .600  .600 1.200 
Nellie King        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Ron Kline          R  11   6   2   0   2   0   0   0   0   0   0  .545  .545 1.273 
J. Klippstein      R  11   1   1   0   0   1   0   6   0   0   0  .091  .167  .182 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Konstanty      R   7   1   0   1   0   0   0   0   0   0   0  .143  .143  .429 
Dave Koslo         L   8   1   1   0   0   0   0   1   0   0   0  .125  .125  .250 
Max Lanier         L   6   0   0   0   0   1   0   2   0   1   0  .000  .143  .000 
Vern Law           R  15   3   0   0   0   1   0   0   0   0   0  .200  .250  .200 
Brooks Lawrence    R   4   2   0   0   0   3   0   1   0   0   0  .500  .714  .500 
Dutch Leonard      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Dick Littlefield   L   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Vic Lombardi       L   6   0   0   0   0   2   0   1   0   0   0  .000  .250  .000 
Turk Lown          R   8   2   1   0   0   2   0   4   0   0   0  .250  .400  .375 
Bill Macdonald     R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Sal Maglie         R  13   2   0   0   1   0   0   0   0   0   0  .154  .154  .385 
Fred Martin        R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
