Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   3   0   0   0   0   2   0   2   0   0   0  .000  .400  .000 
Willie Adams       R   6   2   2   0   0   2   0   1   0   0   0  .333  .500  .667 
Rick Aguilera      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Scott Aldred       L   9   2   0   0   0   0   0   3   0   0   0  .222  .222  .222 
Wilson Alvarez     L  16   5   0   0   1   3   0   4   1   0   0  .313  .450  .500 
Brian Anderson     L  10   1   0   0   0   0   0   2   0   0   0  .100  .100  .100 
Luis Andujar       R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Kevin Appier       R  32   8   2   0   2   1   0   5   0   0   1  .250  .265  .500 
Jack Armstrong     R   6   1   0   0   1   0   0   3   0   0   0  .167  .167  .667 
Andy Ashby         R   6   3   1   0   1   0   0   0   0   0   0  .500  .500 1.167 
Paul Assenmacher   L  14   2   0   0   0   0   0   6   0   0   2  .143  .125  .143 
Pedro Astacio      R   7   2   0   0   1   0   0   2   0   0   0  .286  .286  .714 
Steve Avery        L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Bobby Ayala        R   3   1   1   0   0   0   0   1   0   1   0  .333  .333  .667 
James Baldwin      R  11   7   0   0   1   1   0   0   0   0   0  .636  .667  .909 
Willie Banks       R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Tim Belcher        R  19   5   3   1   0   4   2   4   0   0   0  .263  .391  .526 
Andy Benes         R   9   3   0   0   1   1   0   3   0   0   0  .333  .400  .667 
Armando Benitez    R   2   0   0   0   0   2   1   1   0   0   0  .000  .500  .000 
Jason Bere         R  18   2   1   0   0   4   0   2   0   0   0  .111  .273  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sean Bergman       R  16   3   1   0   0   4   1   0   0   0   0  .188  .350  .250 
Mike Bielecki      R   4   1   0   0   0   0   0   1   0   0   1  .250  .200  .250 
Willie Blair       R   8   2   1   0   0   2   0   0   0   0   1  .250  .364  .375 
Joe Boever         R   4   3   0   0   1   0   0   1   0   0   0  .750  .750 1.500 
Tom Bolton         L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Chris Bosio        R  10   3   1   0   0   1   0   0   1   0   1  .300  .385  .400 
Shawn Boskie       R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Kent Bottenfield   R   7   1   0   0   1   0   0   2   0   0   0  .143  .143  .571 
Mark Brandenburg   R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Billy Brewer       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Kevin Brown        R  28  13   3   0   0   2   0   2   0   0   0  .464  .500  .571 
Dave Burba         R   8   2   1   0   0   2   1   0   0   0   0  .250  .400  .375 
John Burkett       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Greg Cadaret       L   4   1   1   0   0   0   0   0   0   1   0  .250  .250  .500 
Kevin Campbell     R   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 
Rafael Carmona     R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Larry Casian       L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tony Castillo      L   6   2   1   1   0   0   0   1   0   0   0  .333  .333  .833 
Frank Castillo     R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Norm Charlton      L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mark Clark         R  10   3   2   0   0   1   0   2   0   0   0  .300  .364  .500 
Terry Clark        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Roger Clemens      R  31   5   0   0   0   2   0   9   0   0   0  .161  .212  .161 
Bartolo Colon      R   8   4   0   0   1   0   0   1   0   0   0  .500  .500  .875 
David Cone         R  14   3   1   0   0   6   0   2   0   0   0  .214  .450  .286 
Dennis Cook        L   8   0   0   0   0   0   0   3   0   0   1  .000  .000  .000 
