Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brett Anderson     L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Jake Arrieta       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Luis Ayala         R   2   1   0   0   0   0   0   0   2   0   0  .500  .750  .500 
Josh Beckett       R   8   1   0   0   0   0   0   4   1   0   0  .125  .222  .125 
Nick Blackburn     R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Craig Breslow      L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Zach Britton       L   8   4   2   0   0   1   0   2   0   0   0  .500  .556  .750 
Clay Buchholz      R   7   0   0   0   0   1   0   2   0   0   0  .000  .125  .000 
Mark Buehrle       L  18   6   0   0   2   3   0   4   0   0   1  .333  .409  .667 
Bryan Bullington   R   5   2   2   0   0   0   0   0   1   0   0  .400  .500  .800 
A.J. Burnett       R   2   1   1   0   0   4   0   1   0   0   0  .500  .833 1.000 
Trevor Cahill      R   9   4   0   0   0   1   0   2   0   1   0  .444  .500  .444 
Fausto Carmona     R  10   2   0   0   1   0   0   4   0   0   0  .200  .200  .500 
Brett Cecil        L  10   3   2   0   0   0   0   2   0   0   0  .300  .300  .500 
Bruce Chen         L  14   3   0   0   1   0   0   3   1   1   0  .214  .267  .429 
Wei-Yin Chen       L   5   1   0   0   0   2   0   1   0   0   1  .200  .375  .200 
Alex Cobb          R   9   3   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Bartolo Colon      R   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
John Danks         L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Kyle Davies        R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Wade Davis         R  13   3   1   0   0   1   0   4   1   0   0  .231  .333  .308 
Steve Delabar      R   5   2   1   0   0   0   0   2   0   1   0  .400  .400  .600 
R.A. Dickey        R   4   0   0   0   0   0   0   0   1   0   0  .000  .200  .000 
Felix Doubront     L   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 
Brian Duensing     L  12   3   1   0   1   0   0   4   0   0   0  .250  .250  .583 
Danny Duffy        L   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Zach Duke          L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dana Eveland       L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Doug Fister        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Lucas French       L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
A. Galarraga       R   8   2   1   0   1   0   0   2   0   0   0  .250  .250  .750 
Freddy Garcia      R   4   1   0   0   0   0   0   0   1   0   0  .250  .400  .250 
Matt Garza         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Gio Gonzalez       L  13   4   0   0   1   2   0   6   0   0   1  .308  .375  .538 
Miguel Gonzalez    R   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Zack Greinke       R  23   4   2   0   1   0   0  10   0   0   0  .174  .174  .391 
Matt Guerrier      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Jeremy Guthrie     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Tommy Hanson       R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
J.A. Happ          L   7   1   0   0   0   2   0   3   0   0   0  .143  .333  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dan Haren          R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Lucas Harrell      R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Matt Harrison      L   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Felix Hernandez    R  15   6   1   0   0   2   0   5   1   0   0  .400  .500  .467 
Luke Hochevar      R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
