Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Acevedo       R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Terry Adams        R   9   1   0   0   0   2   0   2   0   0   0  .111  .273  .111 
A. Alfonseca       R  10   1   0   0   0   0   0   4   0   0   0  .100  .100  .100 
Matt Anderson      R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Greg Aquino        R   2   1   1   0   0   2   0   1   0   0   0  .500  .750 1.000 
Tony Armas         R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Andy Ashby         R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Pedro Astacio      R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Miguel Batista     R   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 
Josh Beckett       R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Matt Belisle       R   4   1   0   0   0   0   0   1   0   1   0  .250  .250  .250 
Francis Beltran    R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
Armando Benitez    R   4   1   0   0   0   0   0   1   0   0   1  .250  .200  .250 
Jeff Bennett       R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Kris Benson        R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jason Bere         R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Jason Bergmann     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Rocky Biddle       R   3   1   0   0   0   0   0   2   1   0   0  .333  .500  .333 
Dave Borkowski     R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Joe Borowski       R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kent Bottenfield   R   2   1   0   0   0   1   0   0   0   1   0  .500  .667  .500 
Jim Brower         R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Kevin Brown        R   8   3   0   0   0   0   0   2   0   0   0  .375  .375  .375 
Jonathan Broxton   R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Mike Buddie        R   4   0   0   0   0   1   0   1   0   1   0  .000  .200  .000 
Dave Burba         R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
A.J. Burnett       R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
David Bush         R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Paul Byrd          R   8   3   0   0   0   2   0   1   0   0   0  .375  .500  .375 
Jose Cabrera       R   7   3   2   0   0   0   0   1   0   0   0  .429  .429  .714 
Chris Capuano      L   6   1   0   0   0   1   1   0   0   0   0  .167  .286  .167 
Chris Carpenter    R   8   2   1   0   0   0   0   4   0   0   0  .250  .250  .375 
Shawn Chacon       R  10   3   1   0   0   0   0   1   0   0   0  .300  .300  .400 
Brandon Claussen   L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Roger Clemens      R  10   1   0   0   0   1   0   1   0   0   0  .100  .182  .100 
Matt Clement       R  24   4   1   1   0   1   0   7   0   0   0  .167  .200  .292 
Todd Coffey        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Aaron Cook         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Chad Cordero       R   5   1   1   0   0   1   0   1   0   0   0  .200  .333  .400 
F. Cordero         R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lance Cormier      R   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
