Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Acevedo       R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
Wilson Alvarez     L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Andy Ashby         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Juan Cruz          R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Elmer Dessens      R   7   1   0   0   0   1   1   2   0   0   0  .143  .250  .143 
Scott Eyre         L   2   0   0   0   0   2   0   1   0   0   1  .000  .400  .000 
Casey Fossum       L   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Aaron Harang       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Dan Haren          R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Brad Hennessey     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jason Jennings     R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Randy Johnson      L   7   2   0   0   1   0   0   2   0   0   0  .286  .286  .714 
Joe Kennedy        L   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Matt Kinney        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Greg Maddux        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Brian Meadows      R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Darren Oliver      L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Russ Ortiz         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Brad Penny         R   7   3   1   0   0   0   0   3   0   0   0  .429  .429  .571 
Oliver Perez       L   2   2   0   0   0   1   0   0   0   0   1 1.000  .750 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kirk Rueter        L   4   3   0   0   1   1   0   0   0   0   0  .750  .800 1.500 
Johan Santana      L   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Curt Schilling     R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Jason Schmidt      R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Denny Stark        R   3   1   0   0   0   3   0   0   0   0   0  .333  .667  .333 
Brett Tomko        R   3   1   0   0   0   2   1   1   0   0   0  .333  .600  .333 
Oscar Villarreal   R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jeff Weaver        R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Brandon Webb       R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Paul Wilson        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jaret Wright       R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000
