Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Johnny Abrego      R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Jim Acker          R   6   1   0   0   0   1   1   2   0   0   0  .167  .286  .167 
Rick Aguilera      R  28   5   1   0   0   0   0   5   0   0   1  .179  .172  .214 
Doyle Alexander    R  22   9   1   0   1   0   0   3   0   1   0  .409  .409  .591 
Neil Allen         R   7   4   0   0   0   0   0   0   0   0   0  .571  .571  .571 
Wilson Alvarez     L   6   3   2   0   0   0   0   0   0   0   1  .500  .429  .833 
Larry Andersen     R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Allan Anderson     L   8   4   0   0   0   0   0   0   0   1   0  .500  .500  .500 
Joaquin Andujar    R  14   5   0   1   0   1   0   0   0   0   0  .357  .400  .500 
Kevin Appier       R  18   3   0   0   0   1   1   1   0   0   0  .167  .211  .167 
Luis Aquino        R  23   6   1   0   0   1   0   1   0   0   0  .261  .292  .304 
Jack Armstrong     R  18   6   0   0   1   0   0   4   0   0   0  .333  .333  .500 
Rene Arocha        R   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
Andy Ashby         R  13   3   0   0   0   0   0   0   0   0   0  .231  .231  .231 
Paul Assenmacher   L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pedro Astacio      R  23   5   0   0   1   0   0   1   0   0   0  .217  .217  .348 
Don August         R  16   4   1   0   0   0   0   0   0   0   0  .250  .250  .313 
Scott Bailes       L   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Roger Bailey       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jay Baller         R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Scott Bankhead     R   9   4   2   0   0   0   0   1   0   1   0  .444  .444  .667 
Willie Banks       R   5   1   0   0   0   0   0   0   0   0   1  .200  .167  .200 
Floyd Bannister    L   5   2   0   0   0   0   0   0   1   0   0  .400  .500  .400 
Jose Bautista      R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Rod Beck           R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Steve Bedrosian    R  12   3   1   0   0   1   0   2   0   0   0  .250  .308  .333 
Andy Benes         R  23   4   0   0   0   2   0   4   1   0   0  .174  .269  .174 
Juan Berenguer     R  14   5   2   0   1   0   0   1   0   0   0  .357  .357  .714 
Sean Bergman       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mike Bielecki      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mike Birkbeck      R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Jeff Bittiger      R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Willie Blair       R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Bert Blyleven      R  12   4   0   1   0   0   0   3   0   0   1  .333  .308  .500 
Doug Bochtler      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Mike Boddicker     R  18   5   0   0   0   2   1   2   0   0   0  .278  .350  .278 
Ricky Bones        R   7   4   1   0   0   0   0   0   0   0   0  .571  .571  .714 
Toby Borland       R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Chris Bosio        R  20   4   1   0   0   0   0   2   0   0   1  .200  .190  .250 
Shawn Boskie       R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ricky Bottalico    R   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 
Kent Bottenfield   R  11   1   0   0   0   2   0   1   0   0   0  .091  .231  .091 
Ryan Bowen         R   7   1   0   0   0   3   0   0   0   0   0  .143  .400  .143 
Oil Can Boyd       R  11   5   0   0   0   0   0   0   0   0   0  .455  .455  .455 
Jeff Brantley      R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Jamie Brewington   R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Doug Brocail       R   5   0   0   0   0   1   0   0   0   0   1  .000  .143  .000 
Kevin Brown        R  23  10   4   0   1   4   0   1   0   0   0  .435  .519  .739 
Warren Brusstar    R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jim Bullinger      R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dave Burba         R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
John Burkett       R  11   1   0   0   0   0   0   1   0   0   0  .091  .091  .091 
Todd Burns         R  10   4   2   0   0   1   0   1   0   0   0  .400  .455  .600 
Ray Burris         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Greg Cadaret       L   8   2   2   0   0   4   0   0   0   0   0  .250  .500  .500 
Jeff Calhoun       L   4   4   1   0   0   0   0   0   0   0   1 1.000  .800 1.250 
Tom Candiotti      R  44  18   2   0   0   5   0   6   0   0   0  .409  .469  .455 
Don Carman         L  11   3   0   0   0   0   0   2   0   0   0  .273  .273  .273 
Hector Carrasco    R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Chuck Cary         L   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Frank Castillo     R  16   7   3   0   0   0   0   1   0   0   0  .438  .438  .625 
John Cerutti       L   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Jim Clancy         R   7   3   0   0   1   0   0   2   0   0   0  .429  .429  .857 
Mark Clark         R   8   4   1   0   1   0   0   2   0   0   0  .500  .500 1.000 
Roger Clemens      R  24   7   0   0   0   1   0   2   0   0   0  .292  .320  .292 
Brad Clontz        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Sherman Corbett    L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
F. Cordova         R   5   3   1   0   0   0   0   1   0   0   0  .600  .600  .800 
Danny Cox          R  28   8   1   0   0   0   0   1   0   0   0  .286  .286  .321 
Steve Crawford     R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Chuck Crim         R   7   0   0   0   0   1   0   0   0   0   0  .000  .125  .000 
Ron Darling        R  14   4   2   0   0   4   0   3   0   0   0  .286  .444  .429 
Danny Darwin       R   9   3   2   0   0   1   0   2   0   0   0  .333  .400  .556 
Storm Davis        R  18   7   0   1   0   1   1   0   0   0   0  .389  .421  .500 
Mark Davis         L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Rich DeLucia       R  12   3   0   0   0   1   0   0   0   0   0  .250  .308  .250 
John Denny         R  32   8   2   0   0   0   0   4   0   1   1  .250  .242  .313 
Mark Dewey         R   4   2   0   0   1   1   0   0   0   0   0  .500  .600 1.250 
Frank DiPino       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
John Dopson        R  12   3   1   0   0   2   0   2   0   1   0  .250  .357  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Richard Dotson     R  11   4   2   1   0   1   0   0   0   0   0  .364  .417  .727 
Doug Drabek        R  23   5   1   0   1   2   0   2   0   0   0  .217  .280  .391 
Gary Eave          R   4   2   0   1   0   0   0   0   0   0   0  .500  .500 1.000 
Dennis Eckersley   R  12   5   1   0   0   1   0   1   0   1   0  .417  .462  .500 
Tom Edens          R   9   3   0   0   0   1   0   1   0   0   0  .333  .400  .333 
Mark Eichhorn      R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Dave Eiland        R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
John Ericks        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Scott Erickson     R  16   5   2   1   0   4   0   2   0   0   0  .313  .450  .563 
Steve Farr         R  15   5   0   0   0   1   1   1   0   1   0  .333  .375  .333 
John Farrell       R  17   6   1   0   0   1   0   0   0   0   0  .353  .389  .412 
Alex Fernandez     R  19   7   1   2   0   1   0   1   0   1   0  .368  .400  .632 
O. Fernandez       R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Tom Filer          R   9   4   1   0   0   0   0   0   0   1   0  .444  .444  .556 
Pete Filson        L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Bryce Florie       R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Bob Forsch         R  10   5   2   0   0   0   0   2   0   0   0  .500  .500  .700 
Tony Fossas        L   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Kevin Foster       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Willie Fraser      R  16   5   1   0   1   2   1   1   0   0   0  .313  .389  .563 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
