Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R  13   7   2   0   0   0   0   1   0   0   0  .538  .538  .692 
Santo Alcala       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Doyle Alexander    R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Larry Andersen     R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Allan Anderson     L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joaquin Andujar    R   9   4   0   0   0   0   0   0   0   0   0  .444  .444  .444 
Mike Armstrong     R  10   2   2   0   0   0   0   3   0   0   0  .200  .200  .400 
Fernando Arroyo    R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Jerry Augustine    L   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Bacsik        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Doug Bair          R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Steve Baker        R   5   2   1   0   0   1   0   0   0   0   0  .400  .500  .600 
Floyd Bannister    L  11   3   1   0   0   0   0   4   0   0   0  .273  .273  .364 
Len Barker         R  15   5   2   0   0   0   0   6   0   0   0  .333  .333  .467 
Jim Barr           R  25   9   3   0   0   1   0   3   0   1   0  .360  .385  .480 
F. Barrios         R   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Ross Baumgarten    L   5   4   2   0   0   2   0   0   0   0   0  .800  .857 1.200 
Dave Beard         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Beattie        R  18   8   2   0   1   0   0   3   0   0   0  .444  .444  .722 
Juan Berenguer     R  14   5   2   1   1   7   0   4   0   0   0  .357  .571  .857 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Billingham    R  12   4   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Doug Bird          R  11   5   2   0   0   1   0   0   0   0   0  .455  .500  .636 
Tim Birtsas        L   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Buddy Black        L  22   7   1   0   1   2   0   3   0   0   0  .318  .375  .500 
Vida Blue          L   9   6   0   0   1   1   0   2   0   0   0  .667  .700 1.000 
Bert Blyleven      R  12   2   0   0   0   2   0   1   1   0   1  .167  .313  .167 
Mike Boddicker     R   6   3   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Mark Bomback       R   6   2   2   0   0   0   0   1   0   0   0  .333  .333  .667 
Bill Bonham        R  11   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Pedro Borbon       R  11   3   0   0   0   1   0   0   0   0   1  .273  .308  .273 
Oil Can Boyd       R  10   4   1   0   0   1   0   1   0   0   0  .400  .455  .500 
Ken Brett          L  23   6   1   0   1   1   1   2   0   0   0  .261  .292  .435 
Pete Broberg       R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Mike Brown         R   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Ron Bryant         L  16   6   1   0   0   0   0   1   1   0   0  .375  .412  .438 
Tom Burgmeier      L   9   2   2   0   0   5   2   2   0   0   0  .222  .500  .444 
Britt Burns        L   8   4   1   0   2   2   0   1   0   0   0  .500  .600 1.375 
Ray Burris         R  21   8   1   1   0   0   0   2   0   0   0  .381  .381  .524 
Steve Busby        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
John Butcher       R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Caldwell      L  48  21   2   1   2   3   1   7   0   0   1  .438  .462  .646 
Bill Campbell      R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
John Candelaria    L  20   3   0   0   1   0   0   9   0   0   0  .150  .150  .300 
Buzz Capra         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Steve Carlton      L  39   6   1   0   0   0   0  11   0   0   0  .154  .154  .179 
Bill Castro        R   6   4   0   0   0   1   0   1   0   0   0  .667  .714  .667 
Bill Caudill       R   6   1   1   0   0   0   0   1   0   0   1  .167  .143  .333 
C. Chamberlain     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jim Clancy         R   9   1   0   0   1   1   0   1   0   0   1  .111  .182  .444 
Bryan Clark        L  13   3   0   0   0   2   0   6   0   0   1  .231  .313  .231 
Mark Clear         R  19   4   2   0   0   0   0   8   0   0   0  .211  .211  .316 
Roger Clemens      R   9   3   1   0   0   0   0   2   0   0   0  .333  .333  .444 
