Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  13   3   1   0   0   0   0   4   0   1   0  .231  .231  .308 
Kyle Abbott        L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Doyle Alexander    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Gerald Alexander   R   4   3   1   0   0   1   0   0   0   0   0  .750  .800 1.000 
Allan Anderson     L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Joaquin Andujar    R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Don August         R  10   4   0   0   0   0   0   0   0   1   0  .400  .400  .400 
Scott Bailes       L   7   3   0   0   0   2   0   0   0   1   0  .429  .556  .429 
Jeff Ballard       L   7   3   1   1   0   1   0   1   0   0   0  .429  .500  .857 
Scott Bankhead     R   3   0   0   0   0   1   0   0   1   0   0  .000  .400  .000 
Jose Bautista      R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Buddy Black        L   8   2   0   1   0   0   0   0   0   0   0  .250  .250  .500 
Willie Blair       R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Bert Blyleven      R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Mike Boddicker     R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom Bolton         L  11   1   0   0   0   0   0   2   0   0   0  .091  .091  .091 
Chris Bosio        R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Denis Boucher      L   4   4   1   0   0   0   0   0   0   0   0 1.000 1.000 1.250 
Oil Can Boyd       R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Kevin Brown        L   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Bullinger      R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Dave Burba         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
John Burkett       R   5   2   0   0   0   1   1   2   0   0   0  .400  .500  .400 
Greg Cadaret       L   8   0   0   0   0   2   0   1   0   0   0  .000  .200  .000 
John Candelaria    L   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Tom Candiotti      R  13   2   0   0   0   1   0   6   1   0   0  .154  .267  .154 
Chuck Cary         L  10   3   1   0   0   0   0   1   0   0   0  .300  .300  .400 
Larry Casian       L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Frank Castillo     R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
John Cerutti       L   5   2   0   1   1   1   0   0   0   0   0  .400  .500 1.400 
Mark Clark         R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Roger Clemens      R  11   1   1   0   0   1   0   4   0   0   0  .091  .167  .182 
Rheal Cormier      L   8   5   1   0   0   0   0   0   0   0   0  .625  .625  .750 
Chuck Crim         R   5   2   1   0   1   0   0   0   0   1   0  .400  .400 1.200 
Storm Davis        R   5   2   0   1   0   0   0   2   0   0   0  .400  .400  .800 
Jose DeLeon        R  11   1   1   0   0   0   0   3   0   0   0  .091  .091  .182 
Rich DeLucia       R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
John Dopson        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Richard Dotson     R   8   2   0   1   0   1   0   1   0   0   0  .250  .333  .500 
Doug Drabek        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tim Drummond       R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Dennis Eckersley   R   6   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Mark Eichhorn      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dave Eiland        R   5   2   2   0   0   0   0   2   0   0   0  .400  .400  .800 
Steve Ellsworth    R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Scott Erickson     R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Jeff Fassero       L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Alex Fernandez     R   6   2   1   0   0   1   0   1   0   0   0  .333  .429  .500 
Mike Fetters       R   2   1   0   0   0   3   0   0   0   0   0  .500  .800  .500 
Chuck Finley       L  32   9   1   0   0   3   0   2   1   1   0  .281  .361  .313 
Mike Flanagan      L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Willie Fraser      R  14   2   0   1   0   0   0   3   0   0   0  .143  .143  .286 
Todd Frohwirth     R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Dan Gakeler        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mark Gardner       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Wes Gardner        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Paul Gibson        L   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Lee Guetterman     L   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Bill Gullickson    R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Mark Guthrie       L   7   1   1   0   0   2   0   1   0   0   0  .143  .333  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Guzman        R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Juan Guzman        R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Chris Hammond      L   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Erik Hanson        R   6   0   0   0   0   2   0   1   0   0   0  .000  .250  .000 
Pete Harnisch      R   9   2   0   0   0   1   0   4   0   0   0  .222  .300  .222 
Greg Harris        R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Gene Harris        R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Mike Henneman      R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Butch Henry        L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Orel Hershiser     R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Greg Hibbard       L   6   0   0   0   0   3   0   1   0   0   0  .000  .333  .000 
Teddy Higuera      L   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Ken Hill           R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Brian Holman       R  12   1   0   0   0   0   0   1   0   0   0  .083  .083  .083 
Rick Honeycutt     L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Charlie Hough      R  12   4   1   1   1   2   1   1   0   0   0  .333  .429  .833 
Jim Hunter         R   5   0   0   0   0   1   0   1   1   0   0  .000  .286  .000 
Bruce Hurst        L   9   2   0   0   0   1   0   1   0   1   0  .222  .300  .222 
Danny Jackson      L  14   2   0   0   0   1   0   3   0   0   0  .143  .200  .143 
Michael Jackson    R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dave Johnson       R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Randy Johnson      L  11   4   1   0   2   5   0   0   0   0   0  .364  .563 1.000 
Barry Jones        R   3   0   0   0   0   1   0   3   0   0   0  .000  .250  .000 
Doug Jones         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jimmy Key          L   8   4   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Dana Kiecker       R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Paul Kilgus        L   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Eric King          R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Mark Knudson       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bill Krueger       L   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dennis Lamp        R   8   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Mark Langston      L  11   3   1   0   1   1   0   4   0   0   0  .273  .333  .636 
Mark Leiter        R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Richie Lewis       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Bill Long          R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Joe Magrane        L   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
R. Manzanillo      L   3   2   1   0   0   2   0   1   1   0   0  .667  .833 1.000 
Terry Mathews      R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Lance McCullers    R   3   2   0   0   1   1   0   1   0   0   0  .667  .750 1.667 
Ben McDonald       R   7   4   0   0   0   2   0   0   0   0   0  .571  .667  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack McDowell      R   6   2   0   1   0   0   0   1   0   0   0  .333  .333  .667 
Roger McDowell     R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Chuck McElroy      L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Jose Mesa          R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Bob Milacki        R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Greg Minton        R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Mike Moore         R   8   1   0   0   1   0   0   0   0   0   0  .125  .125  .500 
Mike Morgan        R   8   1   0   0   0   2   0   2   0   0   0  .125  .300  .125 
Jack Morris        R  11   1   0   0   0   1   0   1   0   0   0  .091  .167  .091 
Kevin Morton       L   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Randy Myers        L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jaime Navarro      R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
