Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Trevor Cahill      R   4   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Fausto Carmona     R   5   2   1   0   1   1   0   0   0   0   0  .400  .500 1.200 
Yu Darvish         R   6   2   0   0   0   0   0   3   0   0   0  .333  .333  .333 
Wade Davis         R   4   1   0   0   0   0   0   1   1   0   0  .250  .400  .250 
Samuel Deduno      R   2   2   0   0   1   1   0   0   0   0   1 1.000  .750 2.500 
Jeremy Guthrie     R   8   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Dan Haren          R   6   1   1   0   0   0   0   3   0   0   0  .167  .167  .333 
Felix Hernandez    R   5   1   1   0   0   1   0   2   0   0   0  .200  .333  .400 
Mat Latos          R   5   1   0   1   0   0   0   1   0   0   0  .200  .200  .600 
Colby Lewis        R   5   1   1   0   0   1   0   3   0   0   0  .200  .333  .400 
Brandon McCarthy   R   8   1   0   0   0   0   0   3   0   0   0  .125  .125  .125 
Ivan Nova          R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Rick Porcello      R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Ervin Santana      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
James Shields      R   5   3   0   0   3   0   0   0   0   0   0  .600  .600 2.400 
Tony Sipp          L   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Jered Weaver       R   8   2   0   0   1   0   0   2   0   0   0  .250  .250  .625
