Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Aguilera      R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
A. Alfonseca       R   8   4   0   0   1   1   0   1   0   0   0  .500  .556  .875 
Hector Almonte     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Wilson Alvarez     L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Brian Anderson     L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Kevin Appier       R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tony Armas         R  13   5   2   0   1   4   2   0   0   1   0  .385  .529  .769 
Pedro Astacio      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
James Baldwin      R   8   1   1   0   0   0   0   1   0   0   0  .125  .125  .250 
Josh Beckett       R  10   3   0   1   0   1   0   1   0   0   0  .300  .364  .500 
Erik Bedard        L  11   2   1   0   0   0   0   3   0   0   0  .182  .182  .273 
Heath Bell         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Armando Benitez    R   9   1   0   0   0   2   0   1   0   0   0  .111  .273  .111 
Jason Bere         R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Rocky Biddle       R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Brian Boehringer   R   3   0   0   0   0   1   1   1   0   0   0  .000  .250  .000 
Brian Bohanon      L   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Ricky Bones        R   5   3   0   0   0   1   0   1   0   0   0  .600  .667  .600 
Jung Bong          L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Ricky Bottalico    R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Brower         R   9   2   2   0   0   0   0   2   0   1   0  .222  .222  .444 
Kevin Brown        R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Mark Buehrle       L   6   1   0   0   1   0   0   0   0   0   0  .167  .167  .667 
Nate Bump          R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
John Burkett       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
A.J. Burnett       R   8   0   0   0   0   1   0   1   0   1   0  .000  .111  .000 
Daniel Cabrera     R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Chris Carpenter    R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Shawn Chacon       R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Bruce Chen         L   6   1   0   0   1   1   0   1   0   1   0  .167  .286  .667 
Roger Clemens      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Matt Clement       R  12   3   1   0   0   0   0   3   0   0   0  .250  .250  .333 
Bartolo Colon      R   3   2   1   0   0   0   0   0   0   0   1  .667  .500 1.000 
David Cone         R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Rocky Coppinger    R   6   0   0   0   0   1   0   0   0   0   0  .000  .143  .000 
Chad Cordero       R   5   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Jeff D'Amico       R  10   2   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Doug Davis         L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Zach Day           R   6   2   2   0   0   0   0   0   0   0   0  .333  .333  .667 
Mike DeJean        R   6   3   0   1   0   1   0   0   0   0   0  .500  .571  .833 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ryan Dempster      R   3   1   0   0   0   1   0   2   0   0   0  .333  .500  .333 
Elmer Dessens      R   5   4   0   0   0   0   0   0   0   0   0  .800  .800  .800 
Doug Drabek        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Joey Eischen       L   7   4   1   0   1   1   1   0   0   0   0  .571  .625 1.143 
Scott Elarton      R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Cal Eldred         R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Alan Embree        L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Scott Erickson     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Shawn Estes        L   6   1   0   1   0   0   0   1   0   0   0  .167  .167  .500 
Kyle Farnsworth    R   5   1   0   1   0   0   0   1   0   0   0  .200  .200  .600 
