Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jim Abbott         L  42  11   1   0   0  10   0   5   0   0   0  .262  .404  .286 
Paul Abbott        R   5   0   0   0   0   2   0   0   0   0   0  .000  .286  .000 
Jim Acker          R  15   3   1   0   0   4   0   2   0   0   0  .200  .368  .267 
Mark Acre          R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Willie Adams       R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Juan Agosto        L   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Rick Aguilera      R  22   4   0   0   0   4   0   4   0   1   0  .182  .308  .182 
Darrel Akerfelds   R   6   1   0   0   1   0   0   0   0   0   0  .167  .167  .667 
Scott Aldred       L  14   4   2   0   0   1   0   1   0   0   0  .286  .333  .429 
Jay Aldrich        R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Doyle Alexander    R   9   5   1   0   0   1   0   0   0   0   0  .556  .600  .667 
Gerald Alexander   R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Neil Allen         R  11   3   0   0   0   1   0   0   0   0   0  .273  .333  .273 
Wilson Alvarez     L  20   7   1   0   0   9   0   3   0   0   0  .350  .552  .400 
Allan Anderson     L  17   6   0   0   1   1   0   0   0   0   0  .353  .389  .529 
Brian Anderson     L   8   1   1   0   0   2   0   3   0   0   0  .125  .300  .250 
Luis Andujar       R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Kevin Appier       R  55  10   2   0   2  10   0  24   0   1   0  .182  .308  .327 
Luis Aquino        R  13   3   1   0   0   5   0   2   0   1   1  .231  .421  .308 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Armstrong     R   5   1   0   0   0   1   0   1   0   1   0  .200  .333  .200 
Mike Armstrong     R   6   3   0   1   0   2   0   0   0   0   0  .500  .625  .833 
Brad Arnsberg      R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Rolando Arrojo     R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Paul Assenmacher   L   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Pedro Astacio      R  10   2   0   0   0   1   0   5   0   0   0  .200  .273  .200 
Keith Atherton     R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Don August         R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Jerry Augustine    L   3   1   0   0   0   1   0   2   0   0   0  .333  .500  .333 
Steve Avery        L   4   1   0   0   0   3   0   1   0   0   0  .250  .571  .250 
Bobby Ayala        R   7   2   0   0   1   4   0   2   1   0   0  .286  .583  .714 
Scott Bailes       L   9   3   1   0   0   0   0   0   0   0   0  .333  .333  .444 
Doug Bair          R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
James Baldwin      R   8   3   1   0   0   2   0   1   0   0   0  .375  .500  .500 
Jeff Ballard       L  18   4   1   0   0   3   0   1   0   0   0  .222  .333  .278 
Scott Bankhead     R  18   5   1   0   0   1   0   4   0   0   0  .278  .316  .333 
Willie Banks       R   7   0   0   0   0   3   0   2   0   0   1  .000  .273  .000 
Floyd Bannister    L  28   6   1   0   1   2   0   6   0   0   1  .214  .258  .357 
John Barfield      L   5   2   0   0   1   1   0   0   0   0   0  .400  .500 1.000 
Len Barker         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
