Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bert Blyleven      R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Ray Burris         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
John Butcher       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Danny Darwin       R   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Richard Dotson     R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Moose Haas         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Charlie Hough      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mike Moore         R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Bret Saberhagen    R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Don Schulze        R   4   3   1   1   0   0   0   0   0   0   0  .750  .750 1.500
