Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Adams         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
H. Alvarez         R   5   1   0   0   0   1   0   0   0   0   1  .200  .286  .200 
Brett Anderson     L  18   4   2   0   0   0   0   0   0   0   0  .222  .222  .333 
Chase Anderson     R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Jake Arrieta       R   9   1   0   0   0   1   0   1   0   0   2  .111  .167  .111 
Bronson Arroyo     R  12   5   1   0   1   1   0   2   1   0   0  .417  .500  .750 
Luis Avilan        L   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
John Axford        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Burke Badenhop     R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Pedro Baez         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Homer Bailey       R  15   2   0   0   0   1   0   4   0   0   0  .133  .188  .133 
Grant Balfour      R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Anthony Bass       R   6   2   1   0   0   0   0   2   0   0   1  .333  .286  .500 
Josh Beckett       R   8   1   0   0   0   4   0   2   0   0   0  .125  .417  .125 
Ronald Belisario   R  13   2   0   0   1   1   0   8   0   0   0  .154  .214  .385 
Matt Belisle       R  13   5   1   0   1   2   1   1   0   0   0  .385  .467  .692 
Heath Bell         R   6   2   1   0   0   0   0   1   0   0   1  .333  .286  .500 
Joaquin Benoit     R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
C. Bergman         R  10   6   1   0   1   0   0   0   0   0   1  .600  .545 1.000 
R. Betancourt      R   8   3   0   0   0   1   1   3   0   0   1  .375  .400  .375 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chad Bettis        R   5   2   0   0   0   2   0   0   0   0   0  .400  .571  .400 
Chad Billingsley   R  29  15   3   0   0   3   0   1   1   0   0  .517  .576  .621 
Joe Blanton        R  16   7   0   0   1   1   1   5   0   0   0  .438  .471  .625 
Mike Bolsinger     R   9   3   0   0   1   0   0   2   0   0   0  .333  .333  .667 
Brad Brach         R   6   2   1   0   1   1   0   2   0   0   1  .333  .375 1.000 
Rex Brothers       L   4   2   0   0   2   0   0   2   0   0   0  .500  .500 2.000 
Jonathan Broxton   R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
David Buchanan     R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
A.J. Burnett       R  10   4   2   0   0   4   0   1   0   0   0  .400  .571  .600 
Eddie Butler       R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Trevor Cahill      R  19   7   1   0   1   3   0   3   1   0   0  .368  .478  .579 
Shawn Camp         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Carter Capps       R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Chris Capuano      L   9   5   1   0   2   0   0   1   0   0   0  .556  .556 1.333 
Fausto Carmona     R   6   3   2   0   0   0   0   0   0   0   0  .500  .500  .833 
Chris Carpenter    R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
David Carpenter    R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Andrew Cashner     R  25  11   1   0   2   3   0   0   0   0   0  .440  .500  .720 
Jhoulys Chacin     R  19   9   1   0   1   2   0   2   0   0   0  .474  .524  .684 
Andrew Chafin      L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Aroldis Chapman    L   7   4   2   0   0   0   0   1   0   0   0  .571  .571  .857 
Tyler Chatwood     R  11   2   0   0   0   3   0   1   0   0   0  .182  .357  .182 
Jesse Chavez       R   3   1   0   0   0   1   0   0   0   0   1  .333  .400  .333 
Tony Cingrani      L   9   1   1   0   0   2   0   1   0   0   0  .111  .273  .222 
Steve Cishek       R   6   1   0   0   0   2   1   1   0   0   0  .167  .375  .167 
Tyler Clippard     R   5   3   0   0   0   1   0   2   0   0   0  .600  .667  .600 
Todd Coffey        R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Gerrit Cole        R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Josh Collmenter    R  25  12   1   0   3   3   0   1   0   0   1  .480  .517  .880 
Bartolo Colon      R   7   3   1   0   0   0   0   1   1   0   1  .429  .444  .571 
Aaron Cook         R   5   3   0   0   1   0   0   1   0   0   0  .600  .600 1.200 
Patrick Corbin     L  28   9   2   0   0   1   0   5   0   0   0  .321  .345  .393 
Kevin Correia      R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Johnny Cueto       R  10   4   0   0   0   2   0   0   1   0   0  .400  .538  .400 
Samuel Deduno      R   5   1   0   0   1   0   0   2   0   0   0  .200  .200  .800 
Justin De Fratus   R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jorge de la Rosa   L  32  10   4   0   1   5   1   6   1   0   1  .313  .410  .531 
Rubby de la Rosa   R   8   4   0   0   1   2   2   3   0   0   0  .500  .600  .875 
Randall Delgado    R  14   4   0   0   1   4   2   1   0   0   0  .286  .444  .500 
Sam Demel          R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
