Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Acker          R  17   6   2   0   2   0   0   1   0   0   0  .353  .353  .824 
Bob Anderson       R  30   8   2   0   0   1   0   8   0   0   0  .267  .290  .333 
Johnny Antonelli   L 106  16   2   0   4   5   2  19   0   0   0  .151  .189  .283 
Luis Arroyo        L  30  10   2   0   0   6   2   4   0   0   0  .333  .444  .400 
Jack Baldschun     R   7   2   0   0   1   0   0   2   0   0   0  .286  .286  .714 
Steve Barber       L   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Curt Barclay       R   7   3   1   0   0   1   1   0   0   0   0  .429  .500  .571 
Ed Bauta           R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Ralph Beard        R   4   1   0   0   0   0   0   0   1   0   0  .250  .400  .250 
Dennis Bennett     L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Don Bessent        R  12   2   0   0   1   0   0   2   0   0   0  .167  .167  .417 
Bobby Bolin        R   5   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Al Brazle          L  13   4   1   1   0   0   0   1   0   0   0  .308  .308  .538 
Jim Brewer         L   5   1   0   0   1   2   0   2   0   0   0  .200  .429  .800 
Marshall Bridges   L   9   1   1   0   0   2   0   2   0   0   0  .111  .273  .222 
John Briggs        R   8   4   0   0   2   0   0   0   1   0   0  .500  .556 1.250 
Ernie Broglio      R  17   3   0   0   0   2   0   4   0   0   0  .176  .263  .176 
Jim Brosnan        R  21   4   1   0   1   0   0   6   0   0   0  .190  .190  .381 
George Brunet      L   7   3   0   0   2   0   0   1   0   0   0  .429  .429 1.286 
Bob Buhl           R  41   8   1   0   1   1   0  10   0   0   0  .195  .214  .293 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lew Burdette       R 109  32   9   0   5   1   0   7   0   0   0  .294  .300  .514 
John Buzhardt      R  12   3   0   1   0   1   0   3   0   0   0  .250  .308  .417 
Don Cardwell       R  15   4   0   0   1   1   0   6   0   0   0  .267  .313  .467 
Art Ceccarelli     L  13   4   1   0   2   2   0   1   0   0   0  .308  .400  .846 
Tom Cheney         R  10   0   0   0   0   1   0   3   0   0   0  .000  .091  .000 
Bubba Church       R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Jackie Collum      L   7   1   0   0   1   1   1   1   0   0   0  .143  .250  .571 
Gene Conley        R  24   3   1   0   0   3   0   7   0   0   0  .125  .222  .167 
Roger Craig        R  30   8   1   0   2   3   0   6   0   0   0  .267  .333  .500 
Ray Crone          R  34  11   2   0   2   3   0   4   1   0   0  .324  .395  .559 
Jack Curtis        L  20   4   1   0   0   1   0   0   0   0   0  .200  .238  .250 
Jim Davis          L  26   6   1   0   0   2   1   2   0   0   0  .231  .286  .269 
Cot Deal           R   9   1   0   0   1   1   0   2   1   0   0  .111  .273  .444 
Murry Dickson      R  58  12   4   0   4   5   1   5   0   0   0  .207  .270  .483 
Lino Donoso        L   8   3   1   0   1   1   0   0   0   0   0  .375  .444  .875 
Moe Drabowsky      R  31   6   2   0   1   3   0  11   0   0   1  .194  .257  .355 
Dick Drott         R  15   2   0   0   0   3   0   4   0   0   0  .133  .278  .133 
Don Drysdale       R  26   5   1   1   1   5   0   9   1   0   0  .192  .344  .423 
Jim Duffalo        R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Dick Ellsworth     L  30  13   1   0   4   4   0   5   0   0   0  .433  .500  .867 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Elston         R  19   2   1   0   0   7   0   5   0   0   1  .105  .333  .158 
Carl Erskine       R  30  10   0   0   3   5   0   6   0   0   1  .333  .417  .633 
Roy Face           R  26   7   0   1   3   1   0   4   0   0   1  .269  .286  .692 
Turk Farrell       R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Don Ferrarese      L   8   3   0   0   1   1   1   1   0   0   0  .375  .444  .750 
Eddie Fisher       R   5   2   0   0   1   0   0   2   0   0   0  .400  .400 1.000 
Whitey Ford        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Earl Francis       R   5   2   1   0   1   0   0   0   0   0   0  .400  .400 1.200 
Mark Freeman       R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Bob Friend         R 101  24   7   0   4   5   0  17   0   0   2  .238  .269  .426 
Joe Gibbon         L  25   8   0   0   2   1   0  10   0   0   0  .320  .346  .560 
Bob Gibson         R  11   4   0   1   0   1   0   2   1   0   0  .364  .462  .545 
Paul Giel          R   9   2   1   0   0   0   0   0   0   0   0  .222  .222  .333 
Ruben Gomez        R  57  16   1   0   2   4   0  10   1   0   0  .281  .339  .404 
Fred Green         L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Dallas Green       R   6   2   0   0   2   2   0   3   0   0   0  .333  .500 1.333 
Marv Grissom       R  15   5   2   0   0   0   0   3   1   0   0  .333  .375  .467 
Don Gross          L   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Warren Hacker      R  27   3   0   0   1   2   0   7   0   0   0  .111  .172  .222 
Harvey Haddix      L 109  35   5   2   8   7   2  29   0   0   1  .321  .359  .624 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dick Hall          R   7   3   1   0   0   1   0   1   0   0   0  .429  .500  .571 
Jack Hamilton      R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Jim Hearn          R  31   9   1   0   2   1   0   2   0   1   0  .290  .313  .516 
Bob Hendley        L  10   1   0   0   0   0   0   5   0   0   0  .100  .100  .100 
Bill Henry         L  14   2   0   1   1   2   2   3   0   0   0  .143  .250  .500 
Dave Hillman       R  17   5   1   0   0   0   0   4   0   0   0  .294  .294  .353 
Glen Hobbie        R  32  13   0   0   3   2   0   8   0   0   0  .406  .441  .688 
Jay Hook           R   4   2   0   0   1   1   0   1   0   0   0  .500  .600 1.250 
Jim Hughes         R  14   2   0   0   0   1   0   6   1   0   0  .143  .250  .143 
Al Jackson         L  15   3   2   0   0   2   0   5   0   0   0  .200  .294  .333 
Larry Jackson      R  44  15   3   0   1   3   0   6   1   2   0  .341  .396  .477 
Joey Jay           R  13   2   0   0   1   1   0   5   0   0   1  .154  .200  .385 
Hal Jeffcoat       R  21   6   2   0   0   2   0   6   0   1   0  .286  .348  .381 
Ernie Johnson      R  15   5   0   0   0   2   0   5   0   0   1  .333  .389  .333 
Ken Johnson        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Dave Jolly         R  15   2   0   0   0   0   0   4   0   1   0  .133  .133  .133 
Gordon Jones       R   5   1   0   0   0   2   0   1   0   0   0  .200  .429  .200 
Sam Jones          R  59  10   2   0   1   6   0  26   0   0   0  .169  .246  .254 
Don Kaiser         R  18   6   1   0   3   0   0   0   0   0   0  .333  .333  .889 
Alex Kellner       L   4   2   0   0   2   1   0   0   0   0   0  .500  .600 2.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nellie King        R  12   1   0   0   1   0   0   3   0   0   0  .083  .083  .333 
Fred Kipp          L   5   2   0   0   1   1   1   2   0   0   0  .400  .500 1.000 
Ron Kline          R  52  14   3   0   3   2   0   9   0   1   0  .269  .296  .500 
J. Klippstein      R   9   2   0   1   0   2   0   2   0   0   0  .222  .364  .444 
Jim Konstanty      R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Cal Koonce         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dave Koslo         L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Sandy Koufax       L  92  21   2   1   4   7   0  32   0   0   1  .228  .280  .402 
Bob Kuzava         L   3   2   0   0   0   1   1   0   0   0   0  .667  .750  .667 
Clem Labine        R  38  14   4   0   1   2   0   5   0   0   2  .368  .381  .553 
Jack Lamabe        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Paul LaPalme       L  18   3   1   0   1   0   0   2   0   0   0  .167  .167  .389 
Don Larsen         R   6   0   0   0   0   1   0   0   0   0   0  .000  .143  .000 
Vern Law           R  67  25   5   0   2   3   0   8   1   0   0  .373  .408  .537 
Brooks Lawrence    R  17   3   0   0   0   2   0   1   0   0   0  .176  .263  .176 
Ken Lehman         L   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Denny Lemaster     L   7   0   0   0   0   1   0   2   0   0   0  .000  .125  .000 
Don Liddle         L  19   7   2   0   2   3   1   4   1   0   1  .368  .458  .789 
Dick Littlefield   L  28   6   5   0   0   2   0   0   0   0   0  .214  .267  .393 
Billy Loes         R  15   5   2   0   1   3   1   2   0   0   0  .333  .444  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Turk Lown          R  15   2   2   0   0   1   0   5   0   0   0  .133  .188  .267 
Bob Mabe           R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Ken MacKenzie      L   3   1   0   0   1   2   0   0   1   0   0  .333  .667 1.333 
Sal Maglie         R  28  11   3   0   3   1   0   3   1   0   0  .393  .433  .821 
Art Mahaffey       R   9   2   1   0   0   0   0   2   0   0   0  .222  .222  .333 
Joe Margoneri      L   9   0   0   0   0   3   0   1   0   0   0  .000  .250  .000 
Juan Marichal      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Al McBean          R   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Windy McCall       L  13   2   0   1   0   1   1   3   0   0   0  .154  .214  .308 
Mike McCormick     L  90  24   3   1   5   7   1  17   0   0   1  .267  .316  .489 
Lindy McDaniel     R  26   9   3   0   1   3   0   4   0   0   2  .346  .387  .577 
Danny McDevitt     L  26   7   0   0   0   4   0   5   0   0   0  .269  .367  .269 
Sam McDowell       L   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Don McMahon        R  14   2   1   0   0   1   0   5   1   0   0  .143  .250  .214 
Jack Meyer         R  10   4   1   0   2   3   0   1   0   0   0  .400  .538 1.100 
Russ Meyer         R  15   5   1   0   2   0   0   2   0   0   0  .333  .333  .800 
Bob Miller         R  20  10   2   0   1   1   0   1   0   0   1  .500  .500  .750 
Bob Miller         R   9   5   0   0   0   0   0   1   0   0   0  .556  .556  .556 
Stu Miller         R  40  12   4   1   1   0   0   6   0   0   0  .300  .300  .525 
Paul Minner        L  23   8   1   0   2   1   0   5   0   0   0  .348  .375  .652 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
V. Mizell          L  94  21   1   1   6   8   0  23   0   0   0  .223  .284  .447 
Ramon Monzant      R  15   5   0   0   1   1   0   4   0   0   0  .333  .375  .533 
Seth Morehead      L  13   6   2   0   2   3   1   2   0   0   0  .462  .563 1.077 
Ron Mrozinski      L  13   3   1   0   1   2   0   2   0   0   0  .231  .333  .538 
Billy Muffett      R   9   5   1   0   0   0   0   1   0   0   0  .556  .556  .667 
Red Munger         R  12   4   0   0   0   0   0   3   0   0   0  .333  .333  .333 
Red Murff          R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Ron Negray         R  18   3   0   0   2   2   0   4   0   0   0  .167  .250  .500 
Don Newcombe       R  55  11   2   0   2   0   0  12   0   1   0  .200  .200  .345 
Chet Nichols       L  23   9   1   0   1   3   0   2   0   0   0  .391  .462  .565 
Don Nottebart      R   6   4   0   0   0   0   0   1   0   0   0  .667  .667  .667 
Joe Nuxhall        L   9   3   1   0   1   1   0   2   0   0   0  .333  .400  .778 
Billy O'Dell       L  27   5   1   0   1   2   1   6   0   0   0  .185  .241  .333 
George O'Donnell   R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Diomedes Olivo     L   7   2   0   0   1   0   0   2   0   0   0  .286  .286  .714 
Phil Ortega        R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Jim O'Toole        L  13   2   0   0   0   0   0   1   0   0   0  .154  .154  .154 
Phil Paine         R   7   3   1   0   1   3   0   3   0   0   0  .429  .600 1.000 
Orlando Pena       R  10   2   0   0   0   1   0   3   0   0   1  .200  .250  .200 
Laurin Pepper      R   5   4   0   0   1   0   0   1   0   0   0  .800  .800 1.400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ron Perranoski     L   9   1   1   0   0   0   0   1   0   1   0  .111  .111  .222 
Taylor Phillips    L  25   7   1   0   1   2   1   1   0   0   1  .280  .321  .440 
Billy Pierce       L  14   3   0   0   2   0   0   4   0   0   0  .214  .214  .643 
Juan Pizarro       L  44  14   5   0   4   2   0   8   0   0   0  .318  .348  .705 
Johnny Podres      L 123  40   8   2   6   4   0  21   1   0   0  .325  .352  .569 
Tom Poholsky       R  26   9   0   0   3   4   0   5   0   0   0  .346  .433  .692 
Howie Pollet       L  32   9   3   1   2   2   0   6   0   0   0  .281  .324  .625 
Bob Porterfield    R   5   2   1   0   0   0   0   1   0   0   1  .400  .333  .600 
Joe Presko         R   6   3   0   0   2   1   0   1   0   0   0  .500  .571 1.500 
Bob Purkey         R  35   5   3   0   0   0   0   5   0   0   1  .143  .139  .229 
Vic Raschi         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Steve Ridzik       R  10   4   1   0   0   1   0   1   0   0   0  .400  .455  .500 
Robin Roberts      R  40  14   3   0   5   0   0   8   0   0   0  .350  .350  .800 
H. Robinson        R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Preacher Roe       L   9   2   0   0   0   0   0   2   0   0   0  .222  .222  .222 
Ed Roebuck         R  35  13   2   1   2   2   0   7   0   0   1  .371  .395  .657 
Saul Rogovin       R   9   2   0   1   0   1   0   1   0   0   0  .222  .300  .444 
Bob Rush           R  57   9   3   0   2   2   0  22   0   0   1  .158  .183  .316 
Ray Sadecki        L  33   8   2   1   4   3   0   2   0   0   1  .242  .297  .727 
Jack Sanford       R  13   5   1   0   0   4   0   2   0   0   0  .385  .529  .462 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Schaffernoth   R  11   3   1   0   1   0   0   3   0   0   0  .273  .273  .636 
Willard Schmidt    R  27   4   0   0   1   2   0  13   0   0   0  .148  .207  .259 
Bob Shaw           R   7   3   1   0   0   0   0   0   0   0   0  .429  .429  .571 
Larry Sherry       R   5   2   1   0   0   4   0   2   0   0   1  .400  .600  .600 
Chris Short        L  19   7   1   0   0   0   0   3   0   0   0  .368  .368  .421 
Curt Simmons       L  75  26   3   1   7  15   4  18   0   0   0  .347  .456  .693 
Bob Smith          L   9   2   0   0   0   3   1   3   0   0   0  .222  .417  .222 
Warren Spahn       L 143  46   7   3  10  13   2  19   0   0   0  .322  .378  .622 
Karl Spooner       L   6   1   0   0   0   0   0   4   0   0   0  .167  .167  .167 
Gerry Staley       R  12   4   1   0   1   0   0   0   0   0   0  .333  .333  .667 
Chuck Stobbs       L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Max Surkont        R  20   2   1   0   0   3   0   3   0   0   0  .100  .217  .150 
Bobby Tiefenauer   R   4   1   0   0   0   0   0   1   0   1   0  .250  .250  .250 
Bill Tremel        R   6   2   1   0   0   2   0   0   0   0   0  .333  .500  .500 
Bob Trowbridge     R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Jim Umbricht       R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
V. Valentinetti    R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Roberto Vargas     L   6   3   1   0   1   0   0   0   0   0   0  .500  .500 1.167 
Ben Wade           R   4   3   1   0   1   1   0   1   0   0   0  .750  .800 1.750 
Herm Wehmeier      R  26  10   2   0   2   4   0   5   0   0   0  .385  .467  .692 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Werle         L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Bill Wight         L   3   2   0   0   1   1   0   0   0   0   0  .667  .750 1.667 
Hoyt Wilhelm       R  17   1   1   0   0   1   0   4   0   1   0  .059  .111  .118 
Ted Wilks          R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Carl Willey        R  14   3   1   0   0   1   0   3   1   0   0  .214  .313  .286 
Stan Williams      R  17   1   0   0   1   3   0   5   0   0   0  .059  .200  .235 
Red Witt           R   3   0   0   0   0   1   0   2   1   0   0  .000  .400  .000 
Hal Woodeshick     L   8   2   0   1   0   2   0   1   0   0   0  .250  .400  .500 
Al Worthington     R  18   5   1   0   1   0   0   3   1   0   0  .278  .316  .500 
