Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Glenn Abbott       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Ted Abernathy      R  10   3   1   0   1   0   0   2   0   0   0  .300  .300  .700 
Cy Acosta          R   4   1   0   0   1   1   0   1   0   0   0  .250  .400 1.000 
Hank Aguirre       L  13   2   0   0   0   4   0   4   0   0   1  .154  .333  .154 
Jack Aker          R  24  10   2   0   3   2   1   2   0   0   0  .417  .462  .875 
Vic Albury         L  11   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Doyle Alexander    R  14   2   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Lloyd Allen        R   9   3   1   0   0   0   0   3   0   0   1  .333  .300  .444 
Bob Allen          L   8   1   1   0   0   0   0   2   0   0   0  .125  .125  .250 
Gerry Arrigo       L   7   2   1   0   0   2   0   1   0   0   0  .286  .444  .429 
Fernando Arroyo    R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Rick Austin        L   7   3   2   0   0   3   0   0   0   0   0  .429  .600  .714 
Stan Bahnsen       R  50  19   3   0   5  14   1   6   0   0   0  .380  .516  .740 
Dave Baldwin       R   8   2   0   0   0   2   1   1   0   0   0  .250  .400  .250 
Steve Barber       L  17   4   1   0   1   2   0   5   0   1   0  .235  .316  .471 
Ray Bare           R   8   2   1   0   0   2   0   0   0   0   1  .250  .364  .375 
Frank Baumann      L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Bo Belinsky        L   5   3   0   0   1   1   0   0   1   0   0  .600  .714 1.200 
Jerry Bell         R   9   4   1   0   0   3   0   2   0   0   0  .444  .583  .556 
Gary Bell          R  35  11   0   0   3  12   2   8   0   0   1  .314  .479  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dennis Bennett     L   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Frank Bertaina     L   3   0   0   0   0   3   0   1   0   0   0  .000  .500  .000 
Jim Bibby          R  16   4   1   0   0   1   0   1   0   0   1  .250  .278  .313 
Doug Bird          R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Gil Blanco         L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Vida Blue          L   9   1   0   0   0   0   0   4   0   0   0  .111  .111  .111 
Bert Blyleven      R  52  14   1   0   1   5   1   8   0   0   0  .269  .333  .346 
Tommy Boggs        R   6   1   0   0   1   1   0   1   0   0   0  .167  .286  .667 
Bobby Bolin        R  11   3   1   0   0   4   0   3   0   0   0  .273  .467  .364 
Pedro Borbon       R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Dick Bosman        R  65  17   5   0   4  12   3   9   0   0   1  .262  .372  .523 
Dave Boswell       R  35   4   0   0   0   7   0  14   0   0   0  .114  .262  .114 
Jim Bouton         R  56   9   0   0   2   5   1   9   0   1   0  .161  .230  .268 
Ted Bowsfield      L  20   5   1   0   1   0   0   4   0   1   0  .250  .250  .450 
Gene Brabender     R  18   6   0   0   0   2   1   0   0   0   1  .333  .381  .333 
Tom Bradley        R  16   2   0   0   1   1   0   3   0   0   0  .125  .176  .313 
Bucky Brandon      R  13   3   1   0   1   2   0   6   0   0   0  .231  .333  .538 
Ken Brett          L  13   2   2   0   0   0   0   4   0   0   0  .154  .154  .308 
Marshall Bridges   L   1   0   0   0   0   3   0   1   0   0   0  .000  .750  .000 
Nelson Briles      R   6   5   0   0   3   1   0   0   0   0   0  .833  .857 2.333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pete Broberg       R  21   5   0   0   0   4   1   5   1   0   0  .238  .385  .238 
Jackie Brown       R  12   0   0   0   0   3   0   2   0   0   0  .000  .200  .000 
