Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Aguilera      R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Kevin Appier       R  10   3   0   1   1   1   0   3   0   0   0  .300  .364  .800 
James Baldwin      R  11   5   1   1   1   4   0   3   0   0   0  .455  .600 1.000 
Miguel Batista     R   5   1   0   0   0   1   0   3   0   0   0  .200  .333  .200 
Tim Belcher        R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Andy Benes         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Shawn Boskie       R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Chris Brock        R   3   0   0   0   0   0   0   3   1   0   0  .000  .250  .000 
Kevin Brown        R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
John Burkett       R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Paul Byrd          R   4   2   0   0   0   0   0   0   1   0   0  .500  .600  .500 
David Cone         R   7   0   0   0   0   1   0   4   1   0   0  .000  .222  .000 
Rocky Coppinger    R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Jeff D'Amico       R   3   2   0   1   0   2   0   0   0   1   0  .667  .800 1.333 
Doug Drabek        R   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
Scott Elarton      R   3   1   1   0   0   1   0   2   0   0   0  .333  .500  .667 
Cal Eldred         R   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
John Ericks        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Scott Erickson     R   9   2   0   0   1   1   0   0   0   0   0  .222  .300  .556 
Ryan Franklin      R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Marvin Freeman     R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dwight Gooden      R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Tom Gordon         R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Tyler Green        R   6   3   1   1   1   0   0   1   0   0   0  .500  .500 1.500 
Kevin Gross        R   6   3   1   0   1   0   0   0   0   0   0  .500  .500 1.167 
Roy Halladay       R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Erik Hanson        R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Rick Helling       R   3   1   0   1   0   1   0   1   0   0   0  .333  .500 1.000 
Pat Hentgen        R   9   3   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Livan Hernandez    R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Orel Hershiser     R  11   2   0   0   0   0   0   2   0   0   0  .182  .182  .182 
Ken Hill           R   7   2   1   0   0   1   0   1   0   0   0  .286  .375  .429 
Michael Jackson    R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Marty Janzen       R   9   2   0   0   1   0   0   3   0   0   0  .222  .222  .556 
Jason Johnson      R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Bobby Jones        R   5   2   0   0   0   1   0   2   0   0   0  .400  .500  .400 
Jeff Juden         R   4   0   0   0   0   2   0   1   1   0   0  .000  .429  .000 
Doug Linton        R   8   1   0   0   0   1   0   3   0   0   0  .125  .222  .125 
Esteban Loaiza     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Derek Lowe         R   7   2   0   0   1   0   0   3   0   0   0  .286  .286  .714 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Greg Maddux        R   8   3   1   0   0   0   0   2   0   0   0  .375  .375  .500 
Dennis Martinez    R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Pedro Martinez     R   7   0   0   0   0   0   0   4   0   1   0  .000  .000  .000 
Terry Mathews      R   2   0   0   0   0   2   1   1   0   0   0  .000  .500  .000 
Ben McDonald       R   7   3   0   0   0   0   0   2   0   0   0  .429  .429  .429 
Ramiro Mendoza     R   6   2   2   0   0   1   0   1   0   0   0  .333  .429  .667 
Jose Mesa          R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Alan Mills         R   6   4   2   0   0   0   0   0   0   0   0  .667  .667 1.000 
Jeff Montgomery    R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Mike Mussina       R  12   4   0   0   0   2   0   4   0   0   0  .333  .429  .333 
Charles Nagy       R  27   3   0   0   1   0   0  11   0   0   0  .111  .111  .222 
Jaime Navarro      R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
