Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R  12   3   0   0   0   2   0   2   0   1   0  .250  .357  .250 
Glenn Abbott       R  10   2   1   0   0   1   0   2   0   0   0  .200  .273  .300 
Doyle Alexander    R  13   3   1   0   0   0   0   1   0   0   1  .231  .214  .308 
Luis Aponte        R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Keith Atherton     R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jerry Augustine    L   9   3   0   0   0   2   1   0   0   0   0  .333  .455  .333 
Steve Baker        R   5   2   0   0   0   1   0   2   0   1   0  .400  .500  .400 
Floyd Bannister    L  28   8   4   0   1   0   0   4   0   0   0  .286  .286  .536 
Len Barker         R   6   2   0   0   0   1   0   0   0   1   0  .333  .429  .333 
Mike Barlow        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Salome Barojas     R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Jim Beattie        R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Jack Billingham    R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Bert Blyleven      R   9   1   0   1   0   0   0   0   0   0   0  .111  .111  .333 
Mike Boddicker     R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dan Boitano        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ken Brett          L   6   3   3   0   0   0   0   1   0   0   0  .500  .500 1.000 
Tom Burgmeier      L  10   2   0   0   0   1   0   1   0   0   0  .200  .273  .200 
Steve Busby        R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
John Butcher       R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Caldwell      L  24  10   0   0   1   1   0   1   0   0   0  .417  .440  .542 
Tom Candiotti      R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bobby Castillo     R   3   0   0   0   0   1   0   0   0   0   1  .000  .200  .000 
Bill Castro        R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jim Clancy         R   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Bryan Clark        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ken Clay           R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Mark Clear         R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Roger Clemens      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Reggie Cleveland   R   6   3   1   0   0   1   0   1   0   0   0  .500  .571  .667 
David Clyde        L   6   2   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Jaime Cocanower    R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Chris Codiroli     R  10   1   1   0   0   1   0   2   0   0   0  .100  .182  .200 
Jim Colborn        R   4   2   0   0   2   0   0   1   0   0   0  .500  .500 2.000 
Steve Comer        R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Doug Corbett       R   7   2   0   0   0   0   0   0   0   1   0  .286  .286  .286 
