Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R  15   4   1   0   0   3   1   0   0   0   0  .267  .389  .333 
Glenn Abbott       R  13   2   0   0   0   1   1   1   1   0   0  .154  .267  .154 
Jim Acker          R   7   3   1   0   0   0   0   2   0   0   0  .429  .429  .571 
Doyle Alexander    R  11   3   1   0   0   1   0   1   0   0   0  .273  .333  .364 
Fernando Arroyo    R  12   3   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jerry Augustine    L  10   4   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Mike Bacsik        R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Doug Bair          R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Steve Baker        R   6   2   1   0   0   1   0   1   1   0   0  .333  .500  .500 
Floyd Bannister    L   6   1   0   0   0   1   0   2   0   0   1  .167  .250  .167 
Len Barker         R  26  10   1   0   0   3   1   2   0   0   0  .385  .448  .423 
Jim Barr           R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
F. Barrios         R   9   3   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Ross Baumgarten    L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Dave Beard         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jim Beattie        R  11   2   0   0   0   0   0   0   0   1   0  .182  .182  .182 
Juan Berenguer     R  10   4   1   0   1   1   0   1   0   0   0  .400  .455  .800 
Jack Billingham    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Doug Bird          R   8   3   0   0   0   1   1   0   0   0   0  .375  .444  .375 
Bert Blyleven      R  10   1   0   0   0   1   0   2   0   0   0  .100  .182  .100 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Boddicker     R   8   1   0   0   0   2   0   0   0   0   0  .125  .300  .125 
Mark Bomback       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mike Brown         R  13   2   0   0   1   3   0   1   0   0   0  .154  .313  .385 
Tom Burgmeier      L   7   1   0   0   0   0   0   5   0   0   0  .143  .143  .143 
Britt Burns        L  14   4   1   0   0   0   0   3   0   0   0  .286  .286  .357 
Tom Buskey         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
John Butcher       R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Mike Caldwell      L  15   3   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Bill Campbell      R   6   0   0   0   0   1   1   1   0   0   0  .000  .143  .000 
Bobby Castillo     R  10   3   0   1   0   1   0   1   0   0   0  .300  .364  .500 
Bill Caudill       R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jim Clancy         R  39   8   0   0   0   1   0   6   0   0   1  .205  .220  .205 
Bryan Clark        L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Ken Clay           R   9   3   0   0   0   0   0   1   0   0   1  .333  .300  .333 
Mark Clear         R  10   4   0   0   0   4   1   1   0   0   0  .400  .571  .400 
Reggie Cleveland   R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chris Codiroli     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tim Conroy         L   7   2   0   0   0   3   0   0   0   0   0  .286  .500  .286 
Doug Corbett       R   7   1   0   0   0   2   1   2   0   0   0  .143  .333  .143 
Danny Darwin       R  14   4   1   0   1   1   0   1   0   0   0  .286  .333  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Storm Davis        R  12   5   1   0   1   0   0   1   0   0   0  .417  .417  .750 
Ron Davis          R  11   1   0   0   0   1   1   0   0   0   0  .091  .167  .091 
Jim Dorsey         R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Richard Dotson     R  23   4   1   0   0   2   0   4   0   0   0  .174  .240  .217 
Dick Drago         R   8   1   0   0   1   3   1   2   0   0   0  .125  .364  .500 
Rob Dressler       R  10   3   2   0   0   0   0   0   0   0   0  .300  .300  .500 
Jamie Easterly     L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Dennis Eckersley   R  42  14   4   0   0   0   0   5   1   0   0  .333  .349  .429 
J. Eichelberger    R   6   2   0   0   1   1   0   0   0   0   0  .333  .429  .833 
Roger Erickson     R  22   5   4   0   0   0   0   1   0   0   1  .227  .217  .409 
Ed Farmer          R   6   1   0   0   1   1   0   1   0   0   0  .167  .286  .667 
Ed Figueroa        R   4   3   0   0   0   1   0   0   0   0   0  .750  .800  .750 
Rollie Fingers     R   7   0   0   0   0   1   1   0   0   0   0  .000  .125  .000 
Dave Ford          R   7   4   0   0   1   0   0   0   0   0   0  .571  .571 1.000 
Ken Forsch         R  14   7   2   0   1   1   1   1   0   0   0  .500  .533  .857 
George Frazier     R   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 
Dave Frost         R  12   3   1   0   1   0   0   1   0   0   0  .250  .250  .583 
Rich Gale          R  19   5   2   0   1   0   0   0   0   0   1  .263  .250  .526 
Wayne Garland      R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Jerry Garvin       L   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jerry Gleaton      L   3   1   0   0   0   1   0   0   1   0   0  .333  .600  .333 
Dave Goltz         R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Rich Gossage       R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Jim Gott           R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Mark Gubicza       R  10   1   0   0   0   0   0   3   0   0   1  .100  .091  .100 
Ron Guidry         L  12   4   2   0   0   0   0   1   0   0   0  .333  .333  .500 
Larry Gura         L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Moose Haas         R  38  10   0   0   1   0   0   4   0   0   0  .263  .263  .342 
Paul Hartzell      R  15   4   1   0   1   1   1   0   0   0   0  .267  .313  .533 
Neal Heaton        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dave Heaverlo      R   9   3   0   0   2   0   0   0   1   0   1  .333  .364 1.000 
Charlie Hough      R  13   0   0   0   0   5   0   2   0   0   0  .000  .278  .000 
Jay Howell         R   9   2   1   0   0   0   0   3   0   0   0  .222  .222  .333 
LaMarr Hoyt        R  18   2   1   0   0   0   0   1   0   0   0  .111  .111  .167 
Catfish Hunter     R   4   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Roy Lee Jackson    R   8   5   2   0   0   0   0   0   0   0   0  .625  .625  .875 
Mike Jeffcoat      L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Jesse Jefferson    R   2   1   0   0   0   1   1   1   0   0   1  .500  .500  .500 
Tommy John         L  18   5   1   0   0   0   0   2   0   0   0  .278  .278  .333 
Jim Kaat           L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Curt Kaufman       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Matt Keough        R  25   6   0   0   2   0   0   6   0   0   0  .240  .240  .480 
Brian Kingman      R   9   2   0   0   0   1   0   0   0   0   0  .222  .300  .222 
Bruce Kison        R   8   2   0   0   2   0   0   0   0   0   0  .250  .250 1.000 
Chris Knapp        R  11   3   0   1   0   0   0   0   0   0   0  .273  .273  .455 
Jerry Koosman      L   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Ken Kravec         L   4   2   0   0   1   1   0   0   0   0   0  .500  .600 1.250 
Bob Lacey          L   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Dennis Lamp        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Rick Langford      R  36  12   2   1   0   1   1   3   0   1   0  .333  .351  .444 
Dave LaRoche       L   5   1   1   0   0   0   0   0   0   1   0  .200  .200  .400 
Luis Leal          R  17   7   1   0   2   3   1   0   1   0   0  .412  .524  .824 
Dave Lemanczyk     R   9   3   1   0   0   1   0   2   0   1   0  .333  .400  .444 
Mark Lemongello    R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Dennis Leonard     R  31   7   2   0   3   4   0   4   0   0   0  .226  .314  .581 
Aurelio Lopez      R  17   2   1   0   0   3   1   3   0   0   0  .118  .250  .176 
Renie Martin       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Alfredo Martinez   R   9   2   0   0   0   1   0   0   0   0   0  .222  .300  .222 
Tippy Martinez     L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dennis Martinez    R  26   7   0   0   1   0   0   1   0   0   0  .269  .269  .385 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rudy May           L   4   1   0   1   0   0   0   2   0   0   0  .250  .250  .750 
Steve McCatty      R  28   9   2   0   0   1   0   2   1   0   0  .321  .367  .393 
Bob McClure        L   8   1   0   0   0   2   0   1   0   0   1  .125  .273  .125 
Scott McGregor     L   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Byron McLaughlin   R   5   2   1   0   0   2   1   1   0   0   0  .400  .571  .600 
