Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Glenn Abbott       R   6   3   1   0   1   0   0   0   0   0   0  .500  .500 1.167 
Ted Abernathy      R  10   3   1   0   0   0   0   2   0   0   0  .300  .300  .400 
Ed Acosta          R   5   1   0   0   0   0   0   1   1   0   0  .200  .333  .200 
Jack Aker          R   3   2   1   0   0   1   1   0   0   0   0  .667  .750 1.000 
Santo Alcala       R  10   2   1   0   0   1   0   3   0   0   0  .200  .273  .300 
Doyle Alexander    R   4   1   0   1   0   1   0   2   0   0   0  .250  .400  .750 
Joaquin Andujar    R   8   3   0   0   0   1   0   3   0   0   0  .375  .444  .375 
Bob Apodaca        R  11   2   0   0   0   0   0   4   0   0   0  .182  .182  .182 
Steve Arlin        R  36  10   2   0   1   2   0  11   0   0   1  .278  .308  .417 
Gerry Arrigo       L  13   0   0   0   0   3   0   5   0   0   0  .000  .188  .000 
Fernando Arroyo    R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Jerry Augustine    L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Jack Baldschun     R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Rick Baldwin       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Dick Baney         R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Steve Barber       L   7   4   0   0   0   2   0   0   0   0   0  .571  .667  .571 
Jim Barr           R  50  13   2   2   1   2   0  11   2   0   1  .260  .309  .440 
Mike Beard         L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Jack Billingham    R  52  17   5   0   0   3   0   6   3   0   1  .327  .390  .423 
Dennis Blair       R  10   3   0   0   1   1   0   1   0   0   0  .300  .364  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Blass        R  29  13   2   0   1   2   0   3   0   0   0  .448  .484  .621 
Vida Blue          L   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Bert Blyleven      R   1   0   0   0   0   2   0   0   1   0   0  .000  .750  .000 
Bobby Bolin        R   9   2   0   0   0   1   1   3   0   0   0  .222  .300  .222 
