Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Scott Carroll      R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Kevin Chapman      L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
John Danks         L   8   2   0   0   0   1   0   0   0   1   0  .250  .333  .250 
Wade Davis         R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Samuel Deduno      R   4   1   1   0   0   1   0   0   0   0   0  .250  .400  .500 
Scott Downs        L   5   1   0   1   0   1   0   0   0   0   0  .200  .333  .600 
Brian Duensing     L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tyler Duffey       R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Danny Duffy        L   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Scott Feldman      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Neftali Feliz      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kyle Gibson        R   6   2   1   0   0   1   0   2   0   0   0  .333  .429  .500 
Sonny Gray         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jeremy Guthrie     R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Kelvin Herrera     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Phil Hughes        R  13   3   1   0   0   0   0   5   0   0   0  .231  .231  .308 
Dan Jennings       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Ubaldo Jimenez     R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Trevor May         R  11   3   1   0   0   0   0   1   0   0   0  .273  .273  .364 
Collin McHugh      R   5   1   1   0   0   0   0   0   0   1   0  .200  .200  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Franklin Morales   L   6   3   1   0   0   0   0   2   0   0   0  .500  .500  .667 
Hector Noesi       R   5   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Ricky Nolasco      R   7   2   0   0   1   0   0   0   0   0   0  .286  .286  .714 
B. Oberholtzer     L   8   3   1   0   0   0   0   2   0   0   0  .375  .375  .500 
Mike Pelfrey       R   9   3   2   0   0   1   0   2   0   0   0  .333  .400  .556 
David Price        L   9   1   0   0   0   1   0   5   0   0   0  .111  .200  .111 
Zach Putnam        R   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Jose Quintana      L  10   4   2   0   0   1   0   0   0   1   0  .400  .455  .600 
Garrett Richards   R   5   0   0   0   0   2   0   2   0   0   0  .000  .286  .000 
Carlos Rodon       L   1   1   0   0   0   3   0   0   0   0   0 1.000 1.000 1.000 
E. Rodriguez       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Wandy Rodriguez    L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Chris Sale         L  10   3   0   0   0   2   0   1   0   0   1  .300  .385  .300 
Jeff Samardzija    R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Ervin Santana      R   8   6   1   1   0   0   0   0   0   0   0  .750  .750 1.125 
Luis Severino      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Alfredo Simon      R   8   2   1   0   0   2   0   0   0   0   0  .250  .400  .375 
Anthony Swarzak    R   6   4   1   0   0   0   0   0   0   0   0  .667  .667  .833 
Aaron Thompson     L   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Jason Vargas       L   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Yordano Ventura    R  10   2   0   0   0   2   0   2   0   1   0  .200  .333  .200 
Justin Verlander   R  12   4   3   0   0   1   0   1   0   0   0  .333  .385  .583 
Edinson Volquez    R   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Adam Warren        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Chris Young        R   3   0   0   0   0   1   0   0   0   1   0  .000  .250  .000
