Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  18   7   3   0   2   1   0   3   0   0   1  .389  .400  .889 
Paul Abbott        R  14   7   2   0   1   2   0   1   0   0   0  .500  .563  .857 
Juan Acevedo       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mark Acre          R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Terry Adams        R   5   1   0   0   0   3   0   1   0   0   0  .200  .500  .200 
Willie Adams       R   9   6   1   1   1   2   0   2   0   0   0  .667  .727 1.333 
Jeremy Affeldt     L   7   3   0   0   0   2   2   1   0   0   0  .429  .556  .429 
Rick Aguilera      R  12   2   1   0   0   1   0   3   0   0   0  .167  .231  .250 
Scott Aldred       L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Wilson Alvarez     L  39  13   2   0   3   9   0   8   0   0   1  .333  .449  .615 
Brian Anderson     L   5   3   1   0   0   3   1   0   0   0   0  .600  .750  .800 
Jason Anderson     R   3   1   0   0   0   2   2   0   0   0   0  .333  .600  .333 
Matt Anderson      R   5   2   1   1   0   1   1   0   0   0   0  .400  .500 1.000 
Kevin Appier       R  31   5   2   0   1   2   0  13   2   0   0  .161  .257  .323 
Rolando Arrojo     R  12   4   2   0   0   3   0   3   0   0   0  .333  .467  .500 
Steve Avery        L  14   5   1   0   1   0   0   1   0   0   0  .357  .357  .643 
Bobby Ayala        R   9   3   1   0   0   1   0   2   0   0   0  .333  .400  .444 
Brandon Backe      R   6   1   1   0   0   0   0   3   0   0   0  .167  .167  .333 
Cha-Seung Baek     R   5   1   0   0   1   0   0   2   0   0   1  .200  .167  .800 
Danys Baez         R  20   4   2   0   0   1   0  11   0   0   0  .200  .238  .300 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Homer Bailey       R   7   3   1   1   0   1   0   1   1   0   0  .429  .556  .857 
Cory Bailey        R   5   2   0   1   1   0   0   2   0   0   0  .400  .400 1.400 
James Baldwin      R  35  10   2   0   1   6   0   5   0   0   0  .286  .390  .429 
Grant Balfour      R   3   1   0   0   0   1   0   1   0   0   1  .333  .400  .333 
Brian Bannister    R   6   2   0   0   1   0   0   2   0   0   0  .333  .333  .833 
Daniel Bard        R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Brian Bass         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Miguel Batista     R  26  12   2   0   4   5   1   4   0   0   1  .462  .531 1.000 
Rick Bauer         R  16   3   0   0   0   3   0   3   0   0   0  .188  .316  .188 
Erik Bedard        L  25   5   1   0   0   2   0   9   0   0   1  .200  .250  .240 
Tim Belcher        R  45  16   3   0   4   2   0   4   0   0   0  .356  .383  .689 
Stan Belinda       R   7   2   1   0   0   1   0   2   0   0   0  .286  .375  .429 
Matt Belisle       R   6   4   0   0   1   0   0   1   0   0   0  .667  .667 1.167 
Heath Bell         R   3   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Rob Bell           R  21   9   2   0   3   0   0   4   0   0   0  .429  .429  .952 
Armando Benitez    R  17   6   1   0   1   0   0   3   0   0   0  .353  .353  .588 
Joaquin Benoit     R  20   8   2   0   2   3   0   4   0   0   1  .400  .458  .800 
Kris Benson        R  13   9   3   0   0   1   0   3   0   0   1  .692  .667  .923 
Jason Bere         R  15   1   0   0   1   3   0   7   0   0   0  .067  .222  .267 
Sean Bergman       R  10   1   0   0   0   0   0   3   1   0   0  .100  .182  .100 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
R. Betancourt      R   8   1   0   0   0   1   0   5   0   0   0  .125  .222  .125 
Brian Bevil        R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Rocky Biddle       R   6   4   2   0   1   0   0   1   0   0   0  .667  .667 1.500 
Nick Bierbrodt     L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
