Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R  22   6   0   0   1   3   0   2   0   0   0  .273  .360  .409 
Jim Abbott         L   9   4   0   0   0   3   1   0   0   0   0  .444  .583  .444 
Kyle Abbott        L   4   2   0   0   0   3   0   0   0   0   0  .500  .714  .500 
Paul Abbott        R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Glenn Abbott       R  22   4   0   0   0   3   0   1   1   0   0  .182  .308  .182 
Jim Acker          R  14   3   0   0   0   5   0   0   0   0   1  .214  .400  .214 
Juan Agosto        L  12   3   0   0   0   4   0   0   0   0   0  .250  .438  .250 
Rick Aguilera      R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Doyle Alexander    R  36   8   1   0   0   3   0   4   0   0   0  .222  .282  .250 
Neil Allen         R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Larry Andersen     R  12   3   0   0   0   1   0   0   0   0   0  .250  .308  .250 
Allan Anderson     L  10   3   0   0   0   1   1   1   0   0   0  .300  .364  .300 
Bud Anderson       R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Rick Anderson      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Joaquin Andujar    R   9   3   0   0   0   1   0   1   0   0   0  .333  .400  .333 
Luis Aponte        R   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Kevin Appier       R   9   2   0   0   0   1   0   0   0   0   0  .222  .300  .222 
Mike Armstrong     R   5   4   1   0   0   0   0   0   0   0   0  .800  .800 1.000 
Tony Arnold        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Fernando Arroyo    R   6   2   0   0   0   2   0   0   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Keith Atherton     R  13   4   0   0   1   0   0   0   0   0   0  .308  .308  .538 
Jerry Augustine    L  41  15   2   0   1   4   1   3   0   0   1  .366  .413  .488 
Steve Avery        L   9   3   0   0   0   1   1   0   0   1   0  .333  .400  .333 
Stan Bahnsen       R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Scott Bailes       L   7   0   0   0   0   2   0   0   0   0   0  .000  .222  .000 
Howard Bailey      L  13   2   1   0   0   1   0   0   0   0   0  .154  .214  .231 
Doug Bair          R   9   4   0   1   1   2   0   0   0   0   0  .444  .545 1.000 
Steve Baker        R   3   2   0   0   0   2   0   1   0   0   0  .667  .800  .667 
Jeff Ballard       L  12   1   1   0   0   2   0   0   0   0   0  .083  .214  .167 
Scott Bankhead     R  16   5   2   0   0   2   0   0   0   0   0  .313  .389  .438 
Floyd Bannister    L  64  12   6   1   0   8   1   7   0   0   1  .188  .274  .313 
Len Barker         R  20   5   0   0   0   6   0   2   0   0   0  .250  .423  .250 
Mike Barlow        R   9   4   1   0   0   0   0   0   0   0   0  .444  .444  .556 
Rich Barnes        L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Salome Barojas     R  13   4   0   0   0   2   0   1   0   0   1  .308  .375  .308 
Jim Barr           R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
F. Barrios         R  14   1   0   0   0   0   0   2   0   1   0  .071  .071  .071 
Ross Baumgarten    L   8   3   1   0   0   3   0   0   0   0   0  .375  .545  .500 
Jose Bautista      R   5   3   0   0   0   1   0   0   0   0   0  .600  .667  .600 
Dave Beard         R   6   0   0   0   0   2   0   0   0   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gary Beare         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jim Beattie        R  37   9   1   0   0   4   0   4   0   0   0  .243  .317  .270 
Joe Beckwith       R   6   2   0   0   0   2   0   0   0   0   0  .333  .500  .333 
Steve Bedrosian    R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Rick Behenna       R   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Tim Belcher        R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Eric Bell          L   6   1   1   0   0   4   0   0   0   0   0  .167  .500  .333 
Andy Benes         R  10   2   0   0   0   3   0   3   0   0   0  .200  .385  .200 
Juan Berenguer     R  13   3   2   0   0   2   0   0   0   0   0  .231  .333  .385 
Dwight Bernard     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Karl Best          R   6   3   0   0   0   1   0   0   0   0   0  .500  .571  .500 
Jim Bibby          R  14   4   0   0   0   2   0   2   0   0   0  .286  .375  .286 
Mike Bielecki      R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Jack Billingham    R  11   4   0   0   0   2   0   0   0   1   1  .364  .429  .364 
Doug Bird          R   5   4   1   0   0   1   0   0   0   1   0  .800  .833 1.000 
Mike Birkbeck      R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Tim Birtsas        L   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Buddy Black        L  33   5   0   0   0   4   1   2   0   0   0  .152  .243  .152 
Willie Blair       R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Vida Blue          L  32   9   3   1   0   4   0   4   0   0   0  .281  .361  .438 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bert Blyleven      R  40  15   2   0   0   5   0   2   1   0   0  .375  .457  .425 
Mike Boddicker     R  36   9   1   0   0   2   0   7   1   1   0  .250  .308  .278 
Joe Boever         R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Brian Bohanon      L   4   3   1   0   0   1   0   0   0   0   0  .750  .800 1.000 
Tom Bolton         L   8   1   0   0   0   3   0   0   0   0   1  .125  .333  .125 
Chris Bosio        R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Ralph Botting      L   3   0   0   0   0   3   0   0   0   0   0  .000  .500  .000 
Oil Can Boyd       R  34   5   0   0   0  11   0   4   0   0   0  .147  .356  .147 
Jeff Brantley      R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Ken Brett          L  16   6   1   0   0   1   0   1   0   0   0  .375  .412  .438 
Nelson Briles      R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pete Broberg       R   3   0   0   0   0   3   0   0   0   0   0  .000  .500  .000 
Jackie Brown       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Kevin Brown        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Mike Brown         R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Tom Browning       L  15   8   1   0   1   3   0   0   0   1   0  .533  .611  .800 
DeWayne Buice      R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Dave Burba         R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Tom Burgmeier      L  24   8   1   1   0   4   0   3   0   1   0  .333  .429  .458 
Britt Burns        L  38  12   0   1   0   1   1   3   0   0   0  .316  .333  .368 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sheldon Burnside   L   4   3   0   0   0   1   0   0   0   0   0  .750  .800  .750 
Ray Burris         R   9   2   0   0   0   2   0   1   0   0   2  .222  .308  .222 
